DRUŻYNA,MNP,Z,%
Arka Gdynia,18,10,"55,56%"
Cracovia,17,17,"100,00%"
Górnik Zabrze,21,12,"57,14%"
Jagiellonia,21,16,"76,19%"
Korona Kielce,16,12,"75,00%"
Lech Poznań,21,15,"71,43%"
Lechia Gdańsk,24,19,"79,17%"
Legia Warszawa,22,20,"90,91%"
Miedź Legnica,15,10,"66,67%"
Piast Gliwice,28,21,"75,00%"
Pogoń Szczecin,25,14,"56,00%"
Śląsk Wrocław,20,12,"60,00%"
Wisła Kraków,22,14,"63,64%"
Wisła Płock,17,10,"58,82%"
Zagłębie Lubin,21,15,"71,43%"
Zagłębie Sosnowiec,13,7,"53,85%"
