ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Tadeusz Socha,Arka Gdynia,10836,151,-,-
Grzegorz Bartczak,Miedź Legnica,8680,101,05.04.2007,GKS B.
Maciej Sadlok,Wisła Kraków,8258,92,18.03.2016,Jagiellonia
Cezary Stefańczyk,Wisła Płock,7927,96,-,-
Patryk Stępiński,Wisła Płock,6000,77,-,-
Rafał Janicki,Lech Poznań,5552,64,15.10.2016,Zagłębie
Joao Nunes,Lechia Gdańsk,5480,76,-,-
Piotr Tomasik,Lech Poznań,5147,68,17.04.2016,Górnik Ł.
Hubert Matynia,Pogoń Szczecin,5045,78,-,-
Bartosz Rymaniak,Korona Kielce,4555,51,30.10.2017,Lechia
Mateusz Cichocki,Zagłębie Sosnowiec,4501,53,-,-
Daniel Dziwniel,Zagłębie Lubin,4372,55,10.08.2014,Wisła K.
Adam Dźwigała,Wisła Płock,3847,48,20.05.2017,Piast
Mateusz Lewandowski,Lechia Gdańsk,3816,60,07.12.2015,Górnik Ł.
Uros Korun,Piast Gliwice,3748,43,10.03.2017,Śląsk
Kamil Dankowski,Śląsk Wrocław,3688,43,17.10.2016,Korona
Marcin Wasilewski,Wisła Kraków,3633,41,13.12.2017,Cracovia
Luka Marić,Arka Gdynia,3551,40,-,-
Inaki Astiz,Legia Warszawa,3485,43,05.12.2014,Górnik Z.
Diego Ferraresso,Cracovia,3447,52,-,-
Mariusz Pawelec,Śląsk Wrocław,3365,39,19.05.2017,Arka
Alan Czerwiński,Zagłębie Lubin,3363,44,12.08.2017,Lech
Tomislav Božić,Miedź Legnica,3209,37,30.07.2016,Legia
Kornel Osyra,Miedź Legnica,3135,35,25.11.2016,Cracovia
Jarosław Fojut,Pogoń Szczecin,3026,37,06.03.2017,Wisła P.
Martin Konczkowski,Piast Gliwice,2903,36,27.04.2018,Arka
Łukasz Broź,Śląsk Wrocław,2694,33,05.11.2017,Pogoń
Michał Helik,Cracovia,2688,33,12.05.2018,Sandecja
Cornel Rapa,Cracovia,2590,31,11.08.2018,Pogoń
Dawid Sołdecki,Arka Gdynia,2567,35,19.05.2017,Śląsk
Adrian Gryszkiewicz,Górnik Zabrze,2533,31,-,-
Maciej Dąbrowski,Zagłębie Lubin,2520,32,02.12.2017,Sandecja
Mateusz Wieteska,Legia Warszawa,2449,30,28.04.2018,Lech
Zoran Arsenić,Jagiellonia Białystok,2368,29,29.04.2018,Jagiellonia
Michael Heinloth,Zagłębie Sosnowiec,2095,29,-,-
Piotr Malarczyk,Korona Kielce,2088,31,16.10.2017,Pogoń
Ivan Marquez,Korona Kielce,2067,24,-,-
Sasa Balić,Zagłębie Lubin,2025,23,07.10.2018,Arka
Przemysław Wiśniewski,Górnik Zabrze,2003,25,-,-
Piotr Celeban,Śląsk Wrocław,1923,21,23.09.2018,Piast
Jakub Bartkowski,Pogoń Szczecin,1878,23,15.09.2018,Lechia
David Stec,Pogoń Szczecin,1873,26,-,-
Marcin Warcholak,Wisła Płock,1805,21,09.12.2017,Korona
Wołodymyr Kostewycz,Lech Poznań,1796,21,05.10.2018,Górnik Z.
Ricardo Nunes,Pogoń Szczecin,1771,21,28.04.2018,Sandecja
Michał Koj,Górnik Zabrze,1648,21,25.02.2018,Śląsk
Damian Oko,Zagłębie Lubin,1459,17,-,-
Angel Garcia,Wisła Płock,1440,16,-,-
Aleksandar Miljković,Miedź Legnica,1426,17,-,-
Jakub Bartosz,Wisła Kraków,1386,31,29.07.2017,Górnik Z.
Artur Jędrzejczyk,Legia Warszawa,1375,15,10.02.2019,Wisła P.
Bodvar Bodvarsson,Jagiellonia Białystok,1371,19,-,-
Christian Maghoma,Arka Gdynia,1349,15,-,-
Robert Gumny,Lech Poznań,1328,14,16.12.2018,Zagłębie S.
Jakub Czerwiński,Piast Gliwice,1322,14,22.02.2019,Arka
Michael Gardawski,Korona Kielce,1292,15,16.12.2018,Śląsk
Vernon De Marco,Lech Poznań,1262,17,-,-
Bartosz Kopacz,Zagłębie Lubin,1249,13,22.12.2018,Cracovia
Tomasz Mokwa,Piast Gliwice,1237,16,15.10.2016,Ruch
Thomas Rogne,Lech Poznań,1234,14,11.11.2018,Jagiellonia
Grzegorz Wojtkowiak,Lechia Gdańsk,1204,15,25.02.2017,Cracovia
Filip Mladenović,Lechia Gdańsk,1194,13,23.02.2019,Wisła K.
Mikkel Kirkeskov,Piast Gliwice,1134,12,08.03.2019,Górnik Z.
David Niepsuj,Pogoń Szczecin,1130,13,10.12.2017,Zagłębie
Alan Uryga,Wisła Płock,1118,12,11.03.2019,Lechia
Mariusz Malec,Pogoń Szczecin,1098,13,15.02.2019,Górnik Z.
Jake McGing,Wisła Płock,1055,12,-,-
Niko Datković,Cracovia,1001,12,24.11.2018,Śląsk
Nemanja Mitrović,Jagiellonia Białystok,975,10,08.02.2019,Miedź
Adnan Kovacević,Korona Kielce,975,12,10.02.2019,Arka
Guilherme,Jagiellonia Białystok,963,12,02.03.2019,Górnik Z.
Lukas Klemenz,Wisła Kraków,958,13,02.09.2018,Wisła P.
Michał Nalepa,Lechia Gdańsk,957,10,29.03.2019,Piast
Damian Zbozień,Arka Gdynia,940,12,22.02.2019,Piast
William Remy,Legia Warszawa,929,10,20.12.2018,Zagłębie S.
Luis Rocha,Legia Warszawa,921,11,-,-
Piotr Polczak,Zagłębie Sosnowiec,915,12,20.12.2018,Legia
Mateusz Hołownia,Śląsk Wrocław,914,11,-,-
Dani Suarez,Górnik Zabrze,882,13,15.12.2018,Arka
Patrik Mraz,Zagłębie Sosnowiec,859,10,02.03.2019,Korona
Adam Danch,Arka Gdynia,857,11,21.12.2018,Wisła P.
Tomasz Nawotka,Zagłębie Sosnowiec,836,12,09.03.2019,Cracovia
Dorde Cotra,Śląsk Wrocław,829,10,26.10.2018,Miedź
Martin Toth,Zagłębie Sosnowiec,826,11,-,-
Kacper Michalski,Górnik Zabrze,825,11,-,-
Lukas Gressak,Zagłębie Sosnowiec,825,12,-,-
Błażej Augustyn,Lechia Gdańsk,802,8,29.03.2019,Piast
Jakub Wójcicki,Jagiellonia Białystok,783,13,16.02.2019,Wisła P.
Rafał Pietrzak,Wisła Kraków,746,8,03.04.2019,Zagłębie S.
Dimitris Goutas,Lech Poznań,733,9,-,-
Bozo Musa,Miedź Legnica,710,7,10.03.2019,Lech
Ołeksij Dytiatjew,Cracovia,673,8,24.02.2019,Jagiellonia
Artur Pikk,Miedź Legnica,673,7,05.04.2019,Cracovia
Steven Vitoria,Lechia Gdańsk,598,13,25.08.2018,Pogoń
Igor Łasicki,Wisła Płock,585,6,13.04.2019,Zagłębie S.
Adam Orn Arnarson,Górnik Zabrze,482,13,-,-
Andrej Kadlec,Jagiellonia Białystok,474,6,20.04.2019,Lech
Marcin Grabowski,Wisła Kraków,461,8,-,-
Nikola Vujadinović,Lech Poznań,446,5,20.04.2019,Jagiellonia
Mateusz Żyro,Miedź Legnica,441,9,-,-
Bartłomiej Sielewski,Wisła Płock,419,9,15.09.2018,Miedź
Marcin Pietrowski,Piast Gliwice,406,5,13.04.2019,Korona
Sebastian Walukiewicz,Pogoń Szczecin,394,4,24.04.2019,Lechia
Daniel Hoyo-Kowalski,Wisła Kraków,360,4,-,-
Joonas Tamm,Korona Kielce,352,6,-,-
Ivan Runje,Jagiellonia Białystok,342,3,06.05.2019,Pogoń
Boris Sekulić,Górnik Zabrze,332,3,29.04.2019,Zagłębie S.
Igors Tarasovs,Śląsk Wrocław,321,5,30.03.2019,Arka
Ken Kallaste,Korona Kielce,317,6,24.09.2018,Zagłębie S.
Michael Olczyk,Arka Gdynia,316,5,-,-
Aleksandar Sedlar,Piast Gliwice,294,3,26.04.2019,Cracovia
