ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Paweł Tomczyk,Lech/Piast,4,1,5,300,"75,0","60,0"
Karol Świderski,Jagiellonia,8,1,9,1033,"129,1","114,8"
Igor Angulo,Górnik Zabrze,24,3,27,3112,"129,7","115,3"
Jakub Błaszczykowski,Wisła Kraków,5,2,7,689,"137,8","98,4"
Zdenek Ondrasek,Wisła Kraków,11,2,13,1604,"145,8","123,4"
Olaf Nowak,Zagłębie Sosnowiec,4,0,4,588,"147,0","147,0"
Airam Cabrera,Cracovia,14,2,16,2066,"147,6","129,1"
Jesus Imaz,Wisła K/Jagiellonia,16,3,19,2458,"153,6","129,4"
Marcin Robak,Śląsk Wrocław,18,2,20,2811,"156,2","140,6"
Carlitos,Legia Warszawa,16,6,22,2608,"163,0","118,5"
Marko Kolar,Wisła Kraków,11,2,13,1797,"163,4","138,2"
Adam Buksa,Pogoń Szczecin,11,2,13,1817,"165,2","139,8"
Joan Roman,Miedź Legnica,5,0,5,828,"165,6","165,6"
Oskar Zawada,Wisła Płock,6,0,6,996,"166,0","166,0"
Elia Soriano,Korona Kielce,14,1,15,2497,"178,4","166,5"
Sandro Kulenović,Legia Warszawa,4,1,5,723,"180,8","144,6"
Filip Piszczek,Cracovia,6,1,7,1102,"183,7","157,4"
Vamara Sanogo,Zagłębie Sosnowiec,11,3,14,2125,"193,2","151,8"
Piotr Parzyszek,Piast Gliwice,9,4,13,1746,"194,0","134,3"
Flavio Paixao,Lechia Gdańsk,15,1,16,3117,"207,8","194,8"
Christian Gytkjaer,Lech Poznań,12,5,17,2549,"212,4","149,9"
Iuri Medeiros,Legia Warszawa,3,1,4,645,"215,0","161,3"
Artur Sobiech,Lechia Gdańsk,7,2,9,1521,"217,3","169,0"
Joao Amaral,Lech Poznań,8,2,10,1779,"222,4","177,9"
Filip Starzyński,Zagłębie Lubin,13,6,19,2924,"224,9","153,9"
Petteri Forsell,Miedź Legnica,13,1,14,2940,"226,2","210,0"
Ricardinho,Wisła Płock,10,2,12,2420,"242,0","201,7"
Marko Vejinović,Arka Gdynia,5,1,6,1248,"249,6","208,0"
Javi Hernandez,Cracovia,10,2,12,2503,"250,3","208,6"
Damjan Bohar,Zagłębie Lubin,10,7,17,2547,"254,7","149,8"
Maciej Jankowski,Arka Gdynia,10,5,15,2581,"258,1","172,1"
Krzysztof Drzazga,Wisła Kraków,5,3,8,1294,"258,8","161,8"
Żarko Udovicić,Zagłębie Sosnowiec,10,9,19,2646,"264,6","139,3"
Patryk Tuszyński,Zagłębie Lubin,10,2,12,2653,"265,3","221,1"
Iker Guarrotxena,Pogoń Szczecin,5,1,6,1353,"270,6","225,5"
Patryk Lipski,Lechia Gdańsk,6,2,8,1647,"274,5","205,9"
Michał Janota,Arka Gdynia,10,5,15,2757,"275,7","183,8"
Arvydas Novikovas,Jagiellonia,9,5,14,2550,"283,3","182,1"
Łukasz Burliga,Jagiellonia/Wisła K,3,1,4,850,"283,3","212,5"
Wato Arweladze,Korona Kielce,4,1,5,1180,"295,0","236,0"
Mateusz Radecki,Śląsk Wrocław,4,0,4,1188,"297,0","297,0"
Zvonimir Kozulj,Pogoń Szczecin,9,8,17,2685,"298,3","157,9"
Kamil Drygas,Pogoń Szczecin,10,3,13,3025,"302,5","232,7"
Michal Papadopulos,Piast Gliwice,5,3,8,1540,"308,0","192,5"
Giorgi Merebaszwili,Wisła Płock,6,2,8,1933,"322,2","241,6"
Roman Bezjak,Jagiellonia,3,3,6,1012,"337,3","168,7"
Radosław Majewski,Pogoń Szczecin,8,4,12,2718,"339,8","226,5"
Bartłomiej Pawłowski,Zagłębie Lubin,8,5,13,2893,"361,6","222,5"
Sławomir Peszko,Lechia/Wisła Kraków,3,3,6,1113,"371,0","185,5"
Tomasz Jodłowiec,Piast Gliwice,4,3,7,1514,"378,5","216,3"
Marcin Cebula,Korona Kielce,3,4,7,1161,"387,0","165,9"
Matej Pućko,Korona Kielce,5,5,10,1956,"391,2","195,6"
