KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,16","1,32",49%,"8,74","3,53","3,00","2,21","40,36%","13,25%","3,58","1,16","3,32","16,21","2,47","0,21",ARK
Cracovia,"1,22","1,56",49%,"12,28","4,22","4,94","3,11","34,39%","9,05%","4,22","1,00","3,00","15,83","2,61","0,06",CRA
Górnik Zabrze,"1,39","1,56",46%,"12,22","5,06","4,72","2,44","41,36%","11,36%","4,17","2,89","3,11","14,61","2,11","0,11",GÓR
Jagiellonia,"1,32","1,16",48%,"11,42","4,68","4,11","2,63","41,01%","11,06%","4,37","1,58","3,21","13,95","2,11","0,05",JAG
Korona Kielce,"1,17","1,61",52%,"14,78","5,17","5,78","3,83","34,96%","7,89%","5,00","1,94","2,28","18,50","2,67","0,11",KOR
Lech Poznań,"1,11","1,42",51%,"10,53","3,21","4,89","2,42","30,50%","10,00%","5,32","1,47","3,00","13,63","1,63","0,00",LPO
Lechia Gdańsk,"1,17","1,22",48%,"12,11","4,22","5,50","2,39","34,86%","9,17%","4,61","1,56","2,61","15,61","2,72","0,06",LGD
Legia Warszawa,"1,33","1,06",52%,"13,89","4,78","5,50","3,61","34,40%","9,60%","6,11","2,06","2,56","14,33","1,94","0,06",LEG
Miedź Legnica,"1,00","1,67",49%,"14,00","5,00","5,61","3,39","35,71%","6,75%","5,22","1,61","4,00","14,33","1,67","0,00",MIE
Piast Gliwice,"1,22","1,28",51%,"12,00","3,50","5,17","3,33","29,17%","9,72%","5,17","1,28","3,22","15,28","1,78","0,00",PIA
Pogoń Szczecin,"1,42","1,68",52%,"13,79","4,68","6,00","3,11","33,97%","10,31%","5,26","2,37","2,47","15,68","2,32","0,11",POG
Śląsk Wrocław,"1,42","1,47",46%,"12,32","4,32","5,00","3,00","35,04%","11,11%","5,53","2,95","2,68","15,84","2,53","0,11",ŚLĄ
Wisła Kraków,"1,61","1,94",52%,"11,06","3,89","4,78","2,39","35,18%","14,07%","4,56","1,56","4,44","12,78","2,17","0,06",WIS
Wisła Płock,"1,63","1,74",47%,"12,63","4,47","5,11","3,05","35,42%","12,50%","4,42","1,89","3,05","15,95","2,68","0,21",WPŁ
Zagłębie Lubin,"1,53","1,32",50%,"11,11","4,63","3,74","2,74","41,71%","12,80%","5,26","2,00","3,58","15,11","2,68","0,11",ZAG
Zagłębie Sosnowiec,"0,79","2,00",44%,"10,89","3,53","4,63","2,74","32,37%","7,25%","4,37","2,26","4,74","16,42","2,53","0,26",ZSO
