KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,32","1,16",51%,"16,16","4,63","7,11","4,42","28,66%","8,14%","6,16","1,79","2,37","13,42","1,42","0,05",ARK
Cracovia,"1,56","1,22",51%,"12,28","4,56","5,06","2,67","37,10%","12,67%","5,50","1,56","3,11","17,17","2,61","0,33",CRA
Górnik Zabrze,"1,56","1,39",54%,"15,56","4,67","6,28","4,61","30,00%","10,00%","6,06","2,11","3,67","13,17","2,17","0,06",GÓR
Jagiellonia,"1,16","1,32",52%,"12,84","4,32","5,68","2,84","33,61%","8,61%","4,95","2,84","3,42","14,42","1,74","0,05",JAG
Korona Kielce,"1,61","1,17",48%,"9,83","3,83","3,94","2,06","38,98%","15,82%","3,22","1,50","4,00","16,56","2,44","0,11",KOR
Lech Poznań,"1,42","1,11",49%,"12,00","4,42","4,95","2,63","36,84%","11,84%","4,89","3,63","2,16","15,42","1,32","0,00",LPO
Lechia Gdańsk,"1,22","1,17",52%,"13,44","3,78","6,06","3,61","28,10%","8,68%","5,06","1,33","3,11","13,83","2,06","0,06",LGD
Legia Warszawa,"1,06","1,33",48%,"11,39","3,56","5,11","2,72","31,22%","8,78%","4,89","1,50","3,44","16,22","2,39","0,17",LEG
Miedź Legnica,"1,67","1,00",51%,"14,94","5,56","6,00","3,39","37,17%","10,41%","4,78","1,22","4,06","13,33","1,78","0,00",MIE
Piast Gliwice,"1,28","1,22",49%,"13,17","4,44","5,50","3,22","33,76%","9,28%","5,11","1,83","2,33","15,00","1,89","0,11",PIA
Pogoń Szczecin,"1,68","1,42",48%,"12,21","4,05","4,63","3,53","33,19%","12,93%","4,58","1,68","3,26","15,95","2,00","0,05",POG
Śląsk Wrocław,"1,47","1,42",54%,"12,42","4,05","4,74","3,63","32,63%","11,02%","4,47","1,00","2,95","15,95","1,74","0,05",ŚLĄ
Wisła Kraków,"1,94","1,61",48%,"20,22","6,39","7,94","5,89","31,59%","9,62%","7,22","1,83","2,33","15,06","2,11","0,00",WIS
Wisła Płock,"1,74","1,63",53%,"12,89","4,74","5,37","2,79","36,73%","13,06%","4,47","2,05","2,89","17,84","2,11","0,21",WPŁ
Zagłębie Lubin,"1,32","1,53",50%,"15,79","4,89","6,68","4,21","31,00%","8,33%","6,21","1,58","3,21","15,05","1,47","0,05",ZAG
Zagłębie Sosnowiec,"2,00","0,79",56%,"17,47","6,74","6,95","3,79","38,55%","11,45%","5,68","2,37","2,74","15,32","1,79","0,00",ZSO
