KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Miedź,Pogoń,13,15,2,3,1,0,"1,00","0,90","0,08","0,06",37%,32%,31%
1,Jagiellonia,Lechia,19,8,6,2,0,1,"1,69","0,86","0,09","0,11",58%,24%,18%
1,Śląsk,Cracovia,12,9,6,3,3,1,"1,27","0,53","0,11","0,06",56%,29%,15%
1,Wisła K,Arka,20,6,3,0,0,0,"1,76","0,23","0,09","0,04",77%,19%,4%
1,Legia,Zagłębie L,16,9,4,6,1,3,"1,85","3,09","0,12","0,34",18%,17%,65%
1,Górnik,Korona,12,23,5,9,1,1,"0,86","1,53","0,07","0,07",21%,26%,53%
1,Wisła P,Lech,16,7,6,3,1,2,"1,71","1,14","0,11","0,16",51%,25%,25%
1,Zagłębie S,Piast,13,15,4,2,1,2,"1,54","2,22","0,12","0,15",25%,21%,54%
2,Lechia,Śląsk,12,12,3,4,1,1,"2,81","0,92","0,23","0,08",79%,13%,8%
2,Wisła K,Miedź,16,9,5,6,2,1,"2,04","1,41","0,13","0,16",52%,22%,25%
2,Zagłębie L,Zagłębie S,21,10,7,3,2,1,"3,32","0,81","0,16","0,08",86%,9%,5%
2,Korona,Legia,11,11,3,7,1,2,"0,85","0,60","0,08","0,05",39%,37%,24%
2,Górnik,Wisła P,9,16,3,5,1,1,"0,83","2,31","0,09","0,14",11%,17%,72%
2,Arka,Jagiellonia,9,18,2,4,0,2,"0,68","1,22","0,08","0,07",20%,30%,49%
2,Lech,Cracovia,12,8,5,1,2,0,"1,80","2,02","0,15","0,25",34%,23%,44%
2,Pogoń,Piast,18,7,3,3,0,2,"1,08","0,47","0,06","0,07",51%,33%,16%
3,Wisła P,Korona,5,14,2,5,1,2,"0,61","1,78","0,12","0,13",11%,22%,67%
3,Zagłębie S,Pogoń,9,16,4,3,2,0,"1,70","1,69","0,19","0,11",39%,24%,37%
3,Piast,Zagłębie L,12,10,5,3,2,1,"1,01","1,25","0,08","0,13",29%,29%,42%
3,Legia,Lechia,11,8,3,3,0,0,"0,95","0,41","0,09","0,05",49%,36%,15%
