ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Sebastian Walukiewicz,Pogoń Szczecin,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Łukasz Broź,Śląsk Wrocław,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
Mateusz Możdżeń,Korona/Zagłębie S,6,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0
Bartosz Slisz,Zagłębie Lubin,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Cezary Stefańczyk,Wisła Płock,5,1,1,2,0,0,0,3,0,0,0,0,0,0,0,1
Patryk Stępiński,Wisła Płock,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Tadeusz Socha,Arka Gdynia,5,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
Bartosz Kopacz,Zagłębie Lubin,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Dusan Kuciak,Lechia Gdańsk,5,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0
Joao Nunes,Lechia Gdańsk,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
Luka Marić,Arka Gdynia,5,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
Michał Mak,Lechia Gdańsk,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Michał Nalepa I,Arka Gdynia,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Omar Santana,Miedź Legnica,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Lipski,Lechia Gdańsk,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Przemysław Wiśniewski,Górnik Zabrze,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Augustyniak,Miedź Legnica,5,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0
Mateusz Wdowiak,Cracovia,5,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0
Michał Janota,Arka Gdynia,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Damian Rasak,Wisła Płock,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Adam Matuszczyk,Zagłębie Lubin,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Michal Papadopulos,Piast Gliwice,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Bartosz Kwiecień,Jagiellonia,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
Filip Starzyński,Zagłębie Lubin,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Janusz Gol,Cracovia,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Matras,Zagłębie L/Górnik,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Martin Pospisil,Jagiellonia,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Marko Poletanović,Jagiellonia,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Kamil Zapolnik,Górnik Zabrze,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Paweł Bochniewicz,Górnik Zabrze,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Gressak,Zagłębie Sosnowiec,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Adam Dźwigała,Wisła Płock,4,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0
Cafu,Legia Warszawa,4,1,1,2,0,0,0,1,1,0,0,0,0,1,0,0
Christian Maghoma,Arka Gdynia,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Grzegorz Kuświk,Wisła Płock,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Jimenez,Górnik Zabrze,4,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
Ariel Borysiuk,Wisła Płock,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
Adrian Purzycki,Miedź Legnica,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Łukasik,Lechia Gdańsk,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Diego Ferraresso,Cracovia,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Jakub Bartkowski,Wisła K/Pogoń,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Czerwiński,Piast Gliwice,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Jesus Imaz,Wisła K/Jagiellonia,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
Łukasz Kosakiewicz,Korona Kielce,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Mateusz Radecki,Śląsk Wrocław,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
Nabil Aankour,Arka Gdynia,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Nemanja Mitrović,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Malarczyk,Korona Kielce,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Zdenek Ondrasek,Wisła Kraków,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Rafał Boguski,Wisła Kraków,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Rafał Siemaszko,Arka Gdynia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Joel Valencia,Piast Gliwice,4,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
Rafał Janicki,Lech Poznań,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Makuszewski,Lech Poznań,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Władisław Sirotow,Zagłębie Lubin,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Haraslin,Lechia Gdańsk,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
Mateusz Wieteska,Legia Warszawa,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mikkel Kirkeskov,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Pietrzak,Wisła Kraków,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Arkadiusz Jędrych,Zagłębie Sosnowiec,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Łabojko,Śląsk Wrocław,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Artur Pikk,Miedź Legnica,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Marcin Robak,Śląsk Wrocław,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Adam Buksa,Pogoń Szczecin,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Nico Varela,Wisła Płock,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Arvydas Novikovas,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Damjan Bohar,Zagłębie Lubin,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
Matej Pućko,Korona Kielce,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Airam Cabrera,Cracovia,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
Tom Hateley,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Robert Pich,Śląsk Wrocław,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Sebastian Szymański,Legia Warszawa,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Marcin Cebula,Korona Kielce,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Borja Fernandez,Miedź Legnica,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Wojciech Golla,Śląsk Wrocław,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Aleksandar Sedlar,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Miljković,Miedź Legnica,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Igors Tarasovs,Śląsk Wrocław,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Grzegorz Bartczak,Miedź Legnica,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Damian Zbozień,Arka Gdynia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sergiu Hanca,Cracovia,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Martin Toth,Zagłębie Sosnowiec,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Boris Sekulić,Górnik Zabrze,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jarosław Fojut,Pogoń Szczecin,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Angel Garcia,Wisła Płock,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Giorgos Mygas,Zagłębie Sosnowiec,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Kornel Osyra,Miedź Legnica,3,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0
Sławomir Peszko,Lechia/Wisła K,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Vamara Sanogo,Zagłębie Sosnowiec,3,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0
Jarosław Kubicki,Lechia Gdańsk,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Inaki Astiz,Legia Warszawa,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Cholewiak,Śląsk Wrocław,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Arkadiusz Piech,Śląsk Wrocław,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Dorde Cotra,Śląsk Wrocław,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
William Remy,Legia Warszawa,3,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0
Adam Frączczak,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Elia Soriano,Korona Kielce,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Konrad Wrzesiński,Zagłębie Sosnowiec,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Michał Helik,Cracovia,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Mihai Radut,Lech Poznań,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Wojciech Łobodziński,Miedź Legnica,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Żarko Udovicić,Zagłębie Sosnowiec,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Henrik Ojamaa,Miedź Legnica,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Damian Szymański,Wisła Płock,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Adrian Benedyczak,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Jose Kante,Legia Warszawa,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Piotr Celeban,Śląsk Wrocław,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Mariusz Pawelec,Śląsk Wrocław,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Junior Torunarigha,Zagłębie Sosnowiec,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Domagoj Antolić,Legia Warszawa,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Martin Konczkowski,Piast Gliwice,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Vernon de Marco,Lech Poznań,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Joao Amaral,Lech Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Uros Korun,Piast Gliwice,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Milan Dimun,Cracovia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Warcholak,Wisła Płock,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Michael Heinloth,Zagłębie Sosnowiec,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Piasecki,Miedź Legnica,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Kamil Wojtkowski,Wisła Kraków,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Kamil Jóźwiak,Lech Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Nagy,Legia Warszawa,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Flavio Paixao,Lechia Gdańsk,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Karol Angielski,Wisła Płock,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Frederik Helstrup,Arka Gdynia,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Gerard Badia,Piast Gliwice,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Matynia,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Fran Cruz,Miedź Legnica,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Wasielewski,Lech Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Igor Angulo,Górnik Zabrze,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Ricardo Nunes,Pogoń Szczecin,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Adam Banasiak,Zagłębie Sosnowiec,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Adam Hlousek,Legia Warszawa,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Robert Gumny,Lech Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Juan Camara,Miedź Legnica,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ricardinho,Wisła Płock,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Tomasz Makowski,Lechia Gdańsk,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Adam Arnarson,Górnik Zabrze,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ognjen Gnjatić,Korona Kielce,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Vujadinović,Lech Poznań,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Vukan Savicević,Wisła Kraków,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Walerian Gwilia,Górnik Zabrze,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Marko Vejinović,Arka Gdynia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Luis Rocha,Legia Warszawa,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Artur Sobiech,Lechia Gdańsk,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Bodvar Bodvarsson,Jagiellonia,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Marcin Pietrowski,Piast Gliwice,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Roman Bezjak,Jagiellonia,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Andrij Bohdanow,Arka Gdynia,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Paweł Zieliński,Miedź Legnica,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
