ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Marquitos,Miedź Legnica,2,2,0,0,0
Rafał Boguski,Wisła Kraków,2,0,1,1,0
Maciej Górski,Korona Kielce,2,0,1,1,0
Rafał Siemaszko,Arka Gdynia,2,0,2,0,0
Gerard Badia,Piast Gliwice,2,2,0,0,0
Martin Kostal,Wisła K/Jagiellonia,2,0,2,0,0
Michał Mak,Lechia Gdańsk,2,1,1,0,0
Rafał Augustyniak,Miedź Legnica,2,0,2,0,0
Guilherme Sitya,Jagiellonia,2,2,0,0,0
Michał Nalepa I,Arka Gdynia,2,0,2,0,0
Elhadji Pape Diaw,Korona Kielce,2,0,0,2,0
Sebastian Szymański,Legia Warszawa,2,2,0,0,0
Karol Angielski,Wisła Płock,2,2,0,0,0
Adnan Kovacević,Korona Kielce,2,0,1,1,0
Piotr Polczak,Zagłębie Sosnowiec,2,0,0,2,0
Mikkel Kirkeskov,Piast Gliwice,2,2,0,0,0
Sebastian Kowalczyk,Pogoń Szczecin,2,0,2,0,0
Adam Deja,Arka Gdynia,2,0,1,1,0
Jakub Łukowski,Wisła Płock,2,1,1,0,0
Błażej Augustyn,Lechia Gdańsk,2,0,1,0,1
Alexandre Cristovao,Zagłębie Sosnowiec,2,0,1,0,1
Spas Delew,Pogoń Szczecin,2,1,1,0,0
Marko Poletanović,Jagiellonia,2,0,2,0,0
Kamil Zapolnik,Górnik Zabrze,2,1,0,1,0
Andre Martins,Legia Warszawa,2,0,1,1,0
Paweł Brożek,Wisła Kraków,2,0,2,0,0
Nabil Aankour,Arka Gdynia,2,0,1,1,0
William Remy,Legia Warszawa,2,0,1,1,0
Matej Palcić,Wisła Kraków,2,0,0,2,0
Filip Marchwiński,Lech Poznań,2,0,2,0,0
Sergiu Hanca,Cracovia,2,0,2,0,0
Boris Sekulić,Górnik Zabrze,2,0,1,1,0
Giorgos Mygas,Zagłębie Sosnowiec,2,0,2,0,0
Ariel Borysiuk,Wisła Płock,2,0,2,0,0
Vukan Savicević,Wisła Kraków,2,0,2,0,0
Kasper Hamalainen,Legia Warszawa,2,1,0,1,0
Soufian Benyamina,Pogoń Szczecin,2,0,1,1,0
Carlitos Oliveira,Wisła Płock,1,1,0,0,0
Daniel Smuga,Górnik Zabrze,1,0,1,0,0
Fabian Piasecki,Miedź Legnica,1,0,1,0,0
Farshad Ahmadzadeh,Śląsk Wrocław,1,0,1,0,0
Gerard Oliva,Cracovia,1,1,0,0,0
Igor Łasicki,Wisła Płock,1,0,0,1,0
Jakub Kosecki,Śląsk Wrocław,1,0,1,0,0
Krzysztof Mączyński,Legia/Śląsk,1,0,1,0,0
Łukasz Trałka,Lech Poznań,1,0,0,1,0
Marcin Urynowicz,Górnik Zabrze,1,0,1,0,0
Martin Pospisil,Jagiellonia,1,1,0,0,0
Mateusz Mak,Piast Gliwice,1,0,0,1,0
Mateusz Piątkowski,Miedź Legnica,1,0,1,0,0
Mateusz Szwoch,Wisła Płock,1,0,1,0,0
Jakub Arak,Lechia Gdańsk,1,0,0,1,0
Adam Frączczak,Pogoń Szczecin,1,0,1,0,0
Cornel Rapa,Cracovia,1,0,1,0,0
Paweł Stolarski,Lechia/Legia,1,0,1,0,0
Nico Varela,Wisła Płock,1,0,1,0,0
Milan Dimun,Cracovia,1,0,1,0,0
Taras Romanczuk,Jagiellonia,1,1,0,0,0
Aleksandyr Kolew,Arka Gdynia,1,0,0,1,0
Karol Fila,Lechia Gdańsk,1,0,0,1,0
Mile Savković,Jagiellonia,1,0,1,0,0
Patryk Klimala,Jagiellonia,1,0,0,1,0
Zlatko Janjić,Korona Kielce,1,0,1,0,0
Steven Vitoria,Lechia Gdańsk,1,0,0,1,0
Adam Chrzanowski,Lechia Gdańsk,1,0,1,0,0
Artur Pikk,Miedź Legnica,1,0,1,0,0
Tomasz Cywka,Lech Poznań,1,0,1,0,0
Łukasz Janoszka,Zagłębie Lubin,1,1,0,0,0
Lukas Klemenz,Jagiellonia/Wisła K,1,0,0,1,0
Dawid Pakulski,Zagłębie Lubin,1,0,1,0,0
Bartosz Kwiecień,Jagiellonia,1,0,0,1,0
Bartłomiej Sielewski,Wisła Płock,1,1,0,0,0
Jakub Bartkowski,Wisła K/Pogoń,1,0,0,1,0
Kamil Wojtkowski,Wisła Kraków,1,0,1,0,0
Lasza Dwali,Pogoń Szczecin,1,1,0,0,0
Sergei Zenjov,Cracovia,1,1,0,0,0
Ken Kallaste,Korona Kielce,1,1,0,0,0
Michal Siplak,Cracovia,1,1,0,0,0
Dorde Cotra,Śląsk Wrocław,1,1,0,0,0
Wołodymyr Kostewycz,Lech Poznań,1,0,1,0,0
Sebastian Walukiewicz,Pogoń Szczecin,1,0,1,0,0
Sasa Balić,Zagłębie Lubin,1,1,0,0,0
Mateusz Młyński,Arka Gdynia,1,0,1,0,0
Patrik Mraz,Zagłębie Sosnowiec,1,1,0,0,0
Niko Datković,Cracovia,1,0,0,1,0
Tomas Podstawski,Pogoń Szczecin,1,1,0,0,0
Patryk Sokołowski,Piast Gliwice,1,1,0,0,0
Thomas Rogne,Lech Poznań,1,1,0,0,0
Marcin Wasielewski,Lech Poznań,1,1,0,0,0
Łukasz Wolsztyński,Górnik Zabrze,1,1,0,0,0
Łukasz Poręba,Zagłębie Lubin,1,1,0,0,0
Bartosz Kopacz,Zagłębie Lubin,1,1,0,0,0
Sebastian Strózik,Cracovia,1,0,1,0,0
Michael Gardawski,Korona Kielce,1,0,0,1,0
Robert Gumny,Lech Poznań,1,0,1,0,0
Tymoteusz Klupś,Lech Poznań,1,1,0,0,0
Adam Danch,Arka Gdynia,1,0,0,1,0
Rafał Wolski,Lechia Gdańsk,1,1,0,0,0
Nemanja Mitrović,Jagiellonia,1,0,1,0,0
Daniel Łukasik,Lechia Gdańsk,1,0,1,0,0
Mariusz Malec,Pogoń Szczecin,1,0,0,1,0
Jakub Wójcicki,Jagiellonia,1,0,1,0,0
Walerian Gwilia,Górnik Zabrze,1,0,1,0,0
Ołeksij Dytiatjew,Cracovia,1,1,0,0,0
Omar Santana,Miedź Legnica,1,0,1,0,0
Tomasz Nawotka,Zagłębie Sosnowiec,1,0,1,0,0
Bożo Musa,Miedź Legnica,1,0,0,1,0
Jakub Łabojko,Śląsk Wrocław,1,1,0,0,0
Igors Tarasovs,Śląsk Wrocław,1,0,0,1,0
Jin Izumisawa,Pogoń Szczecin,1,0,1,0,0
Michał Żyro,Pogoń Szczecin,1,0,0,1,0
Marcin Pietrowski,Piast Gliwice,1,0,0,1,0
Andrej Kadlec,Jagiellonia,1,0,1,0,0
Timur Żamaletdinow,Lech Poznań,1,0,1,0,0
Konrad Michalak,Lechia Gdańsk,1,0,1,0,0
Marcus Vinicius,Arka Gdynia,1,0,1,0,0
Adam Marciniak,Arka Gdynia,1,0,0,1,0
Frederik Helstrup,Arka Gdynia,1,0,0,1,0
Alen Stevanović,Wisła Płock,1,0,1,0,0
Wojciech Golla,Śląsk Wrocław,1,0,1,0,0
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0
Lubomir Guldan,Zagłębie Lubin,1,0,1,0,0
Maciej Śliwa,Wisła Kraków,1,0,1,0,0
Patryk Szysz,Zagłębie Lubin,1,1,0,0,0
