KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,7,4,1,2,9,0,3,6
Cracovia,5,5,0,0,13,1,2,10
Górnik Zabrze,8,5,2,1,10,2,2,6
Jagiellonia,7,6,1,0,11,1,3,7
Korona Kielce,7,6,1,0,11,0,3,8
Lech Poznań,5,4,1,0,13,0,3,10
Lechia Gdańsk,7,5,0,2,7,2,1,4
Legia Warszawa,6,6,0,0,10,4,1,5
Miedź Legnica,3,1,1,1,11,2,1,8
Piast Gliwice,9,5,3,1,8,1,2,5
Pogoń Szczecin,10,5,3,2,8,1,0,7
Śląsk Wrocław,11,5,4,2,8,0,1,7
Wisła Kraków,5,4,0,1,13,2,1,10
Wisła Płock,8,3,4,1,11,2,2,7
Zagłębie Lubin,9,7,1,1,10,1,3,6
Zagłębie Sosnowiec,1,1,0,0,16,0,3,13
