KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,7,5,2,0,10,1,2,7
Cracovia,8,8,0,0,8,3,1,4
Górnik Zabrze,10,5,3,2,9,0,3,6
Jagiellonia,12,8,3,1,6,1,1,4
Korona Kielce,8,5,1,2,7,1,2,4
Lech Poznań,14,10,2,2,4,1,0,3
Lechia Gdańsk,15,12,2,1,3,0,2,1
Legia Warszawa,11,9,2,0,7,1,2,4
Miedź Legnica,10,7,2,1,8,0,1,7
Piast Gliwice,17,15,2,0,1,0,0,1
Pogoń Szczecin,12,6,4,2,4,2,0,2
Śląsk Wrocław,9,7,1,1,7,0,0,7
Wisła Kraków,12,7,3,2,6,1,2,3
Wisła Płock,7,5,2,0,10,0,2,8
Zagłębie Lubin,9,7,0,2,8,0,3,5
Zagłębie Sosnowiec,8,3,2,3,10,3,1,6
