KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,18,33,10,3,5,24,19,5,"1,83","1,33","1,06"
Zagłębie Lubin,19,28,8,4,7,29,25,4,"1,47","1,53","1,32"
Lechia Gdańsk,18,26,7,5,6,21,22,-1,"1,44","1,17","1,22"
Górnik Zabrze,18,25,7,4,7,25,28,-3,"1,39","1,39","1,56"
Jagiellonia,19,26,7,5,7,25,22,3,"1,37","1,32","1,16"
Piast Gliwice,18,24,6,6,6,22,23,-1,"1,33","1,22","1,28"
Korona Kielce,18,22,6,4,8,21,29,-8,"1,22","1,17","1,61"
Pogoń Szczecin,19,22,6,4,9,27,32,-5,"1,16","1,42","1,68"
Cracovia,18,20,6,2,10,22,28,-6,"1,11","1,22","1,56"
Wisła Płock,19,21,5,6,8,31,33,-2,"1,11","1,63","1,74"
Wisła Kraków,18,19,6,1,11,29,35,-6,"1,06","1,61","1,94"
Śląsk Wrocław,19,20,5,5,9,27,28,-1,"1,05","1,42","1,47"
Arka Gdynia,19,19,4,7,8,22,25,-3,"1,00","1,16","1,32"
Lech Poznań,19,17,4,5,10,21,27,-6,"0,89","1,11","1,42"
Miedź Legnica,18,15,3,6,9,18,30,-12,"0,83","1,00","1,67"
Zagłębie Sosnowiec,19,8,1,5,13,15,38,-23,"0,42","0,79","2,00"
