KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,359,33,45,23,5,6,113,"31,48%",246,"68,52%"
Arka Gdynia,26,1,4,2,0,0,7,"26,92%",19,"73,08%"
Cracovia,15,3,3,0,0,0,6,"40,00%",9,"60,00%"
Górnik Zabrze,25,2,4,2,0,0,8,"32,00%",17,"68,00%"
Jagiellonia,23,2,1,4,0,1,8,"34,78%",15,"65,22%"
Korona Kielce,24,3,1,3,0,1,8,"33,33%",16,"66,67%"
Lech Poznań,18,3,2,1,0,0,6,"33,33%",12,"66,67%"
Lechia Gdańsk,16,1,1,1,3,0,6,"37,50%",10,"62,50%"
Legia Warszawa,17,2,2,1,0,2,7,"41,18%",10,"58,82%"
ŁKS Łódź,31,1,7,2,1,1,12,"38,71%",19,"61,29%"
Piast Gliwice,18,3,2,1,0,0,6,"33,33%",12,"66,67%"
Pogoń Szczecin,14,1,4,1,0,0,6,"42,86%",8,"57,14%"
Raków Częstochowa,28,5,2,1,0,1,9,"32,14%",19,"67,86%"
Śląsk Wrocław,18,3,1,1,0,0,5,"27,78%",13,"72,22%"
Wisła Kraków,33,1,5,3,0,0,10,"30,30%",23,"69,70%"
Wisła Płock,28,2,1,0,0,0,3,"10,71%",25,"89,29%"
Zagłębie Lubin,25,0,5,0,1,0,6,"24,00%",19,"76,00%"
