KLUB,BTS,CK,BG
Arka Gdynia,21,9,11
Cracovia,18,12,10
Górnik Zabrze,19,9,9
Jagiellonia,20,9,9
Korona Kielce,21,8,12
Lech Poznań,16,10,12
Lechia Gdańsk,16,18,8
Legia Warszawa,17,14,9
Miedź Legnica,18,8,16
Piast Gliwice,18,16,5
Pogoń Szczecin,22,10,8
Śląsk Wrocław,14,10,15
Wisła Kraków,23,7,8
Wisła Płock,24,6,8
Zagłębie Lubin,20,9,9
Zagłębie Sosnowiec,25,4,10
