,CRA,JAG,LPO,LGD,LEG,PIA,POG,ZAG,D,W,22:14,10:8,16:27,19:16,16:34,25:15,20:20,24:21,
CRA,X,0:3,5:3,7:6,X,X,7:7,X,19:19
JAG,X,X,5:5,X,6:12,X,2:4,X,13:21
LPO,X,X,X,2:6,8:13,X,X,9:8,19:27
LGD,X,5:2,X,X,2:9,10:7,X,6:4,23:22
LEG,7:2,X,X,X,X,7:3,7:4,7:1,28:10
PIA,9:4,2:3,3:15,X,X,X,X,2:8,16:30
POG,X,X,3:4,10:4,X,8:5,X,X,21:13
ZAG,6:8,3:0,X,X,X,X,4:5,X,13:13
