ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""18""",CZAS
Kacper Krzepisz,Arka,0,0,0,0,20,0
Marcin Staniszewski,Arka,0,0,0,0,17,0
Pavels Steinbors,Arka,37,37,37,0,37,3330
Adam Danch,Arka,24,10,10,14,33,1203
Frederik Helstrup,Arka,29,26,29,0,30,2500
Christian Maghoma,Arka,15,14,15,0,26,1349
Adam Marciniak,Arka,34,31,34,0,34,2974
Luka Marić,Arka,23,19,23,0,27,2021
Michael Olczyk,Arka,5,2,4,1,12,316
Tadeusz Socha,Arka,10,3,4,6,33,531
Dawid Sołdecki,Arka,7,2,4,3,15,381
Robert Sulewski,Arka,2,0,1,1,7,65
Damian Zbozień,Arka,34,31,33,1,34,2901
Nabil Aankour,Arka,26,5,16,10,28,1349
Maksymilian Banaszewski,Arka,8,0,4,4,13,404
Andrij Bohdanow,Arka,8,1,6,2,10,474
Goran Cvijanović,Arka,16,0,4,12,28,400
Karol Danielak,Arka,4,0,0,4,7,74
Adam Deja,Arka,27,18,26,1,27,2125
Michał Janota,Arka,32,23,32,0,34,2757
Adrian Klimczak,Arka,1,0,0,1,2,26
Mateusz Młyński,Arka,12,0,4,8,18,421
Michał Nalepa I,Arka,29,11,29,0,33,2354
Mateusz Stępień,Arka,1,0,0,1,1,2
Marko Vejinović,Arka,14,12,14,0,14,1248
Marcus Vinicius,Arka,11,0,3,8,13,334
Luka Zarandia,Arka,28,12,23,5,28,2058
Maciej Jankowski,Arka,32,26,28,4,32,2581
Aleksandyr Kolew,Arka,17,11,17,0,17,1417
Jan Łoś,Arka,2,0,0,2,7,20
Rafał Siemaszko,Arka,26,2,7,19,29,887
Maciej Gostomski,Cracovia,11,11,11,0,15,990
Michal Peskovic,Cracovia,26,26,26,0,37,2340
Krystian Stępniowski,Cracovia,0,0,0,0,20,0
Adam Wilk,Cracovia,0,0,0,0,2,0
Adrian Danek,Cracovia,1,0,1,0,4,22
Niko Datković,Cracovia,22,19,20,2,33,1804
Ołeksij Dytiatjew,Cracovia,27,25,25,2,36,2262
Diego Ferraresso,Cracovia,24,15,19,5,35,1610
Michał Helik,Cracovia,32,28,28,4,37,2537
Adrian Kajpust,Cracovia,0,0,0,0,1,0
Kamil Pestka,Cracovia,3,1,2,1,12,227
Cornel Rapa,Cracovia,33,28,30,3,34,2747
Michal Siplak,Cracovia,30,25,28,2,30,2549
Marcin Budziński,Cracovia,14,6,11,3,19,945
Bojan Cecarić,Cracovia,7,0,3,4,15,243
Miroslav Covilo,Cracovia,1,1,1,0,1,90
Antonini Culina,Cracovia,2,0,1,1,5,63
Damian Dąbrowski,Cracovia,24,10,20,4,26,1653
Milan Dimun,Cracovia,32,17,23,9,33,2091
Elady,Cracovia,2,0,1,1,2,90
Janusz Gol,Cracovia,30,29,30,0,30,2665
Sergiu Hanca,Cracovia,16,7,13,3,16,1172
Javi Hernandez,Cracovia,33,23,27,6,33,2503
Radosław Kanach,Cracovia,1,0,0,1,2,21
Sylwester Lusiusz,Cracovia,0,0,0,0,8,0
Jakub Serafin,Cracovia,6,1,3,3,22,271
Michał Rakoczy,Cracovia,0,0,0,0,2,0
Sierdier Sierdierow,Cracovia,6,0,2,4,9,162
Vinicius Ferreira,Cracovia,1,0,0,1,2,18
Mateusz Wdowiak,Cracovia,34,12,30,4,34,2620
Airam Cabrera,Cracovia,27,10,24,3,27,2066
Gerard Oliva,Cracovia,3,1,3,0,3,191
Daniel Pik,Cracovia,4,0,0,4,6,60
Filip Piszczek,Cracovia,28,1,11,17,32,1102
Sebastian Strózik,Cracovia,20,0,4,16,25,570
Mateusz Szczepaniak,Cracovia,2,0,0,2,2,24
Sergei Zenjov,Cracovia,12,4,10,2,14,843
Daniel Bielica,Górnik,1,1,1,0,24,90
Martin Chudy,Górnik,17,17,17,0,17,1530
Tomasz Loska,Górnik,19,19,19,0,33,1710
Adam Orn Arnarson,Górnik,13,2,5,8,16,482
Paweł Bochniewicz,Górnik,32,30,31,1,32,2761
Adrian Gryszkiewicz,Górnik,22,16,20,2,31,1740
Michał Koj,Górnik,14,10,12,2,20,1105
Kacper Michalski,Górnik,11,8,10,1,14,825
Boris Sekulić,Górnik,13,13,13,0,13,1170
Dani Suarez,Górnik,31,25,26,5,36,2443
Adam Wolniewicz,Górnik,8,4,4,4,12,445
Przemysław Wiśniewski,Górnik,25,18,23,2,30,2003
Maciej Ambrosiewicz,Górnik,21,6,11,10,31,1185
Ishmael Baidoo,Górnik,5,0,2,3,9,217
Wiktor Biedrzycki,Górnik,3,0,2,1,6,108
Walerian Gwilia,Górnik,17,8,17,0,17,1415
Daniel Liszka,Górnik,10,4,8,2,22,601
Mateusz Matras,Górnik,16,13,16,0,16,1407
Szymon Matuszek,Górnik,29,13,18,11,35,1722
Giannis Mystakidis,Górnik,9,0,6,3,12,401
Konrad Nowak,Górnik,12,0,2,10,18,309
Adam Ryczkowski,Górnik,10,1,6,4,17,433
Daniel Smuga,Górnik,15,0,9,6,16,738
Łukasz Wolsztyński,Górnik,22,1,10,12,25,920
Rafał Wolsztyński,Górnik,6,0,0,6,11,146
Szymon Żurkowski,Górnik,31,28,30,1,32,2685
Igor Angulo,Górnik,37,29,34,3,37,3112
Jesus Jimenez,Górnik,36,22,32,4,36,2939
Krzysztof Kubica,Górnik,0,0,0,0,3,0
Dariusz Pawłowski,Górnik,0,0,0,0,2,0
Marcin Urynowicz,Górnik,8,1,4,4,12,341
Kamil Zapolnik,Górnik,24,5,19,5,28,1595
