ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,non-pen G - non-pen xG
Jakub Tosik,Zagłębie Lubin,10,0,"0,934","0,093","-0,934","0,934","0,093","-0,934"
Kamil Wojtkowski,Wisła Kraków,18,1,"1,943","0,108","-0,943","1,943","0,108","-0,943"
Uros Korun,Piast Gliwice,7,0,"0,949","0,136","-0,949","0,949","0,136","-0,949"
Goran Cvijanović,Arka Gdynia,11,0,"0,952","0,087","-0,952","0,952","0,087","-0,952"
Rafał Augustyniak,Miedź Legnica,33,2,"2,985","0,090","-0,985","2,985","0,090","-0,985"
Patryk Małecki,Wisła Kraków,7,0,"0,995","0,142","-0,995","0,995","0,142","-0,995"
Adam Banasiak,Zagłębie Sosnowiec,20,0,"1,002","0,050","-1,002","1,002","0,050","-1,002"
Guilherme Sitya,Jagiellonia,27,2,"3,256","0,121","-1,256","1,006","0,042","-1,006"
Jarosław Fojut,Pogoń Szczecin,7,0,"1,013","0,145","-1,013","1,013","0,145","-1,013"
Jakub Mares,Zagłębie Lubin,19,2,"3,014","0,159","-1,014","3,014","0,159","-1,014"
Maciej Ambrosiewicz,Górnik Zabrze,12,0,"1,019","0,085","-1,019","1,019","0,085","-1,019"
Tomasz Nowak,Zagłębie Sosnowiec,23,0,"1,790","0,078","-1,790","1,040","0,047","-1,040"
Borja Fernandez,Miedź Legnica,12,0,"1,047","0,087","-1,047","1,047","0,087","-1,047"
Damian Rasak,Wisła Płock,29,0,"1,072","0,037","-1,072","1,072","0,037","-1,072"
Damian Dąbrowski,Cracovia,25,0,"1,088","0,044","-1,088","1,088","0,044","-1,088"
Adnan Kovacević,Korona Kielce,20,2,"2,858","0,143","-0,858","2,108","0,111","-1,108"
Damian Szymański,Wisła Płock,29,2,"3,134","0,108","-1,134","3,134","0,108","-1,134"
Michal Siplak,Cracovia,19,1,"2,141","0,113","-1,141","2,141","0,113","-1,141"
Filip Starzyński,Zagłębie Lubin,82,13,"12,407","0,151","0,593","4,157","0,059","-1,157"
Piotr Malarczyk,Korona Kielce,17,0,"1,174","0,069","-1,174","1,174","0,069","-1,174"
Lubambo Musonda,Śląsk Wrocław,16,0,"1,188","0,074","-1,188","1,188","0,074","-1,188"
Jakub Żubrowski,Korona Kielce,35,0,"1,196","0,034","-1,196","1,196","0,034","-1,196"
Łukasz Kosakiewicz,Korona Kielce,19,0,"1,223","0,064","-1,223","1,223","0,064","-1,223"
Janusz Gol,Cracovia,19,0,"1,225","0,064","-1,225","1,225","0,064","-1,225"
Henrik Ojamaa,Miedź Legnica,39,3,"4,232","0,109","-1,232","4,232","0,109","-1,232"
Artur Sobiech,Lechia Gdańsk,29,7,"7,998","0,276","-0,998","7,248","0,259","-1,248"
Jakub Arak,Lechia Gdańsk,16,1,"2,295","0,143","-1,295","2,295","0,143","-1,295"
Luka Zarandia,Arka Gdynia,68,5,"6,295","0,093","-1,295","6,295","0,093","-1,295"
Martin Konczkowski,Piast Gliwice,19,0,"1,296","0,068","-1,296","1,296","0,068","-1,296"
Omar Santana,Miedź Legnica,27,1,"2,060","0,076","-1,060","1,310","0,050","-1,310"
Marcin Budziński,Cracovia,24,0,"1,316","0,055","-1,316","1,316","0,055","-1,316"
Szymon Matuszek,Górnik Zabrze,12,0,"1,318","0,110","-1,318","1,318","0,110","-1,318"
Marko Vesović,Legia Warszawa,22,0,"1,322","0,060","-1,322","1,322","0,060","-1,322"
Rafał Siemaszko,Arka Gdynia,22,2,"3,354","0,152","-1,354","3,354","0,152","-1,354"
Konrad Wrzesiński,Zagłębie Sosnowiec,34,3,"4,386","0,129","-1,386","4,386","0,129","-1,386"
Felicio Brown Forbes,Korona Kielce,42,3,"4,413","0,105","-1,413","4,413","0,105","-1,413"
Oliver Petrak,Korona Kielce,28,0,"1,457","0,052","-1,457","1,457","0,052","-1,457"
Thomas Rogne,Lech Poznań,9,1,"2,466","0,274","-1,466","2,466","0,274","-1,466"
Kasper Hamalainen,Legia Warszawa,26,2,"3,502","0,135","-1,502","3,502","0,135","-1,502"
Sebastian Szymański,Legia Warszawa,65,2,"3,508","0,054","-1,508","3,508","0,054","-1,508"
Elia Soriano,Korona Kielce,75,14,"15,115","0,202","-1,115","10,615","0,154","-1,615"
Maciej Makuszewski,Lech Poznań,22,0,"1,619","0,074","-1,619","1,619","0,074","-1,619"
Mateusz Wieteska,Legia Warszawa,17,0,"1,631","0,096","-1,631","1,631","0,096","-1,631"
Mateusz Wdowiak,Cracovia,51,3,"4,635","0,091","-1,635","4,635","0,091","-1,635"
Bartosz Rymaniak,Korona Kielce,30,0,"1,657","0,055","-1,657","1,657","0,055","-1,657"
Łukasz Janoszka,Zagłębie Lubin,12,1,"3,542","0,295","-2,542","2,792","0,254","-1,792"
Aleksandyr Kolew,Arka Gdynia,28,1,"2,837","0,101","-1,837","2,837","0,101","-1,837"
Patryk Klimala,Jagiellonia,18,1,"2,840","0,158","-1,840","2,840","0,158","-1,840"
Damian Gąska,Śląsk Wrocław,28,0,"1,954","0,070","-1,954","1,954","0,070","-1,954"
Adam Frączczak,Pogoń Szczecin,19,1,"2,717","0,143","-1,717","1,967","0,109","-1,967"
Zlatko Janjić,Korona Kielce,26,1,"3,044","0,117","-2,044","3,044","0,117","-2,044"
Jesus Jimenez,Górnik Zabrze,66,5,"7,154","0,108","-2,154","7,154","0,108","-2,154"
Taras Romanczuk,Jagiellonia,35,1,"3,232","0,092","-2,232","3,232","0,092","-2,232"
Wojciech Łobodziński,Miedź Legnica,25,0,"2,273","0,091","-2,273","2,273","0,091","-2,273"
Nico Varela,Wisła Płock,31,1,"3,031","0,098","-2,031","2,281","0,076","-2,281"
Fabian Piasecki,Miedź Legnica,34,1,"3,488","0,103","-2,488","3,488","0,103","-2,488"
Walerian Gwilia,Górnik Zabrze,39,1,"3,547","0,091","-2,547","3,547","0,091","-2,547"
Arkadiusz Piech,Śląsk Wrocław,41,2,"4,733","0,115","-2,733","4,733","0,115","-2,733"
MIchał Kucharczyk,Legia Warszawa,42,4,"6,253","0,149","-2,253","4,753","0,119","-2,753"
Michał Helik,Cracovia,29,0,"4,292","0,148","-4,292","2,792","0,103","-2,792"
Flavio Paixao,Lechia Gdańsk,89,15,"19,418","0,218","-4,418","12,668","0,158","-3,668"
Bartłomiej Pawłowski,Zagłębie Lubin,104,8,"11,792","0,113","-3,792","11,792","0,113","-3,792"
