ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,non-pen G - non-pen xG
Adrian Gryszkiewicz,Górnik Zabrze,3,0,"0,063","0,021","-0,063","0,063","0,021","-0,063"
Dawid Szot,Wisła Kraków,1,0,"0,067","0,067","-0,067","0,067","0,067","-0,067"
Egy Maulana Vikri,Lechia Gdańsk,1,0,"0,067","0,067","-0,067","0,067","0,067","-0,067"
Cafu,Legia Warszawa,41,4,"4,068","0,099","-0,068","4,068","0,099","-0,068"
Martin Adamec,Jagiellonia,3,0,"0,070","0,023","-0,070","0,070","0,023","-0,070"
Emmanuel Kumah,Wisła Kraków,1,0,"0,070","0,070","-0,070","0,070","0,070","-0,070"
Cezary Stefańczyk,Wisła Płock,2,0,"0,071","0,035","-0,071","0,071","0,035","-0,071"
Igor Łasicki,Wisła Płock,10,1,"1,071","0,107","-0,071","1,071","0,107","-0,071"
Miroslav Covilo,Cracovia,1,0,"0,073","0,073","-0,073","0,073","0,073","-0,073"
Adrian Klimczak,Arka Gdynia,1,0,"0,073","0,073","-0,073","0,073","0,073","-0,073"
Paweł Zieliński,Miedź Legnica,24,3,"3,079","0,128","-0,079","3,079","0,128","-0,079"
Michał Koj,Górnik Zabrze,5,0,"0,080","0,016","-0,080","0,080","0,016","-0,080"
Callum Rzonca,Zagłębie Sosnowiec,3,0,"0,084","0,028","-0,084","0,084","0,028","-0,084"
Krzysztof Kołodziej,Lech Poznań,1,0,"0,085","0,085","-0,085","0,085","0,085","-0,085"
Elton Monteiro,Miedź Legnica,1,0,"0,085","0,085","-0,085","0,085","0,085","-0,085"
Aleksandar Bjelica,Korona Kielce,4,0,"0,085","0,021","-0,085","0,085","0,021","-0,085"
Rafał Grzyb,Jagiellonia,2,0,"0,086","0,043","-0,086","0,086","0,043","-0,086"
Justas Lasickas,Jagiellonia,1,0,"0,087","0,087","-0,087","0,087","0,087","-0,087"
Łukasz Garguła,Miedź Legnica,4,0,"0,090","0,023","-0,090","0,090","0,023","-0,090"
Bodvar Bodvarsson,Jagiellonia,3,0,"0,091","0,030","-0,091","0,091","0,030","-0,091"
Michał Nalepa I,Arka Gdynia,40,2,"2,098","0,052","-0,098","2,098","0,052","-0,098"
Mateusz Skrzypczak,Lech Poznań,1,0,"0,100","0,100","-0,100","0,100","0,100","-0,100"
Santeri Hostikka,Pogoń Szczecin,3,0,"0,102","0,034","-0,102","0,102","0,034","-0,102"
Martin Toth,Zagłębie Sosnowiec,1,0,"0,105","0,105","-0,105","0,105","0,105","-0,105"
Dawid Sołdecki,Arka Gdynia,2,0,"0,111","0,055","-0,111","0,111","0,055","-0,111"
Elady,Cracovia,1,0,"0,111","0,111","-0,111","0,111","0,111","-0,111"
Rafał Wolsztyński,Górnik Zabrze,2,0,"0,113","0,057","-0,113","0,113","0,057","-0,113"
Wiktor Biedrzycki,Górnik Zabrze,1,0,"0,121","0,121","-0,121","0,121","0,121","-0,121"
Wojciech Słomka,Wisła Kraków,3,0,"0,123","0,041","-0,123","0,123","0,041","-0,123"
Daniel Pik,Cracovia,2,0,"0,125","0,062","-0,125","0,125","0,062","-0,125"
Krzysztof Mączyński,Legia/Śląsk,23,1,"1,126","0,049","-0,126","1,126","0,049","-0,126"
Daniel Liszka,Górnik Zabrze,3,0,"0,129","0,043","-0,129","0,129","0,043","-0,129"
Paweł Żyra,Zagłębie Lubin,2,0,"0,129","0,064","-0,129","0,129","0,064","-0,129"
Michał Chrapek,Śląsk Wrocław,38,3,"3,130","0,082","-0,130","3,130","0,082","-0,130"
Lasza Dwali,Pogoń Szczecin,5,1,"1,135","0,227","-0,135","1,135","0,227","-0,135"
Tymoteusz Klupś,Lech Poznań,9,1,"1,137","0,126","-0,137","1,137","0,126","-0,137"
Kamil Dankowski,Śląsk Wrocław,6,0,"0,141","0,024","-0,141","0,141","0,024","-0,141"
Semir Stilić,Wisła Płock,7,0,"0,143","0,020","-0,143","0,143","0,020","-0,143"
Tomislav Bozić,Miedź Legnica,4,0,"0,149","0,037","-0,149","0,149","0,037","-0,149"
Adam Arnarson,Górnik Zabrze,1,0,"0,155","0,155","-0,155","0,155","0,155","-0,155"
Ognjen Gnjatić,Korona Kielce,4,0,"0,160","0,040","-0,160","0,160","0,040","-0,160"
Kamil Drygas,Pogoń Szczecin,61,10,"11,163","0,183","-1,163","5,163","0,097","-0,163"
Cristian Pasquato,Legia Warszawa,4,0,"0,163","0,041","-0,163","0,163","0,041","-0,163"
Łukasz Burliga,Jagiellonia/Wisła K,11,3,"3,170","0,288","-0,170","3,170","0,288","-0,170"
Sergiu Hanca,Cracovia,17,2,"1,924","0,113","0,076","1,174","0,073","-0,174"
Martin Pospisil,Jagiellonia,34,1,"1,180","0,035","-0,180","1,180","0,035","-0,180"
Tomasz Nawotka,Zagłębie Sosnowiec,12,1,"1,182","0,099","-0,182","1,182","0,099","-0,182"
Joonas Tamm,Korona Kielce,2,0,"0,198","0,099","-0,198","0,198","0,099","-0,198"
Diego Ferraresso,Cracovia,10,0,"0,201","0,020","-0,201","0,201","0,020","-0,201"
Mateusz Żukowski,Lechia Gdańsk,3,0,"0,214","0,071","-0,214","0,214","0,071","-0,214"
Mateusz Piątkowski,Miedź Legnica,12,1,"1,216","0,101","-0,216","1,216","0,101","-0,216"
Bartłomiej Babiarz,Zagłębie Sosnowiec,8,0,"0,223","0,028","-0,223","0,223","0,028","-0,223"
Przemysław Wiśniewski,Górnik Zabrze,4,0,"0,223","0,056","-0,223","0,223","0,056","-0,223"
Łukasz Broź,Śląsk Wrocław,6,0,"0,227","0,038","-0,227","0,227","0,038","-0,227"
Michael Gardawski,Korona Kielce,14,1,"1,237","0,088","-0,237","1,237","0,088","-0,237"
