KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ
Arka Gdynia,3,-7,-3,-3,2,-3,5,4,-2,-10,8
Cracovia,-2,-4,-1,-1,2,5,1,2,2,-8,10
Górnik Zabrze,0,-7,2,1,-7,0,5,1,-5,-4,-1
Jagiellonia,-2,0,-5,1,6,5,-2,0,3,-6,9
Korona Kielce,1,-7,5,0,-2,-2,-6,-1,-12,-1,-11
Lech Poznań,0,3,0,0,0,-5,1,2,1,3,-2
Lechia Gdańsk,12,3,4,0,-1,1,1,-4,16,19,-3
Legia Warszawa,-7,3,1,1,1,3,11,4,17,-2,19
Miedź Legnica,2,-6,-2,2,-10,-2,-7,-2,-25,-4,-21
Piast Gliwice,6,11,-4,0,2,9,1,-1,24,13,11
Pogoń Szczecin,-3,5,5,0,1,-2,0,-3,3,7,-4
Śląsk Wrocław,6,2,-1,1,2,-4,-4,2,4,8,-4
Wisła Kraków,-8,3,6,2,4,-5,2,0,4,3,1
Wisła Płock,-5,4,0,-3,2,1,-8,1,-8,-4,-4
Zagłębie Lubin,5,-1,0,2,-4,1,7,-1,9,6,3
Zagłębie Sosnowiec,-8,-2,-7,-3,2,-2,-7,-4,-31,-20,-11
