POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Piast Gliwice,37,80,25,5,7,12,7,+8
2.,Legia Warszawa,37,74,23,5,9,16,5,+6
3.,Lechia Gdańsk,37,63,18,9,10,11,13,-4
4.,Jagiellonia,37,56,16,8,13,5,9,-1
5.,Lech Poznań,37,56,17,5,15,4,8,+4
6.,Śląsk Wrocław,37,52,16,4,17,14,8,+8
7.,Cracovia,37,52,16,4,17,10,9,-5
8.,Zagłębie Lubin,37,51,16,3,18,9,9,-2
9.,Korona Kielce,37,50,13,11,13,5,5,+3
10.,Pogoń Szczecin,37,48,13,9,15,12,15,-4
11.,Arka Gdynia,37,46,12,10,15,7,7,+4
12.,Wisła Kraków,37,44,13,5,19,10,14,-5
13.,Górnik Zabrze,37,44,11,11,15,5,9,-2
14.,Miedź Legnica,37,41,10,11,16,11,7,+1
15.,Zagłębie Sosnowiec,37,40,12,4,21,13,11,+11
16.,Wisła Płock,37,35,9,8,20,6,14,-6
