ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Michał Nalepa I,Arka Gdynia,85,48,0
Michał Chrapek,Śląsk Wrocław,84,68,5
Janusz Gol,Cracovia,78,67,0
Jakub Żubrowski,Korona Kielce,73,31,1
Kamil Drygas,Pogoń Szczecin,71,62,12
Taras Romanczuk,Jagiellonia,70,65,1
Sebastian Milewski,Zagłębie Sosnowiec,68,60,0
Joel Valencia,Piast Gliwice,66,85,14
Vamara Sanogo,Zagłębie Sosnowiec,66,53,16
Patryk Dziczek,Piast Gliwice,66,33,0
Bartosz Kwiecień,Jagiellonia,66,32,3
Vullnet Basha,Wisła Kraków,64,41,0
Sasa Balić,Zagłębie Lubin,64,25,7
Jarosław Kubicki,Lechia Gdańsk,64,20,1
Artur Jędrzejczyk,Legia Warszawa,63,28,5
Łukasz Trałka,Lech Poznań,62,47,1
Milan Dimun,Cracovia,60,35,0
Dominik Furman,Wisła Płock,56,69,4
Patryk Tuszyński,Zagłębie Lubin,55,83,17
Mikkel Kirkeskov,Piast Gliwice,54,42,1
Błażej Augustyn,Lechia Gdańsk,54,14,2
Jesus Jimenez,Górnik Zabrze,52,44,13
Cornel Rapa,Cracovia,52,33,1
Oliver Petrak,Korona Kielce,51,48,0
Adam Deja,Arka Gdynia,51,38,1
Sebastian Walukiewicz,Pogoń Szczecin,51,18,4
Michael Gardawski,Korona Kielce,50,56,3
Cafu,Legia Warszawa,50,52,3
Szymon Żurkowski,Górnik Zabrze,49,105,2
Michał Nalepa II,Lechia Gdańsk,49,18,1
Michał Janota,Arka Gdynia,48,50,4
Robert Pich,Śląsk Wrocław,47,58,10
Wojciech Golla,Śląsk Wrocław,47,18,2
Sebastian Szymański,Legia Warszawa,46,60,7
Jakub Czerwiński,Piast Gliwice,46,13,3
Alan Uryga,Wisła Płock,46,12,2
Arvydas Novikovas,Jagiellonia,45,71,10
Rafał Augustyniak,Miedź Legnica,45,26,2
Szymon Matuszek,Górnik Zabrze,45,26,0
Marcin Robak,Śląsk Wrocław,44,51,27
Fabian Piasecki,Miedź Legnica,43,34,6
Filip Piszczek,Cracovia,43,32,3
Tomas Podstawski,Pogoń Szczecin,43,30,0
Jorge Felix,Piast Gliwice,42,66,4
Zvonimir Kozulj,Pogoń Szczecin,42,63,3
Michal Siplak,Cracovia,42,40,0
Piotr Parzyszek,Piast Gliwice,42,38,9
Adam Marciniak,Arka Gdynia,42,17,9
Damian Zbozień,Arka Gdynia,42,8,3
Mateusz Możdżeń,Korona/Zagłębie S,41,60,0
Luka Zarandia,Arka Gdynia,41,51,4
Bartosz Slisz,Zagłębie Lubin,41,39,1
David Stec,Pogoń Szczecin,41,31,1
Michał Helik,Cracovia,41,30,1
Mateusz Matras,Zagłębie L/Górnik,41,24,3
Paweł Bochniewicz,Górnik Zabrze,41,19,1
Elia Soriano,Korona Kielce,40,72,19
Flavio Paixao,Lechia Gdańsk,40,69,31
Daniel Łukasik,Lechia Gdańsk,40,43,0
Bartosz Rymaniak,Korona Kielce,40,37,8
