KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,3,2,0,1,8,3,3,2,7,1,2,4
Cracovia,4,4,0,0,9,6,3,0,6,1,1,4
Górnik Zabrze,9,4,3,2,5,1,3,1,5,0,0,5
Jagiellonia,6,5,1,0,7,4,1,2,5,0,2,3
Korona Kielce,6,4,1,1,9,2,4,3,4,0,2,2
Lech Poznań,10,8,1,1,5,3,1,1,3,0,0,3
Lechia Gdańsk,13,10,2,1,4,2,2,0,2,0,1,1
Legia Warszawa,8,7,1,0,5,2,3,0,6,1,1,4
Miedź Legnica,7,5,1,1,8,2,3,3,4,0,0,4
Piast Gliwice,12,11,1,0,6,4,2,0,1,0,0,1
Pogoń Szczecin,9,5,3,1,6,2,3,1,3,1,0,2
Śląsk Wrocław,7,5,1,1,9,2,2,5,2,0,0,2
Wisła Kraków,10,6,3,1,8,2,3,3,1,0,0,1
Wisła Płock,4,3,1,0,9,2,3,4,5,0,1,4
Zagłębie Lubin,6,5,0,1,8,2,3,3,4,0,1,3
Zagłębie Sosnowiec,7,3,2,2,1,1,0,0,10,2,1,7
