POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Lech Poznań,34,79,24,7,3,14,5,+5
2.,Raków Częstochowa,34,68,20,8,6,10,8,-1
3.,Pogoń Szczecin,34,67,19,10,5,4,5,+2
4.,Lechia Gdańsk,34,58,16,10,8,12,6,+1
5.,Radomiak Radom,34,57,16,9,9,12,5,+9
6.,Górnik Zabrze,34,48,13,9,12,13,6,+1
7.,Piast Gliwice,34,48,12,12,10,5,10,-6
8.,Warta Poznań,34,45,12,9,13,11,6,+3
9.,Cracovia,34,45,12,9,13,7,7,-1
10.,Jagiellonia Białystok,34,41,10,11,13,3,9,+1
11.,Bruk-Bet Nieciecza,34,40,11,7,16,10,3,+8
12.,Legia Warszawa,34,39,11,6,17,10,18,-4
13.,Wisła Płock,34,39,11,6,17,5,15,-9
14.,Stal Mielec,34,38,10,8,16,6,10,+1
15.,Śląsk Wrocław,34,37,9,10,15,11,9,+2
16.,Wisła Kraków,34,36,10,6,18,10,9,+5
17.,Zagłębie Lubin,34,36,11,3,20,6,8,-2
18.,Górnik Łęczna,34,24,6,6,22,3,13,-4
