KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA prz,% GOLI ZZA,% skut. ZZA
Bruk-Bet,"13,41","5,24","29,21%","39,04%",7,"12,96%","3,93%"
Cracovia,"11,88","5,47","26,34%","46,04%",5,"11,90%","2,69%"
Górnik Ł,"15,79","6,62","26,22%","41,90%",8,"13,79%","3,56%"
Górnik Z,"11,15","4,09","26,62%","36,68%",8,"15,09%","5,76%"
Jagiellonia,"11,94","4,59","17,31%","38,42%",1,"2,08%","0,64%"
Lech,"7,62","3,47","13,56%","45,56%",2,"8,33%","1,69%"
Lechia,"13,26","4,79","30,06%","36,14%",8,"20,51%","4,91%"
Legia,"11,65","4,85","27,27%","41,67%",7,"14,89%","4,24%"
Piast,"11,88","4,35","22,30%","36,63%",2,"5,56%","1,35%"
Pogoń,"9,29","4,06","27,54%","43,67%",2,"7,14%","1,45%"
Radomiak,"12,59","5,32","21,55%","42,29%",5,"12,50%","2,76%"
Raków,"10,76","4,59","27,56%","42,62%",5,"16,67%","3,21%"
Stal,"15,24","5,76","22,96%","37,84%",10,"20,83%","5,10%"
Śląsk,"12,56","4,56","31,61%","36,30%",10,"20,83%","6,45%"
Warta,"11,68","5,26","19,55%","45,09%",5,"14,29%","2,79%"
Wisła K,"13,82","5,38","30,05%","38,94%",8,"15,69%","4,37%"
Wisła P,"14,97","6,15","26,79%","41,06%",5,"10,42%","2,39%"
Zagłębie,"13,59","5,24","30,90%","38,53%",3,"5,36%","1,69%"
