POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Pogoń Szczecin,34,72,21,9,4,63,44,19,"69,8%",+7
2.,Piast Gliwice,34,58,15,13,6,45,32,13,"71,1%",+4
3.,Lechia Gdańsk,34,57,16,9,9,52,30,22,"57,7%",0
4.,Stal Mielec,34,54,15,9,10,39,35,4,"89,7%",+17
5.,Raków Częstochowa,34,49,11,16,7,60,17,43,"28,3%",-20
6.,Wisła Płock,34,49,13,10,11,48,37,11,"77,1%",+1
7.,Radomiak Radom,34,47,12,11,11,42,26,16,"61,9%",-1
8.,Lech Poznań,34,46,10,16,8,67,21,46,"31,3%",-28
9.,Legia Warszawa,34,43,9,16,9,46,22,24,"47,8%",0
10.,Zagłębie Lubin,34,43,10,13,11,43,30,13,"69,8%",+5
11.,Śląsk Wrocław,34,40,9,13,12,42,18,24,"42,9%",+5
12.,Bruk-Bet Nieciecza,34,40,8,16,10,36,19,17,"52,8%",+8
13.,Warta Poznań,34,40,7,19,8,35,16,19,"45,7%",-2
14.,Górnik Zabrze,34,38,7,17,10,55,30,25,"54,5%",-9
15.,Górnik Łęczna,33,38,8,14,11,29,25,4,"86,2%",+10
16.,Cracovia,34,32,6,14,14,40,14,26,"35,0%",-14
17.,Jagiellonia Białystok,34,24,3,15,16,39,12,27,"30,8%",-16
18.,Wisła Kraków,34,22,2,16,16,37,6,31,"16,2%",-9
