ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Karol Angielski,Radomiak Radom,18,1,19,42,"42,9%","45,2%",21,"50,0%"
Ivi Lopez,Raków Częstochowa,20,7,27,60,"33,3%","45,0%",34,"56,7%"
Jesus Jimenez,Górnik Zabrze,8,4,12,29,"27,6%","41,4%",15,"51,7%"
Patryk Szysz,Zagłębie Lubin,11,6,17,43,"25,6%","39,5%",18,"41,9%"
Bartosz Śpiączka,Górnik Łęczna,11,0,11,29,"37,9%","37,9%",13,"44,8%"
Josue,Legia Warszawa,2,15,17,46,"4,3%","37,0%",20,"43,5%"
Muris Mesanović,Bruk-Bet,11,2,13,36,"30,6%","36,1%",15,"41,7%"
Mikael Ishak,Lech Poznań,18,6,24,67,"26,9%","35,8%",30,"44,8%"
Łukasz Sekulski,Wisła Płock,13,3,16,48,"27,1%","33,3%",17,"35,4%"
Paweł Wszołek,Legia Warszawa,6,3,9,27,"22,2%","33,3%",11,"40,7%"
Damian Gąska,Górnik Łęczna,5,4,9,27,"18,5%","33,3%",10,"37,0%"
Tomas Poznar,Bruk-Bet,2,2,4,12,"16,7%","33,3%",6,"50,0%"
Joao Amaral,Lech Poznań,14,8,22,67,"20,9%","32,8%",23,"34,3%"
Adam Zrelak,Warta Poznań,9,2,11,35,"25,7%","31,4%",11,"31,4%"
Damian Kądzior,Piast Gliwice,6,8,14,45,"13,3%","31,1%",17,"37,8%"
Erik Exposito,Śląsk Wrocław,11,2,13,42,"26,2%","31,0%",16,"38,1%"
Flavio Paixao,Lechia Gdańsk,10,6,16,52,"19,2%","30,8%",18,"34,6%"
Jason Lokilo,Górnik Łęczna,2,6,8,26,"7,7%","30,8%",8,"30,8%"
Fabian Piasecki,Śląsk/Stal,7,5,12,40,"17,5%","30,0%",15,"37,5%"
Martin Dolezal,Zagłębie Lubin,4,1,5,17,"23,5%","29,4%",6,"35,3%"
Yaw Yeboah,Wisła Kraków,5,1,6,21,"23,8%","28,6%",8,"38,1%"
Jesus Imaz,Jagiellonia,9,2,11,39,"23,1%","28,2%",11,"28,2%"
Piotr Wlazło,Bruk-Bet,9,1,10,36,"25,0%","27,8%",15,"41,7%"
Kamil Grosicki,Pogoń Szczecin,9,6,15,55,"16,4%","27,3%",20,"36,4%"
Łukasz Zwoliński,Lechia Gdańsk,14,0,14,52,"26,9%","26,9%",17,"32,7%"
Kamil Wilczek,Piast Gliwice,5,0,5,19,"26,3%","26,3%",6,"31,6%"
Grzegorz Tomasiewicz,Stal Mielec,8,2,10,39,"20,5%","25,6%",13,"33,3%"
Mateusz Mak,Stal Mielec,7,3,10,39,"17,9%","25,6%",13,"33,3%"
Bartosz Nowak,Górnik Zabrze,8,6,14,55,"14,5%","25,5%",23,"41,8%"
Luis Fernandez,Wisła Kraków,3,1,4,16,"18,8%","25,0%",5,"31,3%"
Jakub Kamiński,Lech Poznań,9,7,16,67,"13,4%","23,9%",19,"28,4%"
Luka Zahović,Pogoń Szczecin,11,4,15,63,"17,5%","23,8%",18,"28,6%"
Lukas Podolski,Górnik Zabrze,9,4,13,55,"16,4%","23,6%",17,"30,9%"
Vladislavs Gutkovskis,Raków Częstochowa,10,4,14,60,"16,7%","23,3%",15,"25,0%"
Mateusz Praszelik,Śląsk Wrocław,4,3,7,30,"13,3%","23,3%",9,"30,0%"
Tomas Prikryl,Jagiellonia,6,3,9,39,"15,4%","23,1%",10,"25,6%"
Rafał Wolski,Wisła Płock,4,7,11,48,"8,3%","22,9%",13,"27,1%"
Pelle van Amersfoort,Cracovia,8,1,9,40,"20,0%","22,5%",13,"32,5%"
Sergiu Hanca,Cracovia,4,5,9,40,"10,0%","22,5%",13,"32,5%"
