KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet,"1,12","1,53",52%,"11,53","3,94","4,76","2,82","34,18%","9,69%","4,82","1,94","3,00","13,47","2,29","0,06",BBT
Cracovia,"1,41","1,12",51%,"13,71","4,41","5,76","3,53","32,19%","9,87%","6,00","2,53","3,00","15,76","2,29","0,06",CRA
Górnik Łęczna,"0,88","1,59",46%,"9,18","3,18","3,59","2,41","34,62%","8,33%","3,29","1,12","3,82","14,24","2,65","0,18",GKŁ
Górnik Zabrze,"1,53","1,24",52%,"15,12","5,76","5,59","3,76","38,13%","9,73%","4,88","2,18","2,47","13,29","2,06","0,06",GÓR
Jagiellonia,"1,35","1,18",50%,"12,53","4,35","5,29","2,88","34,74%","10,80%","5,00","2,00","2,00","15,18","2,59","0,12",JAG
Lech Poznań,"2,35","0,41",56%,"18,35","7,00","6,47","4,88","38,14%","12,82%","6,88","1,71","1,47","11,82","1,41","0,06",LPO
Lechia Gdańsk,"1,76","0,65",53%,"13,88","5,24","5,59","3,06","37,71%","12,29%","6,65","1,76","3,41","16,29","2,29","0,06",LGD
Legia Warszawa,"1,71","1,24",56%,"14,94","5,24","6,00","3,71","35,04%","11,02%","5,82","0,94","2,41","15,71","2,24","0,06",LEG
Piast Gliwice,"1,35","1,29",49%,"11,29","3,76","4,53","3,00","33,33%","11,46%","4,71","1,76","2,41","12,82","1,59","0,00",PIA
Pogoń Szczecin,"2,41","1,12",56%,"15,71","5,94","6,00","3,76","37,83%","13,48%","7,12","1,53","1,94","10,59","1,41","0,06",POG
Radomiak Radom,"1,53","1,29",52%,"14,82","4,76","5,41","4,65","32,14%","10,32%","5,82","1,76","1,71","14,29","1,82","0,06",RAD
Raków Częstochowa,"2,06","0,76",53%,"15,24","6,06","6,24","2,94","39,77%","13,13%","5,88","2,47","2,41","13,88","2,00","0,06",RCZ
Stal Mielec,"1,24","1,24",46%,"10,35","4,00","4,00","2,35","38,64%","11,93%","5,35","1,71","3,82","11,41","2,18","0,12",STM
Śląsk Wrocław,"1,06","1,47",49%,"13,29","4,00","5,65","3,65","30,09%","7,96%","4,76","1,88","3,12","12,12","1,71","0,12",ŚLĄ
Warta Poznań,"0,94","1,29",45%,"10,94","3,53","4,18","3,24","32,26%","8,06%","4,88","1,71","2,53","15,65","2,00","0,12",WAR
Wisła Kraków,"1,24","1,24",54%,"13,47","4,47","5,59","3,41","33,19%","8,73%","6,35","1,76","3,53","13,88","2,06","0,06",WIS
Wisła Płock,"1,59","0,82",48%,"10,41","4,53","3,24","2,65","43,50%","14,12%","4,82","1,47","3,53","15,76","3,00","0,12",WPŁ
Zagłębie Lubin,"1,47","1,65",52%,"15,18","4,59","6,65","3,94","30,23%","9,30%","5,53","1,24","2,82","14,76","2,41","0,06",ZAG
