ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Maciej Ambrosiewicz,Bruk-Bet Termalica Nieciecza,pomocnik,4299,79,-,-
Martin Pospisil,Jagiellonia Białystok,pomocnik,3735,51,23.11.2020,Wisła P
Szymon Drewniak,Górnik Łęczna,pomocnik,3684,54,15.04.2017,Śląsk
Sylwester Lusiusz,Cracovia,pomocnik,3678,60,-,-
Maciej Urbańczyk,Stal Mielec,pomocnik,3572,53,19.02.2017,Legia
Daniel Łukasik,Radomiak Radom,pomocnik,2812,36,16.08.2019,Zagłębie S
Igor Sapała,Raków Częstochowa,pomocnik,2774,39,20.06.2020,Wisła K
Marcin Budziński,Stal Mielec,pomocnik,2750,44,13.03.2017,Zagłębie L
Michał Mak,Górnik Łęczna,pomocnik,2426,44,31.08.2019,Zagłębie L
Waldemar Sobota,Śląsk Wrocław,pomocnik,2392,46,29.08.2020,Wisła K
Patryk Plewka,Wisła Kraków,pomocnik,2329,32,18.10.2020,Stal
Dominik Furman,Wisła Płock,pomocnik,2293,33,06.06.2020,Jagiellonia
Krzysztof Mączyński,Śląsk Wrocław,pomocnik,2273,30,16.05.2021,Stal
Tom Hateley,Piast Gliwice,pomocnik,2239,29,14.06.2020,Jagiellonia
Damir Sadiković,Cracovia,pomocnik,2214,31,-,-
Serhij Krykun,Górnik Łęczna,pomocnik,2080,32,-,-
Walerian Gwilia,Raków Częstochowa,pomocnik,2061,40,11.07.2020,Cracovia
Filipe Nascimento,Radomiak Radom,pomocnik,1994,26,-,-
Łukasz Poręba,Zagłębie Lubin,pomocnik,1877,26,15.08.2021,Pogoń
Michał Kaput,Piast Gliwice,pomocnik,1820,29,-,-
Adam Ratajczyk,Zagłębie Lubin,pomocnik,1714,37,04.03.2020,Zagłębie L
Joseph Ceesay,Lechia Gdańsk,pomocnik,1697,24,30.04.2021,Wisła P
Damian Dąbrowski,Pogoń Szczecin,pomocnik,1595,17,27.11.2021,Lechia
Michał Jakóbowski,Warta Poznań,pomocnik,1549,27,12.12.2020,Pogoń
Bartłomiej Kalinkowski,Górnik Łęczna,pomocnik,1547,32,-,-
Jarosław Kubicki,Lechia Gdańsk,pomocnik,1531,20,03.10.2021,Legia
Alex Serrano,Górnik Łęczna,pomocnik,1526,26,-,-
Jayson Papeau,Warta Poznań,pomocnik,1526,26,-,-
Roman Gergel,Bruk-Bet Termalica Nieciecza,pomocnik,1511,25,17.03.2018,Pogoń
Maksymilian Sitek,Stal Mielec,pomocnik,1491,18,20.11.2021,Lechia
Luis Machado,Radomiak Radom,pomocnik,1403,21,22.10.2021,Górnik Ł
Sebastian Bonecki,Bruk-Bet Termalica Nieciecza,pomocnik,1385,30,-,-
Conrado,Lechia Gdańsk,pomocnik,1362,22,16.10.2021,Bruk-Bet
Pelle van Amersfoort,Cracovia,pomocnik,1327,17,05.12.2021,Legia
Ben Lederman,Raków Częstochowa,pomocnik,1304,16,04.12.2021,Lechia
Dawid Kocyła,Bruk-Bet Termalica Nieciecza,napastnik,1287,24,16.05.2021,Zagłębie L
Michał Chrapek,Piast Gliwice,pomocnik,1242,14,18.12.2021,Stal
Jan Biegański,Lechia Gdańsk,pomocnik,1234,27,-,-
Samuel Stefanik,Bruk-Bet Termalica Nieciecza,pomocnik,1197,20,30.10.2021,Śląsk
Fran Tudor,Raków Częstochowa,pomocnik,1195,13,06.02.2022,Wisła K
Karol Knap,Cracovia,pomocnik,1166,23,-,-
Szymon Czyż,Raków Częstochowa,pomocnik,1158,23,-,-
Leandro Rossi,Radomiak Radom,napastnik,1157,15,14.12.2021,Piast
Adriel Ba Loua,Lech Poznań,pomocnik,1139,23,17.09.2021,Wisła K
Grzegorz Tomasiewicz,Stal Mielec,pomocnik,1101,12,12.02.2022,Wisła K
Radosław Murawski,Lech Poznań,pomocnik,1086,15,22.10.2021,Wisła P
Kacper Skibicki,Legia Warszawa,pomocnik,1065,22,08.11.2020,Lech
Giannis Papanikolaou,Raków Częstochowa,pomocnik,1061,11,12.02.2022,Radomiak
Fedor Cernych,Jagiellonia Białystok,pomocnik,1053,18,30.10.2021,Piast
Taras Romanczuk,Jagiellonia Białystok,pomocnik,1045,11,11.12.2021,Lechia
Jan Kliment,Wisła Kraków,napastnik,1045,18,13.08.2021,Stal
Mateusz Młyński,Wisła Kraków,pomocnik,1037,22,26.07.2021,Zagłębie L
Kacper Śpiewak,Bruk-Bet Termalica Nieciecza,napastnik,1018,19,30.10.2021,Śląsk
Marko Poletanović,Wisła Kraków,pomocnik,1014,14,27.11.2021,Zagłębie L
Enis Fazlagić,Wisła Kraków,pomocnik,1011,13,-,-
Bartosz Kapustka,Legia Warszawa,pomocnik,1009,15,27.02.2021,Górnik Z
Kristopher Vida,Piast Gliwice,pomocnik,996,21,22.08.2021,Śląsk
Adam Radwański,Bruk-Bet Termalica Nieciecza,pomocnik,943,17,02.10.2021,Radomiak
Omran Haydary,Lechia Gdańsk,pomocnik,919,17,29.08.2020,Raków
Gieorgij Żukow,Wisła Kraków,pomocnik,913,16,31.07.2021,Bruk-Bet
Łukasz Łakomy,Zagłębie Lubin,pomocnik,908,12,18.02.2022,Wisła P
Dawid Kort,Stal Mielec,pomocnik,894,20,29.10.2018,Zagłębie S
Mateusz Radecki,Radomiak Radom,pomocnik,880,19,31.07.2021,Legia
Paweł Żyra,Bruk-Bet Termalica Nieciecza,pomocnik,873,20,-,-
