KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet,"1,00","1,76",51%,"11,76","3,24","5,12","3,41","27,50%","8,00%","4,88","1,53","4,47","12,47","2,47","0,00",BBT
Cracovia,"0,94","1,35",46%,"10,29","3,71","3,76","2,82","36,00%","8,57%","4,35","2,35","1,82","14,18","2,06","0,06",CRA
Górnik Łęczna,"0,82","1,94",46%,"9,24","2,82","3,65","2,76","30,57%","8,92%","4,88","2,00","3,94","13,76","1,76","0,06",GKŁ
Górnik Zabrze,"1,71","2,00",50%,"11,82","4,06","4,88","2,88","34,33%","14,43%","5,53","1,41","2,88","12,88","1,94","0,00",GÓR
Jagiellonia,"0,94","1,76",46%,"11,59","3,94","4,35","3,29","34,01%","8,12%","5,29","2,35","2,88","15,59","2,59","0,06",JAG
Lech Poznań,"1,59","1,00",56%,"16,35","5,82","6,35","4,18","35,61%","9,71%","6,76","1,71","1,59","13,12","1,65","0,06",LPO
Lechia Gdańsk,"1,29","1,65",54%,"12,88","4,12","5,29","3,47","31,96%","9,13%","6,29","1,71","3,71","13,41","2,06","0,00",LGD
Legia Warszawa,"1,00","1,59",53%,"10,59","3,53","4,12","2,94","33,33%","7,78%","6,35","1,76","3,24","14,12","3,41","0,24",LEG
Piast Gliwice,"1,29","0,88",46%,"10,41","3,24","4,71","2,47","31,07%","11,30%","4,06","1,88","2,94","12,47","1,41","0,00",PIA
Pogoń Szczecin,"1,29","0,71",55%,"13,00","4,71","4,82","3,47","36,20%","9,50%","5,41","2,12","2,71","12,71","2,29","0,12",POG
Radomiak Radom,"0,94","1,06",47%,"11,29","3,65","5,06","2,59","32,29%","7,29%","4,94","1,29","3,88","12,47","2,41","0,18",RAD
Raków Częstochowa,"1,47","1,00",47%,"12,06","5,18","4,29","2,59","42,93%","11,71%","6,41","1,00","2,76","13,41","2,59","0,18",RCZ
Stal Mielec,"1,06","1,82",44%,"10,24","3,35","4,29","2,59","32,76%","10,34%","3,53","1,59","3,06","11,94","2,35","0,06",STM
Śląsk Wrocław,"1,41","1,59",47%,"12,12","4,53","4,53","3,06","37,38%","11,17%","4,35","2,06","3,88","15,12","2,59","0,18",ŚLĄ
Warta Poznań,"1,12","0,94",43%,"9,18","3,29","3,53","2,35","35,90%","12,18%","3,71","1,82","2,53","15,59","2,06","0,00",WAR
Wisła Kraków,"0,94","1,94",51%,"11,71","3,65","4,18","3,88","31,16%","8,04%","3,88","2,12","4,18","14,00","2,00","0,18",WIS
Wisła Płock,"1,24","2,18",51%,"10,53","3,53","3,88","3,12","33,52%","11,73%","5,18","1,41","4,00","14,35","2,59","0,18",WPŁ
Zagłębie Lubin,"1,06","1,82",46%,"11,18","3,29","5,00","2,88","29,47%","8,95%","4,88","1,59","4,35","14,88","2,47","0,18",ZAG
