KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Bruk-Bet Nieciecza,34,32,27,17,10,4,1,1,0,"2,71"
Cracovia,34,32,25,15,4,3,3,0,0,"2,41"
Górnik Łęczna,34,31,27,16,11,3,1,0,0,"2,62"
Górnik Zabrze,34,31,26,22,15,8,5,2,1,"3,24"
Jagiellonia Białystok,34,32,26,19,8,3,1,0,0,"2,62"
Lech Poznań,34,32,25,18,10,5,1,0,0,"2,68"
Lechia Gdańsk,34,33,28,15,10,3,2,0,0,"2,68"
Legia Warszawa,34,33,22,18,13,5,1,1,1,"2,76"
Piast Gliwice,34,32,19,12,9,6,3,1,0,"2,41"
Pogoń Szczecin,34,32,28,17,11,5,1,0,0,"2,76"
Radomiak Radom,34,31,23,13,10,2,2,1,0,"2,41"
Raków Częstochowa,34,32,27,19,8,4,0,0,0,"2,65"
Stal Mielec,34,32,26,17,8,5,3,0,0,"2,68"
Śląsk Wrocław,34,31,28,17,11,3,2,2,0,"2,76"
Warta Poznań,34,32,24,11,5,1,0,0,0,"2,15"
Wisła Kraków,34,31,23,17,11,6,2,1,0,"2,68"
Wisła Płock,34,34,25,19,10,6,3,2,0,"2,91"
Zagłębie Lubin,34,31,27,22,14,4,3,1,0,"3,00"
