ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""20""",CZAS
Łukasz Budziłek,Bruk-Bet,3,3,3,0,17,270
Tomasz Loska,Bruk-Bet,22,22,22,0,33,1980
Pawieł Pawluczenko,Bruk-Bet,9,9,9,0,16,810
Michal Bezpalec,Bruk-Bet,8,5,8,0,14,600
Wiktor Biedrzycki,Bruk-Bet,23,20,22,1,28,1965
David Domgjoni,Bruk-Bet,8,4,6,2,14,524
Marcin Grabowski,Bruk-Bet,17,1,5,12,22,567
Mateusz Grzybek,Bruk-Bet,26,19,26,0,26,2143
Adam Hlousek,Bruk-Bet,10,4,6,4,10,618
Matej Hybs,Bruk-Bet,13,9,12,1,14,1038
Bartłomiej Kukułowicz,Bruk-Bet,14,3,9,5,27,832
Filip Modelski,Bruk-Bet,7,3,3,4,21,327
Artem Putiwcew,Bruk-Bet,18,14,16,2,20,1445
Nemanja Tekijaski,Bruk-Bet,26,22,24,2,27,2064
Marcin Wasielewski,Bruk-Bet,15,3,10,5,18,871
Maciej Ambrosiewicz,Bruk-Bet,10,3,6,4,15,503
Sebastian Bonecki,Bruk-Bet,21,3,8,13,30,818
Andrij Dombrowśkyj,Bruk-Bet,8,7,8,0,8,713
Roman Gergel,Bruk-Bet,19,2,11,8,21,936
Michal Hubinek,Bruk-Bet,32,12,23,9,33,2057
Vlastimir Jovanović,Bruk-Bet,1,0,1,0,3,45
Dawid Kocyła,Bruk-Bet,13,0,8,5,15,669
Tomasz Matuszewski,Bruk-Bet,0,0,0,0,1,0
Michał Orzechowski,Bruk-Bet,4,0,1,3,8,99
Jakub Pek,Bruk-Bet,3,0,1,2,10,101
Daniel Pietraszkiewicz,Bruk-Bet,0,0,0,0,1,0
Artem Polarus,Bruk-Bet,3,0,2,1,4,153
Adam Radwański,Bruk-Bet,26,5,19,7,27,1578
Samuel Stefanik,Bruk-Bet,30,5,20,10,33,1803
Ernest Terpiłowski,Bruk-Bet,11,1,6,5,11,603
Roland Varga,Bruk-Bet,4,0,0,4,5,45
Marcel Vasil,Bruk-Bet,1,0,0,1,3,9
Piotr Wlazło,Bruk-Bet,30,23,28,2,30,2474
Martin Zeman,Bruk-Bet,13,0,2,11,14,353
Paweł Żyra,Bruk-Bet,5,0,2,3,7,234
Patryk Czarnowski,Bruk-Bet,6,0,1,5,9,124
Muris Mesanović,Bruk-Bet,33,6,26,7,33,2182
Tomas Poznar,Bruk-Bet,11,2,7,4,11,646
Kacper Śpiewak,Bruk-Bet,28,4,13,15,31,1357
Veton Tusha,Bruk-Bet,3,0,0,3,6,17
Lukas Hrosso,Cracovia,20,20,20,0,33,1800
Karol Niemczycki,Cracovia,14,14,14,0,34,1260
Adam Wilk,Cracovia,0,0,0,0,1,0
Krystian Bracik,Cracovia,1,0,0,1,4,1
Virgil Ghita,Cracovia,10,8,10,0,11,818
David Jablonsky,Cracovia,7,6,7,0,11,585
Jakub Jugas,Cracovia,19,17,18,1,21,1581
Otar Kakabadze,Cracovia,19,9,11,8,30,1185
Kamil Pestka,Cracovia,27,16,23,4,31,2031
Mateusz Pieńczak,Cracovia,0,0,0,0,1,0
Cornel Rapa,Cracovia,33,31,32,1,33,2915
Luis Rocha,Cracovia,13,0,4,9,33,416
Matej Rodin,Cracovia,32,32,32,0,32,2880
Michal Siplak,Cracovia,24,11,19,5,25,1690
Michał Wiśniewski,Cracovia,1,0,1,0,2,45
Sergiu Hanca,Cracovia,31,12,28,3,32,2431
Mathias Hebo Rasmussen,Cracovia,28,12,19,9,32,1863
Radosław Kanach,Cracovia,2,0,0,2,2,4
Jewhen Konoplanka,Cracovia,10,1,6,4,10,531
Karol Knap,Cracovia,23,2,13,10,27,1166
Florian Loshaj,Cracovia,21,0,3,18,32,683
Sylwester Lusiusz,Cracovia,26,5,17,9,33,1309
Jakub Myszor,Cracovia,26,1,11,15,29,1203
Kamil Ogorzały,Cracovia,9,0,1,8,20,269
Robert Ożóg,Cracovia,1,0,0,1,1,4
Damir Sadiković,Cracovia,11,1,9,2,20,684
Michał Rakoczy,Cracovia,24,0,16,8,27,1197
Thiago,Cracovia,2,0,0,2,4,54
Pelle van Amersfoort,Cracovia,33,25,30,3,33,2696
Patryk Zaucha,Cracovia,5,0,4,1,10,259
Marcos Alvarez,Cracovia,10,1,7,3,11,552
Filip Balaj,Cracovia,10,2,4,6,11,337
Filip Piszczek,Cracovia,8,0,5,3,13,391
Rivaldinho,Cracovia,19,1,7,12,23,806
Maciej Gostomski,Górnik Ł,32,32,32,0,32,2880
Adrian Kostrzewski,Górnik Ł,2,2,2,0,23,180
Jakub Nowaczek,Górnik Ł,0,0,0,0,8,0
Tomasz Woźniak,Górnik Ł,0,0,0,0,5,0
Paweł Baranowski,Górnik Ł,6,6,6,0,12,540
Jonathan de Amo,Górnik Ł,5,5,5,0,8,450
Daniel Dziwniel,Górnik Ł,19,7,13,6,29,1136
Gerson,Górnik Ł,10,7,9,1,12,747
Michał Król,Górnik Ł,2,0,0,2,5,5
Leandro,Górnik Ł,31,25,27,4,33,2476
Ruben Lobato,Górnik Ł,3,0,2,1,8,194
Tomasz Midzierski,Górnik Ł,17,11,14,3,31,1254
Maciej Orłowski,Górnik Ł,4,3,4,0,5,342
Kamil Pajnowski,Górnik Ł,12,8,10,2,19,901
Bartosz Rymaniak,Górnik Ł,24,17,19,5,27,1717
Kryspin Szcześniak,Górnik Ł,25,19,22,3,32,2043
Adrian Cierpka,Górnik Ł,3,0,1,2,4,82
Szymon Drewniak,Górnik Ł,26,8,14,12,29,1482
Damian Gąska,Górnik Ł,27,2,21,6,29,1741
Janusz Gol,Górnik Ł,29,20,29,0,29,2462
Michał Goliński,Górnik Ł,15,2,11,4,25,823
Aleksander Jagiełło,Górnik Ł,2,0,0,2,4,34
Bartłomiej Kalinkowski,Górnik Ł,16,1,6,10,22,589
Serhij Krykun,Górnik Ł,32,9,23,9,32,2080
Jason Lokilo,Górnik Ł,25,8,18,7,27,1664
Michał Mak,Górnik Ł,24,5,13,11,28,1199
Marcel Obroślak,Górnik Ł,0,0,0,0,1,0
Alex Serrano,Górnik Ł,26,6,18,8,28,1526
Łukasz Szramowski,Górnik Ł,12,2,5,7,22,442
Dawid Tkacz,Górnik Ł,2,0,0,2,3,10
Tomasz Tymosiak,Górnik Ł,7,0,3,4,14,221
Marcel Wędrychowski,Górnik Ł,18,0,9,9,21,769
Przemysław Banaszak,Górnik Ł,28,5,11,17,29,1113
Mateusz Golba,Górnik Ł,0,0,0,0,1,0
Michał Szałachowski,Górnik Ł,1,0,0,1,1,1
Bartosz Śpiączka,Górnik Ł,27,12,26,1,27,2241
Paweł Wojciechowski,Górnik Ł,10,0,1,9,12,182
Daniel Bielica,Górnik Z,14,14,14,0,34,1260
Paweł Sokół,Górnik Z,0,0,0,0,4,0
Grzegorz Sandomierski,Górnik Z,20,20,20,0,32,1800
Stefanos Evangelou,Górnik Z,0,0,0,0,1,0
