ZAWODNIK,KLUB,GOLE
Karol Angielski,Radomiak Radom,18
Łukasz Zwoliński,Lechia Gdańsk,14
Łukasz Sekulski,Wisła Płock,13
Bartosz Śpiączka,Górnik Łęczna,11
Patryk Szysz,Zagłębie Lubin,11
Jakub Kamiński,Lech Poznań,9
Krzysztof Kubica,Górnik Zabrze,9
Kamil Grosicki,Pogoń Szczecin,9
Piotr Wlazło,Bruk-Bet,9
Bartosz Nowak,Górnik Zabrze,8
Grzegorz Tomasiewicz,Stal Mielec,8
Kamil Drygas,Pogoń Szczecin,7
Fabian Piasecki,Śląsk/Stal,7
Mateusz Wdowiak,Raków Częstochowa,7
Patryk Sokołowski,Piast/Legia,7
Mateusz Mak,Stal Mielec,7
Filip Starzyński,Zagłębie Lubin,6
Damian Kądzior,Piast Gliwice,6
Paweł Wszołek,Legia Warszawa,6
Sebastian Kowalczyk,Pogoń Szczecin,6
Damian Warchoł,Wisła Płock,6
Piotr Krawczyk,Górnik Zabrze,5
Damian Gąska,Górnik Łęczna,5
Adrian Łyszczarz,Śląsk Wrocław,5
Kamil Wilczek,Piast Gliwice,5
Michał Kucharczyk,Pogoń Szczecin,5
Mateusz Szwoch,Wisła Płock,5
Rafał Wolski,Wisła Płock,4
Dawid Abramowicz,Radomiak Radom,4
Kamil Pestka,Cracovia,4
Janusz Gol,Górnik Łęczna,4
Mateusz Wieteska,Legia Warszawa,4
Kacper Chodyna,Zagłębie Lubin,4
Dawid Kownacki,Lech Poznań,4
Mateusz Praszelik,Śląsk Wrocław,4
Michał Chrapek,Piast Gliwice,4
Przemysław Banaszak,Górnik Łęczna,4
Maciej Gajos,Lechia Gdańsk,4
Bartosz Salamon,Lech Poznań,3
Jan Grzesik,Warta Poznań,3
Kacper Kozłowski,Pogoń Szczecin,3
Maksymilian Sitek,Stal Mielec,3
Sebastian Musiolik,Raków Częstochowa,3
Damian Rasak,Wisła Płock,3
Jakub Myszor,Cracovia,3
Michał Rakoczy,Cracovia,3
Robert Dadok,Górnik Zabrze,3
Maciej Żurawski,Pogoń Szczecin,3
Bartosz Bida,Jagiellonia,3
Maciej Rosołek,Legia Warszawa,3
Oskar Zawada,Stal Mielec,3
Marcin Cebula,Raków Częstochowa,3
Taras Romanczuk,Jagiellonia,3
Jakub Czerwiński,Piast Gliwice,3
Adam Radwański,Bruk-Bet,2
Andrzej Niewulis,Raków Częstochowa,2
Arkadiusz Pyrka,Piast Gliwice,2
Jarosław Kubicki,Lechia Gdańsk,2
Konrad Gruszkowski,Wisła Kraków,2
