KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Bruk-Bet,"11,65","4,76","25,93%","40,91%",7,"20,00%","4,32%"
Cracovia,"12,00","5,06","23,84%","42,16%",8,"21,05%","4,65%"
Górnik Ł,"9,21","3,85","21,37%","41,85%",3,"11,11%","2,29%"
Górnik Z,"13,47","5,47","29,03%","40,61%",8,"14,81%","4,30%"
Jagiellonia,"12,06","4,97","26,04%","41,22%",3,"7,69%","1,78%"
Lech,"17,35","7,15","23,87%","41,19%",8,"11,94%","3,29%"
Lechia,"13,38","5,21","24,86%","38,90%",9,"18,37%","5,08%"
Legia,"12,76","5,06","26,74%","39,63%",3,"7,14%","1,74%"
Piast,"10,85","3,82","23,85%","35,23%",3,"7,14%","2,31%"
Pogoń,"14,35","4,50","26,80%","31,35%",2,"3,51%","1,31%"
Radomiak,"13,06","5,24","22,47%","40,09%",1,"2,50%","0,56%"
Raków,"13,65","4,62","38,85%","33,84%",9,"15,52%","5,73%"
Stal,"10,29","4,44","25,83%","43,14%",8,"20,51%","5,30%"
Śląsk,"12,71","6,29","23,36%","49,54%",7,"17,07%","3,27%"
Warta,"10,06","3,82","26,15%","38,01%",3,"8,82%","2,31%"
Wisła K,"12,59","5,32","26,52%","42,29%",4,"11,11%","2,21%"
Wisła P,"10,47","3,82","23,85%","36,52%",5,"10,87%","3,85%"
Zagłębie,"13,18","6,38","23,04%","48,44%",10,"24,39%","4,61%"
