ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Ivi Lopez,Raków Częstochowa,14,23,"42,9%"
Josue,Legia Warszawa,0,20,-
Kamil Grosicki,Pogoń Szczecin,11,19,"27,3%"
Bartosz Nowak,Górnik Zabrze,11,16,"27,3%"
Lukas Podolski,Górnik Zabrze,13,14,"23,1%"
Dawid Abramowicz,Radomiak Radom,5,11,"60,0%"
Erik Janza,Górnik Zabrze,2,11,"50,0%"
Sebastian Kowalczyk,Pogoń Szczecin,5,11,"40,0%"
Jesus Jimenez,Górnik Zabrze,12,10,"41,7%"
Adriel Ba Loua,Lech Poznań,3,10,"33,3%"
Erik Daniel,Zagłębie Lubin,3,10,"33,3%"
Fran Tudor,Raków Częstochowa,3,10,"33,3%"
Ilkay Durmus,Lechia Gdańsk,5,10,"20,0%"
Joel Pereira,Lech Poznań,0,9,-
Fabian Piasecki,Śląsk/Stal,8,9,"37,5%"
Mateusz Wdowiak,Raków Częstochowa,12,9,"25,0%"
Piotr Tomasik,Wisła Płock,0,8,-
Erik Exposito,Śląsk Wrocław,7,8,"71,4%"
Damian Kądzior,Piast Gliwice,6,8,"66,7%"
Joao Amaral,Lech Poznań,14,8,"57,1%"
Sergiu Hanca,Cracovia,6,8,"50,0%"
Adam Zrelak,Warta Poznań,19,8,"42,1%"
Jakub Kamiński,Lech Poznań,13,8,"38,5%"
Michał Kucharczyk,Pogoń Szczecin,8,8,"37,5%"
Kacper Chodyna,Zagłębie Lubin,3,8,"33,3%"
Leandro Rossi,Radomiak Radom,3,8,"33,3%"
Mateusz Praszelik,Śląsk Wrocław,5,8,"20,0%"
Bojan Nastić,Jagiellonia,0,7,-
Tom Hateley,Piast Gliwice,0,7,-
Flavio Paixao,Lechia Gdańsk,6,7,"66,7%"
Paweł Wszołek,Legia Warszawa,9,7,"66,7%"
Pelle van Amersfoort,Cracovia,11,7,"45,5%"
Fedor Cernych,Jagiellonia,6,7,"33,3%"
Maciej Gajos,Lechia Gdańsk,3,7,"33,3%"
Michal Skvarka,Wisła Kraków,4,7,"25,0%"
Patryk Szysz,Zagłębie Lubin,12,7,"25,0%"
Mateusz Grzybek,Bruk-Bet,7,7,"14,3%"
Nika Kwekweskiri,Lech Poznań,1,7,"0,0%"
Samuel Stefanik,Bruk-Bet,2,7,"0,0%"
Filipe Nascimento,Radomiak Radom,0,6,-
Victor Garcia,Śląsk Wrocław,0,6,-
Miłosz Kozak,Radomiak Radom,0,6,-
Rafał Pietrzak,Lechia Gdańsk,0,6,-
Maciej Domański,Stal Mielec,0,6,-
Martin Konczkowski,Piast Gliwice,1,6,"100,0%"
Jarosław Kubicki,Lechia Gdańsk,1,6,"100,0%"
Bartosz Śpiączka,Górnik Łęczna,6,6,"66,7%"
Grzegorz Tomasiewicz,Stal Mielec,3,6,"66,7%"
Dani Ramirez,Lech Poznań,2,6,"50,0%"
Konrad Gruszkowski,Wisła Kraków,5,6,"40,0%"
Mikael Ishak,Lech Poznań,28,6,"35,7%"
Michał Chrapek,Piast Gliwice,1,6,"0,0%"
Michał Mak,Górnik Łęczna,4,6,"0,0%"
Michal Hubinek,Bruk-Bet,0,5,-
Alasana Manneh,Górnik Zabrze,0,5,-
Luis Mata,Pogoń Szczecin,0,5,-
Giannis Papanikolaou,Raków Częstochowa,0,5,-
Milan Rundić,Raków Częstochowa,1,5,"100,0%"
Robert Dadok,Górnik Zabrze,3,5,"66,7%"
Janusz Gol,Górnik Łęczna,2,5,"50,0%"
Jan Grzesik,Warta Poznań,4,5,"50,0%"
Jason Lokilo,Górnik Łęczna,2,5,"50,0%"
Dor Hugi,Wisła Kraków,3,5,"33,3%"
Łukasz Poręba,Zagłębie Lubin,4,5,"25,0%"
Cornel Rapa,Cracovia,4,5,"25,0%"
Jean Carlos Silva,Pogoń Szczecin,11,5,"18,2%"
Mateusz Cholewiak,Górnik Zabrze,6,5,"16,7%"
Joseph Ceesay,Lechia Gdańsk,2,5,"0,0%"
Matej Hanousek,Wisła Kraków,1,5,"0,0%"
Bartłomiej Pawłowski,Śląsk Wrocław,2,5,"0,0%"
Martin Pospisil,Jagiellonia,1,5,"0,0%"
Łukasz Trałka,Warta Poznań,3,5,"0,0%"
Matej Hybs,Bruk-Bet,1,5,"0,0%"
Heorhij Citaiszwili,Wisła Kraków,1,5,"0,0%"
Meik Karwot,Radomiak Radom,0,4,-
Ben Lederman,Raków Częstochowa,0,4,-
Bartłomiej Wdowik,Jagiellonia,0,4,-
Jakub Holubek,Piast Gliwice,1,4,"100,0%"
Robert Ivanov,Warta Poznań,1,4,"100,0%"
Konrad Matuszewski,Warta Poznań,1,4,"100,0%"
Damian Rasak,Wisła Płock,1,4,"100,0%"
Piotr Wlazło,Bruk-Bet,1,4,"100,0%"
Miguel Luis,Warta Poznań,1,4,"100,0%"
Arkadiusz Pyrka,Piast Gliwice,3,4,"66,7%"
Marco Terrazzino,Lechia Gdańsk,3,4,"66,7%"
Alberto Toril,Piast Gliwice,8,4,"62,5%"
Krzysztof Kubica,Górnik Zabrze,16,4,"56,3%"
Kacper Kozłowski,Pogoń Szczecin,2,4,"50,0%"
Kristopher Vida,Piast Gliwice,6,4,"50,0%"
Damian Warchoł,Wisła Płock,6,4,"50,0%"
Jesus Imaz,Jagiellonia,18,4,"44,4%"
Damian Gąska,Górnik Łęczna,5,4,"40,0%"
Maciej Rosołek,Legia Warszawa,5,4,"40,0%"
Vladislavs Gutkovskis,Raków Częstochowa,20,4,"35,0%"
Milan Corryn,Warta Poznań,3,4,"33,3%"
Adam Radwański,Bruk-Bet,3,4,"33,3%"
Pedro Rebocho,Lech Poznań,3,4,"33,3%"
Kacper Sezonienko,Lechia Gdańsk,3,4,"33,3%"
Filip Starzyński,Zagłębie Lubin,3,4,"33,3%"
Frank Castaneda,Warta Poznań,10,4,"30,0%"
Mateusz Mak,Stal Mielec,15,4,"26,7%"
Jan Kliment,Wisła Kraków,9,4,"22,2%"
Jakub Bartkowski,Pogoń Szczecin,3,4,"0,0%"
Tomas Prikryl,Jagiellonia,2,4,"0,0%"
Michał Skóraś,Lech Poznań,5,4,"0,0%"
Rafał Wolski,Wisła Płock,3,4,"0,0%"
Artem Putiwcew,Bruk-Bet,2,4,"0,0%"
Łukasz Łakomy,Zagłębie Lubin,1,4,"0,0%"
Aleks Ławniczak,Warta/Zagłębie,0,3,-
Patryk Lipski,Piast Gliwice,0,3,-
Kamil Pestka,Cracovia,0,3,-
Kristian Vallo,Wisła Płock,0,3,-
Aschraf El Mahdioui,Wisła Kraków,0,3,-
Bartosz Slisz,Legia Warszawa,0,3,-
Dino Stiglec,Śląsk Wrocław,1,3,"100,0%"
Jesper Karlstrom,Lech Poznań,1,3,"100,0%"
Mateusz Szwoch,Wisła Płock,1,3,"100,0%"
Miłosz Szczepański,Warta Poznań,1,3,"100,0%"
Patryk Sokołowski,Piast/Legia,7,3,"71,4%"
Conrado,Lechia Gdańsk,2,3,"50,0%"
Muris Mesanović,Bruk-Bet,18,3,"50,0%"
Lubomir Satka,Lech Poznań,2,3,"50,0%"
Nemanja Tekijaski,Bruk-Bet,2,3,"50,0%"
Mateusz Żukowski,Lechia Gdańsk,2,3,"50,0%"
Jakub Myszor,Cracovia,2,3,"50,0%"
Jakub Kałuziński,Lechia Gdańsk,2,3,"50,0%"
Dawid Kownacki,Lech Poznań,8,3,"50,0%"
Karol Angielski,Radomiak Radom,10,3,"40,0%"
Maurides,Radomiak Radom,10,3,"40,0%"
Piotr Krawczyk,Górnik Zabrze,14,3,"35,7%"
Marcos Alvarez,Cracovia,3,3,"33,3%"
Rafał Kurzawa,Pogoń Szczecin,3,3,"33,3%"
Rafael Lopes,Legia Warszawa,6,3,"33,3%"
Elvis Manu,Wisła Kraków,3,3,"33,3%"
Damian Dąbrowski,Pogoń Szczecin,1,3,"0,0%"
Michal Frydrych,Wisła Kraków,5,3,"0,0%"
Roman Gergel,Bruk-Bet,2,3,"0,0%"
Krystian Getinger,Stal Mielec,1,3,"0,0%"
Jorginho,Wisła Płock,3,3,"0,0%"
Luquinhas,Legia Warszawa,2,3,"0,0%"
Damian Michalski,Wisła Płock,2,3,"0,0%"
Jayson Papeau,Warta Poznań,4,3,"0,0%"
Mateusz Radecki,Radomiak Radom,6,3,"0,0%"
Sasa Zivec,Zagłębie Lubin,4,3,"0,0%"
Waldemar Sobota,Śląsk Wrocław,3,3,"0,0%"
Patryk Kun,Raków Częstochowa,3,3,"0,0%"
Barry Douglas,Lech Poznań,0,2,-
Damian Jakubik,Radomiak Radom,0,2,-
Michał Kaput,Radomiak/Piast,0,2,-
Bartłomiej Kukułowicz,Bruk-Bet,0,2,-
Mateusz Matras,Stal Mielec,0,2,-
Adam Ratajczyk,Zagłębie Lubin,0,2,-
Kacper Smoliński,Pogoń Szczecin,0,2,-
Artur Sobiech,Lech Poznań,0,2,-
Karol Struski,Jagiellonia,0,2,-
Jakub Kiełb,Warta Poznań,0,2,-
Dawid Kort,Stal Mielec,0,2,-
Filip Mladenović,Legia Warszawa,0,2,-
Luis Fernandez,Wisła Kraków,0,2,-
Patrick Olsen,Śląsk Wrocław,0,2,-
Tomasz Makowski,Lechia Gdańsk,1,2,"100,0%"
Tomasz Kędziora,Lech Poznań,1,2,"100,0%"
Mateusz Wieteska,Legia Warszawa,5,2,"80,0%"
Marko Kolar,Wisła Płock,6,2,"66,7%"
Łukasz Sekulski,Wisła Płock,13,2,"61,5%"
Antonio Milić,Lech Poznań,6,2,"50,0%"
Mateusz Młyński,Wisła Kraków,2,2,"50,0%"
Petr Schwarz,Śląsk Wrocław,2,2,"50,0%"
Filip Piszczek,Cracovia/Jagiellonia,2,2,"50,0%"
Stefan Savić,Wisła Kraków,2,2,"50,0%"
Alan Czerwiński,Lech Poznań,2,2,"50,0%"
Maciej Żurawski,Pogoń Szczecin,5,2,"40,0%"
Przemysław Banaszak,Górnik Łęczna,6,2,"33,3%"
Kostas Triantafyllopoulos,Pogoń Szczecin,3,2,"33,3%"
Mathias Hebo Rasmussen,Cracovia,3,2,"33,3%"
Matej Rodin,Cracovia,3,2,"33,3%"
Tomas Zajic,Zagłębie Lubin,6,2,"33,3%"
Dariusz Pawłowski,Górnik Zabrze,3,2,"33,3%"
Caye Quintana,Śląsk Wrocław,8,2,"25,0%"
Piotr Parzyszek,Pogoń Szczecin,4,2,"25,0%"
Mattias Johansson,Legia Warszawa,4,2,"25,0%"
Luis Machado,Radomiak Radom,10,2,"20,0%"
Ernest Muci,Legia Warszawa,5,2,"20,0%"
Maksymilian Sitek,Stal Mielec,5,2,"20,0%"
Robert Pich,Śląsk Wrocław,16,2,"12,5%"
Mahir Emreli,Legia Warszawa,11,2,"9,1%"
Szymon Czyż,Warta Poznań,1,2,"0,0%"
Wojciech Golla,Śląsk Wrocław,2,2,"0,0%"
Walerian Gwilia,Raków Częstochowa,1,2,"0,0%"
Karol Knap,Cracovia,2,2,"0,0%"
Serhij Krykun,Górnik Łęczna,7,2,"0,0%"
Mario Maloca,Lechia Gdańsk,2,2,"0,0%"
Filip Marchwiński,Lech Poznań,3,2,"0,0%"
Alex Serrano,Górnik Łęczna,2,2,"0,0%"
Michal Siplak,Cracovia,1,2,"0,0%"
Kacper Skibicki,Legia Warszawa,2,2,"0,0%"
Michał Żyro,Piast/Jagiellonia,5,2,"0,0%"
Lindsay Rose,Legia Warszawa,2,2,"0,0%"
Michał Kopczyński,Warta Poznań,1,2,"0,0%"
Daniel Dziwniel,Górnik Łęczna,1,2,"0,0%"
Dennis Jastrzembski,Śląsk Wrocław,1,2,"0,0%"
Mateusz Kupczak,Warta Poznań,1,2,"0,0%"
Mariusz Malec,Pogoń Szczecin,2,2,"0,0%"
Deian Sorescu,Raków Częstochowa,1,2,"0,0%"
Jewhen Konoplanka,Cracovia,3,2,"0,0%"
David Domgjoni,Bruk-Bet,1,2,"0,0%"
Filip Bainović,Górnik Zabrze,0,1,-
Michal Bezpalec,Bruk-Bet,0,1,-
Mateusz Czyżycki,Warta Poznań,0,1,-
Alexandre Guedes,Raków Częstochowa,0,1,-
Bartłomiej Kalinkowski,Górnik Łęczna,0,1,-
Lirim Kastrati,Legia Warszawa,0,1,-
Mykoła Musolitin,Lechia Gdańsk,0,1,-
Lubambo Musonda,Śląsk Wrocław,0,1,-
Damir Sadiković,Cracovia,0,1,-
Ian Soler,Zagłębie Lubin,0,1,-
Thiago,Cracovia,0,1,-
Maciej Urbańczyk,Stal Mielec,0,1,-
Jakub Wójcicki,Zagłębie Lubin,0,1,-
Damian Zbozień,Wisła Płock,0,1,-
Krzysztof Mączyński,Śląsk Wrocław,0,1,-
Bartosz Kwiecień,Jagiellonia,0,1,-
Bartłomiej Kłudka,Zagłębie Lubin,0,1,-
Tomasz Midzierski,Górnik Łęczna,0,1,-
Fryderyk Gerbowski,Wisła Płock,0,1,-
Jan Biegański,Lechia Gdańsk,0,1,-
Bartłomiej Burman,Warta Poznań,0,1,-
Jakub Iskra,Śląsk Wrocław,0,1,-
Filip Majchrowicz,Radomiak Radom,0,1,-
Daniel Szelągowski,Warta Poznań,0,1,-
Kajetan Szmyt,Warta Poznań,0,1,-
Kristoffer Velde,Lech Poznań,0,1,-
Daniel Łukasik,Radomiak Radom,0,1,-
Artem Polarus,Bruk-Bet,0,1,-
Michał Szromnik,Śląsk Wrocław,0,1,-
Igor Sapała,Raków Częstochowa,0,1,-
Andrij Dombrowśkyj,Bruk-Bet,0,1,-
Marc Gual,Jagiellonia,0,1,-
Alexandros Katranis,Piast Gliwice,0,1,-
Thabo Cele,Radomiak Radom,0,1,-
Michał Pazdan,Jagiellonia,0,1,-
Cezary Miszta,Jagiellonia,0,1,-
Kamil Drygas,Pogoń Szczecin,2,1,"100,0%"
Mateusz Hołownia,Legia Warszawa,1,1,"100,0%"
Anton Krywociuk,Wisła Płock,2,1,"100,0%"
Rafał Makowski,Śląsk Wrocław,1,1,"100,0%"
Marcel Wędrychowski,Górnik Łęczna,1,1,"100,0%"
Radosław Murawski,Lech Poznań,1,1,"100,0%"
Marcel Zylla,Śląsk Wrocław,1,1,"100,0%"
Israel Puerto,Jagiellonia,2,1,"100,0%"
Koki Hinokio,Stal Mielec,1,1,"100,0%"
Ariel Mosór,Piast Gliwice,1,1,"100,0%"
Sebastian Musiolik,Raków Częstochowa,3,1,"66,7%"
Raphael Rossi,Radomiak Radom,3,1,"66,7%"
Luka Zahović,Pogoń Szczecin,18,1,"61,1%"
Michael Ameyaw,Piast Gliwice,2,1,"50,0%"
Jakub Czerwiński,Piast Gliwice,4,1,"50,0%"
Jonathan de Amo,Stal Mielec,2,1,"50,0%"
Adrian Gryszkiewicz,Górnik Zabrze,2,1,"50,0%"
Wahan Biczachczjan,Pogoń Szczecin,2,1,"50,0%"
Tomas Pekhart,Legia Warszawa,14,1,"35,7%"
Jewgienij Baszkirow,Zagłębie Lubin,3,1,"33,3%"
Wiktor Długosz,Raków Częstochowa,3,1,"33,3%"
Bartosz Salamon,Lech Poznań,3,1,"33,3%"
Tomas Poznar,Bruk-Bet,6,1,"33,3%"
Felicio Brown Forbes,Wisła Kraków,7,1,"28,6%"
Tomas Petrasek,Raków Częstochowa,8,1,"25,0%"
Fabio Sturgeon,Raków Częstochowa,4,1,"25,0%"
Yaw Yeboah,Wisła Kraków,4,1,"25,0%"
Martin Dolezal,Zagłębie Lubin,4,1,"25,0%"
Michał Rakoczy,Cracovia,6,1,"16,7%"
Mario Rondon,Radomiak Radom,6,1,"16,7%"
Kacper Śpiewak,Bruk-Bet,7,1,"14,3%"
Zdenek Ondrasek,Wisła Kraków,9,1,"11,1%"
Marcin Cebula,Raków Częstochowa,2,1,"0,0%"
Marcin Flis,Stal Mielec,2,1,"0,0%"
Adam Hlousek,Bruk-Bet,3,1,"0,0%"
Tomas Huk,Piast Gliwice,2,1,"0,0%"
Michał Jakóbowski,Warta Poznań,3,1,"0,0%"
Jakub Jugas,Cracovia,4,1,"0,0%"
Michał Nalepa I,Jagiellonia,1,1,"0,0%"
Pedro Tiba,Lech Poznań,2,1,"0,0%"
Bogdan Tiru,Jagiellonia,2,1,"0,0%"
Andrzej Trubeha,Jagiellonia,3,1,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,1,1,"0,0%"
Martin Zeman,Bruk-Bet,1,1,"0,0%"
Mateusz Żyro,Stal Mielec,3,1,"0,0%"
Taras Romanczuk,Jagiellonia,2,1,"0,0%"
Konrad Wrzesiński,Stal Mielec,1,1,"0,0%"
Marko Poletanović,Raków/Wisła K,1,1,"0,0%"
Karol Podliński,Zagłębie Lubin,1,1,"0,0%"
Dariusz Stalmach,Górnik Zabrze,2,1,"0,0%"
Dawid Kocyła,Wisła P/Bruk-Bet,2,1,"0,0%"
Otar Kakabadze,Cracovia,1,1,"0,0%"
Dominik Furman,Wisła Płock,1,1,"0,0%"
Maciej Sadlok,Wisła Kraków,1,0,"100,0%"
Gieorgij Żukow,Wisła Kraków,1,0,"100,0%"
Dusan Lagator,Wisła Płock,1,0,"100,0%"
Artur Bogusz,Radomiak Radom,1,0,"100,0%"
Radosław Cielemęcki,Wisła Płock,1,0,"100,0%"
Serafin Szota,Wisła Kraków,1,0,"100,0%"
Szymon Lewkot,Śląsk Wrocław,1,0,"100,0%"
Filip Koperski,Lechia Gdańsk,1,0,"100,0%"
Adrian Lis,Warta Poznań,1,0,"100,0%"
Miłosz Matysik,Jagiellonia,1,0,"100,0%"
Michał Nalepa II,Lechia Gdańsk,1,0,"100,0%"
Mariusz Fornalczyk,Pogoń Szczecin,1,0,"100,0%"
Rafał Janicki,Górnik Zabrze,1,0,"100,0%"
Aleksander Pawlak,Wisła Płock,1,0,"100,0%"
Oskar Zawada,Stal Mielec,4,0,"75,0%"
Adrian Łyszczarz,Śląsk Wrocław,3,0,"66,7%"
Diego Carioca,Jagiellonia,3,0,"66,7%"
Bartosz Bida,Jagiellonia,5,0,"60,0%"
Tiago Matos,Radomiak Radom,2,0,"50,0%"
Nikola Stojiljković,Piast Gliwice,2,0,"50,0%"
Diogo Verdasca,Śląsk Wrocław,2,0,"50,0%"
Dawid Szymonowicz,Warta Poznań,2,0,"50,0%"
Tomasz Pieńko,Zagłębie Lubin,2,0,"50,0%"
Bozidar Czorbadżijski,Stal Mielec,2,0,"50,0%"
Filip Lesniak,Wisła Płock,2,0,"50,0%"
Łukasz Zwoliński,Lechia Gdańsk,34,0,"35,3%"
Dominik Sokół,Radomiak Radom,3,0,"33,3%"
Andrzej Niewulis,Raków Częstochowa,3,0,"33,3%"
Rivaldinho,Cracovia,3,0,"33,3%"
Higinio Marin,Górnik Zabrze,3,0,"33,3%"
Mateusz Bartolewski,Zagłębie Lubin,7,0,"28,6%"
Kamil Wilczek,Piast Gliwice,11,0,"27,3%"
Mateusz Kuzimski,Warta Poznań,7,0,"14,3%"
Tiago Alves,Piast Gliwice,2,0,"0,0%"
Błażej Augustyn,Jagiellonia,1,0,"0,0%"
Sebastian Bonecki,Bruk-Bet,2,0,"0,0%"
Marcin Budziński,Stal Mielec,1,0,"0,0%"
Adrian Cierpka,Górnik Łęczna,1,0,"0,0%"
Patryk Czarnowski,Bruk-Bet,1,0,"0,0%"
Bassekou Diabate,Lechia Gdańsk,4,0,"0,0%"
Nikola Kuveljić,Wisła Kraków,2,0,"0,0%"
Sylwester Lusiusz,Cracovia,1,0,"0,0%"
Andre Martins,Legia Warszawa,2,0,"0,0%"
Kamil Ogorzały,Cracovia,1,0,"0,0%"
Jakub Pek,Bruk-Bet,1,0,"0,0%"
Patryk Plewka,Wisła Kraków,1,0,"0,0%"
Mario Rodriguez,Warta Poznań,2,0,"0,0%"
Hubert Sobol,Wisła Kraków,1,0,"0,0%"
Piotr Starzyński,Wisła Kraków,1,0,"0,0%"
Dominik Steczyk,Piast/Stal,1,0,"0,0%"
Jan Sykora,Lech Poznań,1,0,"0,0%"
Kacper Tabiś,Jagiellonia,1,0,"0,0%"
Ernest Terpiłowski,Bruk-Bet,1,0,"0,0%"
David Tosevski,Górnik Zabrze,1,0,"0,0%"
Patryk Tuszyński,Wisła Płock,1,0,"0,0%"
Żarko Udovicić,Raków Częstochowa,1,0,"0,0%"
Benedikt Zech,Pogoń Szczecin,3,0,"0,0%"
Bartosz Kieliba,Warta Poznań,1,0,"0,0%"
Zoran Arsenić,Raków Częstochowa,2,0,"0,0%"
Jakub Arak,Raków Częstochowa,1,0,"0,0%"
Bartosz Kopacz,Lechia Gdańsk,1,0,"0,0%"
Jakub Rzeźniczak,Wisła Płock,1,0,"0,0%"
Szymon Włodarczyk,Legia Warszawa,1,0,"0,0%"
Igor Łasicki,Pogoń Szczecin,2,0,"0,0%"
Cheikhou Dieng,Zagłębie Lubin,1,0,"0,0%"
Joseph Colley,Wisła Kraków,1,0,"0,0%"
Norbert Wojtuszek,Górnik Zabrze,1,0,"0,0%"
Roland Varga,Bruk-Bet,1,0,"0,0%"
Rauno Sappinen,Piast Gliwice,1,0,"0,0%"
Jhon Chancellor,Zagłębie Lubin,1,0,"0,0%"
Artur Jędrzejczyk,Legia Warszawa,1,0,"0,0%"
Constantin Reiner,Piast Gliwice,1,0,"0,0%"
Oskar Krzyżak,Raków Częstochowa,2,0,"0,0%"
Aleksandr Pawłowiec,Warta Poznań,1,0,"0,0%"
Jakub Żubrowski,Zagłębie Lubin,1,0,"0,0%"
Virgil Ghita,Cracovia,1,0,"0,0%"
