SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"4,78",110,0,2,89,0,3,4,10,4,0,0,0,0,0,0,0,23
Damian Kos,"4,50",81,1,1,64,1,0,2,9,1,3,1,1,0,0,0,0,18
Damian Sylwestrzak,"4,92",118,2,8,86,2,1,15,13,2,1,0,0,0,0,0,0,24
Jarosław Przybył,"4,67",98,4,5,84,1,0,3,5,3,0,1,2,0,3,0,0,21
Krzysztof Jakubik,"3,95",79,1,1,59,0,2,6,10,1,1,0,0,0,1,0,0,20
Łukasz Kuźma,"3,17",38,1,1,34,0,1,2,1,0,0,0,0,0,1,0,0,12
Łukasz Szczech,"4,67",14,0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,3
Paweł Malec,"6,09",67,1,6,51,0,0,5,11,0,0,0,0,0,1,0,0,11
Piotr Lasyk,"4,17",75,1,2,69,0,0,0,3,3,0,0,0,0,0,0,1,18
Sebastian Jarzębak,"4,25",34,1,2,26,0,1,0,5,1,1,0,0,1,0,0,0,8
Sebastian Krasny,"4,00",56,2,3,44,2,1,4,4,2,1,0,0,0,0,0,0,14
Szymon Marciniak,"3,91",90,3,4,78,3,2,7,0,1,1,0,1,0,0,0,0,23
Tomasz Kwiatkowski,"4,77",105,0,2,86,0,3,8,5,1,1,1,0,0,0,0,0,22
Tomasz Wajda,"4,67",56,3,6,46,2,1,1,5,1,1,0,1,0,1,0,0,12
Wojciech Myć,"4,00",8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
Zbigniew Dobrynin,"5,25",42,1,1,34,1,1,3,3,0,1,0,0,0,0,0,0,8
Paweł Gil,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paweł Raczkowski,"4,32",108,1,4,85,1,1,8,8,3,1,1,1,0,0,0,0,25
Tomasz Musiał,"3,95",83,0,3,73,0,2,2,1,3,1,0,1,0,0,0,0,21
Mariusz Złotek,"1,00",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Daniel Stefański,"3,76",64,1,2,54,0,1,2,2,2,3,0,0,1,0,0,0,17
Patryk Gryckiewicz,"7,00",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Piotr Urban,"4,00",4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
