KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Bruk-Bet,9,3,4,2,12,4,4,4,13,0,3,10
Cracovia,8,8,0,0,13,4,5,4,13,0,5,8
Górnik Łęczna,7,3,3,1,9,1,5,3,18,2,2,14
Górnik Zabrze,8,6,1,1,15,3,6,6,11,4,1,6
Jagiellonia,2,2,0,0,21,6,10,5,11,1,3,7
Lech Poznań,13,12,1,0,18,10,5,3,3,0,2,1
Lechia Gdańsk,15,10,5,0,10,4,3,3,9,2,1,6
Legia Warszawa,11,10,1,0,11,3,3,5,12,0,0,12
Piast Gliwice,10,7,3,0,17,7,4,6,7,1,2,4
Pogoń Szczecin,17,12,4,1,14,5,6,3,3,1,1,1
Radomiak Radom,12,8,3,1,11,2,8,1,11,1,4,6
Raków Częstochowa,13,9,2,2,16,9,5,2,5,2,2,1
Stal Mielec,12,8,2,2,10,0,4,6,12,1,4,7
Śląsk Wrocław,10,4,5,1,15,2,7,6,9,1,2,6
Warta Poznań,8,7,1,0,16,3,7,6,10,1,1,8
Wisła Kraków,10,5,2,3,10,2,5,3,14,0,3,11
Wisła Płock,14,12,0,2,12,3,3,6,8,0,0,8
Zagłębie Lubin,6,3,0,3,12,6,4,2,16,2,1,13
