KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Bruk-Bet,12,5,5,2,20,2,4,14
Cracovia,13,11,2,0,19,1,6,12
Górnik Łęczna,10,4,4,2,21,2,3,16
Górnik Zabrze,14,8,2,4,17,5,3,9
Jagiellonia,12,7,4,1,20,2,7,11
Lech Poznań,20,18,2,0,12,4,4,4
Lechia Gdańsk,20,14,6,0,13,2,2,9
Legia Warszawa,15,13,1,1,18,0,2,16
Piast Gliwice,21,14,5,2,11,1,2,8
Pogoń Szczecin,25,16,7,2,7,2,2,3
Radomiak Radom,15,10,4,1,16,1,8,7
Raków Częstochowa,23,17,4,2,9,3,3,3
Stal Mielec,15,8,3,4,17,1,5,11
Śląsk Wrocław,13,6,6,1,18,1,5,12
Warta Poznań,16,10,5,1,16,1,2,13
Wisła Kraków,13,7,3,3,18,0,4,14
Wisła Płock,19,14,1,4,15,1,2,12
Zagłębie Lubin,11,7,1,3,20,4,1,15
