ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Ivi Lopez,Raków Częstochowa,20,5,14,1,0
Karol Angielski,Radomiak Radom,18,14,1,3,0
Mikael Ishak,Lech Poznań,18,2,12,4,0
Joao Amaral,Lech Poznań,14,6,7,1,0
Łukasz Zwoliński,Lechia Gdańsk,14,3,9,2,0
Łukasz Sekulski,Wisła Płock,13,1,8,4,0
Bartosz Śpiączka,Górnik Łęczna,11,0,7,3,1
Erik Exposito,Śląsk Wrocław,11,9,1,1,0
Muris Mesanović,Bruk-Bet,11,1,8,2,0
Patryk Szysz,Zagłębie Lubin,11,9,1,1,0
Luka Zahović,Pogoń Szczecin,11,2,5,4,0
Vladislavs Gutkovskis,Raków Częstochowa,10,5,4,1,0
Flavio Paixao,Lechia Gdańsk,10,2,7,1,0
Adam Zrelak,Warta Poznań,9,5,2,2,0
Jakub Kamiński,Lech Poznań,9,3,3,3,0
Jesus Imaz,Jagiellonia,9,2,6,1,0
Krzysztof Kubica,Górnik Zabrze,9,0,1,8,0
Piotr Wlazło,Bruk-Bet,9,0,8,1,0
Tomas Pekhart,Legia Warszawa,9,2,3,4,0
Kamil Grosicki,Pogoń Szczecin,9,1,8,0,0
Lukas Podolski,Górnik Zabrze,9,9,0,0,0
Bartosz Nowak,Górnik Zabrze,8,3,5,0,0
Grzegorz Tomasiewicz,Stal Mielec,8,1,6,1,0
Jesus Jimenez,Górnik Zabrze,8,2,5,1,0
Pelle van Amersfoort,Cracovia,8,0,5,3,0
Kamil Drygas,Pogoń Szczecin,7,4,1,2,0
Mateusz Wdowiak,Raków Częstochowa,7,1,4,1,1
Patryk Sokołowski,Piast/Legia,7,0,5,2,0
Mateusz Mak,Stal Mielec,7,0,4,3,0
Fabian Piasecki,Śląsk/Stal,7,0,6,1,0
Alberto Toril,Piast Gliwice,6,1,3,2,0
Filip Starzyński,Zagłębie Lubin,6,0,6,0,0
Robert Pich,Śląsk Wrocław,6,1,4,1,0
Sebastian Kowalczyk,Pogoń Szczecin,6,1,5,0,0
Tomas Prikryl,Jagiellonia,6,0,6,0,0
Damian Warchoł,Wisła Płock,6,3,0,3,0
Ilkay Durmus,Lechia Gdańsk,6,4,1,1,0
Damian Kądzior,Piast Gliwice,6,4,1,1,0
Paweł Wszołek,Legia Warszawa,6,3,3,0,0
Michał Kucharczyk,Pogoń Szczecin,5,1,2,2,0
Rafael Lopes,Legia Warszawa,5,0,1,4,0
Yaw Yeboah,Wisła Kraków,5,5,0,0,0
Mateusz Szwoch,Wisła Płock,5,0,5,0,0
Piotr Krawczyk,Górnik Zabrze,5,4,1,0,0
Damian Gąska,Górnik Łęczna,5,0,3,2,0
Maurides,Radomiak Radom,5,2,0,3,0
Adrian Łyszczarz,Śląsk Wrocław,5,1,3,1,0
Kamil Wilczek,Piast Gliwice,5,4,0,1,0
Ernest Muci,Legia Warszawa,4,2,2,0,0
Fedor Cernych,Jagiellonia,4,1,2,1,0
Leandro Rossi,Radomiak Radom,4,3,1,0,0
Mateusz Praszelik,Śląsk Wrocław,4,1,2,1,0
Michał Chrapek,Piast Gliwice,4,1,2,1,0
Michal Frydrych,Wisła Kraków,4,0,2,2,0
Przemysław Banaszak,Górnik Łęczna,4,0,3,1,0
Sergiu Hanca,Cracovia,4,1,3,0,0
Marko Kolar,Wisła Płock,4,0,3,1,0
Antonio Milić,Lech Poznań,4,2,1,1,0
Maciej Gajos,Lechia Gdańsk,4,0,4,0,0
Rafał Wolski,Wisła Płock,4,1,3,0,0
Dawid Abramowicz,Radomiak Radom,4,3,1,0,0
Kamil Pestka,Cracovia,4,2,2,0,0
Janusz Gol,Górnik Łęczna,4,1,2,1,0
Mateusz Wieteska,Legia Warszawa,4,0,0,4,0
Kacper Chodyna,Zagłębie Lubin,4,1,3,0,0
Marco Terrazzino,Lechia Gdańsk,4,1,3,0,0
Dawid Kownacki,Lech Poznań,4,2,2,0,0
Martin Dolezal,Zagłębie Lubin,4,0,1,3,0
Frank Castaneda,Warta Poznań,4,0,4,0,0
Bartosz Salamon,Lech Poznań,3,1,1,1,0
