KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Bruk-Bet Nieciecza,"1,06","1,65",52%,"11,65","3,59","4,94","3,12","30,81%","8,84%","4,85","1,74","3,74","12,97","2,38","0,03",BBT
Cracovia,"1,18","1,24",48%,"12,00","4,06","4,76","3,18","33,82%","9,31%","5,18","2,44","2,41","14,97","2,18","0,06",CRA
Górnik Łęczna,"0,85","1,76",46%,"9,21","3,00","3,62","2,59","32,59%","8,63%","4,09","1,56","3,88","14,00","2,21","0,12",GKŁ
Górnik Zabrze,"1,62","1,62",51%,"13,47","4,91","5,24","3,32","36,46%","11,79%","5,21","1,79","2,68","13,09","2,00","0,03",GÓR
Jagiellonia Białystok,"1,15","1,47",48%,"12,06","4,15","4,82","3,09","34,39%","9,51%","5,15","2,18","2,44","15,38","2,59","0,09",JAG
Lech Poznań,"1,97","0,71",56%,"17,35","6,41","6,41","4,53","36,95%","11,36%","6,82","1,71","1,53","12,47","1,53","0,06",LPO
Lechia Gdańsk,"1,53","1,15",54%,"13,38","4,68","5,44","3,26","34,95%","10,77%","6,47","1,74","3,56","14,85","2,18","0,03",LGD
Legia Warszawa,"1,35","1,41",55%,"12,76","4,38","5,06","3,32","34,33%","9,68%","6,09","1,35","2,82","14,91","2,82","0,15",LEG
Piast Gliwice,"1,32","1,09",47%,"10,85","3,50","4,62","2,74","32,25%","11,38%","4,38","1,82","2,68","12,65","1,50","0,00",PIA
Pogoń Szczecin,"1,85","0,91",55%,"14,35","5,32","5,41","3,62","37,09%","11,68%","6,26","1,82","2,32","11,65","1,85","0,09",POG
Radomiak Radom,"1,24","1,18",50%,"13,06","4,21","5,24","3,62","32,21%","9,01%","5,38","1,53","2,79","13,38","2,12","0,12",RAD
Raków Częstochowa,"1,76","0,88",50%,"13,65","5,62","5,26","2,76","41,16%","12,50%","6,15","1,74","2,59","13,65","2,29","0,12",RCZ
Stal Mielec,"1,15","1,53",45%,"10,29","3,68","4,15","2,47","35,71%","11,14%","4,44","1,65","3,44","11,68","2,26","0,09",STM
Śląsk Wrocław,"1,24","1,53",48%,"12,71","4,26","5,09","3,35","33,56%","9,49%","4,56","1,97","3,50","13,62","2,15","0,15",ŚLĄ
Warta Poznań,"1,03","1,12",44%,"10,06","3,41","3,85","2,79","33,92%","9,94%","4,29","1,76","2,53","15,62","2,03","0,06",WAR
Wisła Kraków,"1,09","1,59",53%,"12,59","4,06","4,88","3,65","32,24%","8,41%","5,12","1,94","3,85","13,94","2,03","0,12",WIS
Wisła Płock,"1,41","1,50",50%,"10,47","4,03","3,56","2,88","38,48%","12,92%","5,00","1,44","3,76","15,06","2,79","0,15",WPŁ
Zagłębie Lubin,"1,26","1,74",49%,"13,18","3,94","5,82","3,41","29,91%","9,15%","5,21","1,41","3,59","14,82","2,44","0,12",ZAG
