KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Bruk-Bet,4,1,3,0,9,4,1,4,4,0,1,3
Cracovia,4,4,0,0,6,3,3,0,7,0,2,5
Górnik Łęczna,4,1,3,0,5,1,2,2,8,2,1,5
Górnik Zabrze,4,3,0,1,10,3,4,3,3,1,1,1
Jagiellonia,2,2,0,0,11,3,7,1,4,0,1,3
Lech Poznań,7,7,0,0,10,6,3,1,0,0,0,0
Lechia Gdańsk,10,8,2,0,5,2,2,1,2,2,0,0
Legia Warszawa,8,8,0,0,4,2,0,2,5,0,0,5
Piast Gliwice,4,3,1,0,9,3,2,4,4,1,1,2
Pogoń Szczecin,11,8,2,1,5,2,1,2,1,1,0,0
Radomiak Radom,5,4,1,0,5,2,3,0,7,1,3,3
Raków Częstochowa,9,6,2,1,6,4,2,0,2,0,2,0
Stal Mielec,7,6,0,1,4,0,2,2,6,1,2,3
Śląsk Wrocław,5,1,3,1,8,2,4,2,4,0,1,3
Warta Poznań,1,1,0,0,9,2,5,2,7,1,1,5
Wisła Kraków,7,4,2,1,3,1,2,0,7,0,1,6
Wisła Płock,10,9,0,1,5,2,2,1,2,0,0,2
Zagłębie Lubin,1,1,0,0,7,4,2,1,9,2,1,6
