ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Otar Kakabadze,Cracovia,3,2,5,2,1,1,1,6
Dani Ramirez,Lech Poznań,1,4,5,0,0,0,2,7
Damian Dąbrowski,Pogoń Szczecin,1,4,5,0,0,1,6,11
Samuel Stefanik,Bruk-Bet,1,4,5,0,2,0,1,6
Adrian Łyszczarz,Śląsk Wrocław,5,0,5,5,0,0,0,5
Marco Terrazzino,Lechia Gdańsk,4,1,5,2,0,0,2,7
Giannis Papanikolaou,Raków Częstochowa,1,4,5,0,0,1,4,9
Maciej Domański,Stal Mielec,1,4,5,1,0,0,1,6
Dawid Kownacki,Lech Poznań,4,1,5,3,0,1,1,6
Kamil Wilczek,Piast Gliwice,5,0,5,0,0,1,1,6
Martin Dolezal,Zagłębie Lubin,4,1,5,0,1,0,1,6
Adam Radwański,Bruk-Bet,2,2,4,1,0,2,1,5
Arkadiusz Pyrka,Piast Gliwice,2,2,4,0,0,1,2,6
Cornel Rapa,Cracovia,3,1,4,0,0,1,4,8
Ernest Muci,Legia Warszawa,4,0,4,0,0,1,2,6
Filipe Nascimento,Radomiak Radom,0,4,4,0,0,0,2,6
Jakub Bartkowski,Pogoń Szczecin,1,3,4,0,0,0,3,7
Jan Grzesik,Warta Poznań,3,1,4,0,0,1,3,7
Joseph Ceesay,Lechia Gdańsk,0,4,4,0,0,0,1,5
Kristopher Vida,Piast Gliwice,3,1,4,0,0,3,2,6
Luis Mata,Pogoń Szczecin,0,4,4,0,0,0,2,6
Łukasz Poręba,Zagłębie Lubin,1,3,4,0,0,0,1,5
Łukasz Trałka,Warta Poznań,1,3,4,0,0,1,4,8
Marcin Cebula,Raków Częstochowa,3,1,4,0,1,2,1,5
Martin Pospisil,Jagiellonia,0,4,4,0,1,0,2,6
Jakub Czerwiński,Piast Gliwice,3,1,4,0,0,0,0,4
Mateusz Bartolewski,Zagłębie Lubin,2,2,4,0,0,0,3,7
Alasana Manneh,Górnik Zabrze,2,2,4,0,0,0,3,7
Wojciech Golla,Śląsk Wrocław,0,4,4,0,0,0,1,5
