KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,818,77,99,74,15,10,277,"33,86%",541,"66,14%"
Bruk-Bet,56,6,10,4,1,0,22,"39,29%",34,"60,71%"
Cracovia,42,4,3,0,1,0,8,"19,05%",34,"80,95%"
Górnik Łęczna,60,2,8,5,1,0,16,"26,67%",44,"73,33%"
Górnik Zabrze,55,9,3,7,2,1,22,"40,00%",33,"60,00%"
Jagiellonia,50,6,9,4,0,0,19,"38,00%",31,"62,00%"
Lech Poznań,24,6,4,1,0,1,12,"50,00%",12,"50,00%"
Lechia Gdańsk,39,6,5,1,1,1,14,"35,90%",25,"64,10%"
Legia Warszawa,48,5,9,6,2,1,23,"47,92%",25,"52,08%"
Piast Gliwice,37,4,3,5,0,0,12,"32,43%",25,"67,57%"
Pogoń Szczecin,31,3,2,4,0,1,10,"32,26%",21,"67,74%"
Radomiak Radom,40,3,3,6,1,0,13,"32,50%",27,"67,50%"
Raków Częstochowa,30,2,2,1,1,0,6,"20,00%",24,"80,00%"
Stal Mielec,52,4,7,5,1,1,19,"36,54%",33,"63,46%"
Śląsk Wrocław,52,0,3,7,0,0,10,"19,23%",42,"80,77%"
Warta Poznań,38,3,6,3,1,0,13,"34,21%",25,"65,79%"
Wisła Kraków,54,6,6,7,2,1,22,"40,74%",32,"59,26%"
Wisła Płock,51,3,6,3,1,2,15,"29,41%",36,"70,59%"
Zagłębie Lubin,59,5,10,5,0,1,21,"35,59%",38,"64,41%"
