KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1331,22,52,1088,13,20,73,96,28,14,4,8,2,7,0,0
Bruk-Bet Nieciecza,"2,35",80,1,1,62,1,3,3,8,1,3,0,0,0,0,0,0
Cracovia,"2,18",74,0,2,54,0,1,12,5,0,0,1,1,0,0,0,0
Górnik Łęczna,"2,21",75,0,4,60,0,1,4,7,0,0,0,3,0,0,0,0
Górnik Zabrze,"1,97",67,0,1,52,0,1,5,6,1,1,0,1,0,0,0,0
Jagiellonia Białystok,"2,56",87,2,3,75,2,1,3,5,2,1,0,0,0,0,0,0
Lech Poznań,"1,53",52,1,2,40,1,1,7,3,1,0,0,0,0,0,0,0
Lechia Gdańsk,"2,18",74,0,1,62,0,1,2,9,0,0,0,0,0,0,0,0
Legia Warszawa,"2,82",96,4,5,80,2,0,4,9,0,2,0,1,0,2,0,0
Piast Gliwice,"1,47",50,0,0,41,0,2,2,2,2,1,0,0,0,0,0,0
Pogoń Szczecin,"1,85",63,1,3,48,1,1,3,10,0,0,0,1,0,0,0,0
Radomiak Radom,"2,12",72,2,4,61,0,0,3,6,1,1,0,0,0,2,0,0
Raków Częstochowa,"2,26",77,1,4,68,0,1,3,2,2,1,0,0,0,1,0,0
Stal Mielec,"2,24",76,1,3,57,0,1,4,9,4,1,0,0,1,0,0,0
Śląsk Wrocław,"2,15",73,2,5,59,0,0,6,4,3,0,1,0,1,1,0,0
Warta Poznań,"2,03",69,1,2,63,1,0,0,3,2,0,1,0,0,0,0,0
Wisła Kraków,"2,00",68,2,3,57,2,2,4,4,1,0,0,0,0,0,0,0
Wisła Płock,"2,79",95,2,5,75,2,4,7,2,4,2,0,1,0,0,0,0
Zagłębie Lubin,"2,44",83,2,4,74,1,0,1,2,4,1,1,0,0,1,0,0
