KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Raków Częstochowa,17,33,10,3,4,25,17,8,"1,94","1,47","1,00"
Lech Poznań,17,32,9,5,3,27,17,10,"1,88","1,59","1,00"
Piast Gliwice,17,29,8,5,4,22,15,7,"1,71","1,29","0,88"
Pogoń Szczecin,17,29,7,8,2,22,12,10,"1,71","1,29","0,71"
Warta Poznań,17,24,7,3,7,19,16,3,"1,41","1,12","0,94"
Górnik Zabrze,17,21,6,3,8,29,34,-5,"1,24","1,71","2,00"
Cracovia,17,20,5,5,7,16,23,-7,"1,18","0,94","1,35"
Radomiak Radom,17,20,4,8,5,16,18,-2,"1,18","0,94","1,06"
Śląsk Wrocław,17,18,4,6,7,24,27,-3,"1,06","1,41","1,59"
Jagiellonia,17,17,4,5,8,16,30,-14,"1,00","0,94","1,76"
Lechia Gdańsk,17,17,4,5,8,22,28,-6,"1,00","1,29","1,65"
Zagłębie Lubin,17,14,4,2,11,18,31,-13,"0,82","1,06","1,82"
Legia Warszawa,17,13,3,4,10,17,27,-10,"0,76","1,00","1,59"
Wisła Płock,17,13,4,1,12,21,37,-16,"0,76","1,24","2,18"
Bruk-Bet,17,12,2,6,9,17,30,-13,"0,71","1,00","1,76"
Stal Mielec,17,12,2,6,9,18,31,-13,"0,71","1,06","1,82"
Wisła Kraków,17,11,2,5,10,16,33,-17,"0,65","0,94","1,94"
Górnik Łęczna,17,10,2,4,11,14,33,-19,"0,59","0,82","1,94"
