KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS,POZ
Lech Poznań,34,74,22,8,4,67,24,43,"2,18","1,97","0,71",1
Raków Częstochowa,34,69,20,9,5,60,30,30,"2,03","1,76","0,88",2
Pogoń Szczecin,34,65,18,11,5,63,31,32,"1,91","1,85","0,91",3
Lechia Gdańsk,34,57,16,9,9,52,39,13,"1,68","1,53","1,15",4
Piast Gliwice,34,54,15,9,10,45,37,8,"1,59","1,32","1,09",5
Wisła Płock,34,48,15,3,16,48,51,-3,"1,41","1,41","1,50",6
Radomiak Radom,34,48,11,15,8,42,40,2,"1,41","1,24","1,18",7
Górnik Zabrze,34,47,13,8,13,55,55,0,"1,38","1,62","1,62",8
Cracovia,34,46,12,10,12,40,42,-2,"1,35","1,18","1,24",9
Legia Warszawa,34,43,13,4,17,46,48,-2,"1,26","1,35","1,41",10
Warta Poznań,34,42,11,9,14,35,38,-3,"1,24","1,03","1,12",11
Jagiellonia Białystok,34,40,9,13,12,39,50,-11,"1,18","1,15","1,47",12
Zagłębie Lubin,34,38,11,5,18,43,59,-16,"1,12","1,26","1,74",13
Stal Mielec,34,37,9,10,15,39,52,-13,"1,09","1,15","1,53",14
Śląsk Wrocław,34,35,7,14,13,42,52,-10,"1,03","1,24","1,53",15
Bruk-Bet Nieciecza,34,32,7,11,16,36,56,-20,"0,94","1,06","1,65",16
Wisła Kraków,34,31,7,10,17,37,54,-17,"0,91","1,09","1,59",17
Górnik Łęczna,34,28,6,10,18,29,60,-31,"0,82","0,85","1,76",18
