ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Janusz Gol,Górnik Łęczna,79,42,0
Adam Zrelak,Warta Poznań,79,30,23
Taras Romanczuk,Jagiellonia,64,36,1
Mateusz Szwoch,Wisła Płock,60,72,1
Michał Chrapek,Piast Gliwice,56,70,6
Jesper Karlstrom,Lech Poznań,52,37,3
Kacper Chodyna,Zagłębie Lubin,52,32,0
Wojciech Golla,Śląsk Wrocław,52,17,2
Damian Jakubik,Radomiak Radom,51,29,1
Jarosław Kubicki,Lechia Gdańsk,51,23,0
Alberto Toril,Piast Gliwice,50,59,9
Jayson Papeau,Warta Poznań,50,55,5
Jakub Rzeźniczak,Wisła Płock,50,25,0
Fabian Piasecki,Śląsk/Stal,48,53,20
Bartosz Śpiączka,Górnik Łęczna,48,29,23
Bartosz Slisz,Legia Warszawa,48,27,0
Ilkay Durmus,Lechia Gdańsk,47,54,9
Mateusz Kupczak,Warta Poznań,47,23,0
Fran Tudor,Raków Częstochowa,46,70,4
Tomas Pekhart,Legia Warszawa,46,41,19
Łukasz Zwoliński,Lechia Gdańsk,45,37,19
Krzysztof Kubica,Górnik Zabrze,45,32,2
Przemysław Wiśniewski,Górnik Zabrze,45,27,1
Leandro Rossi,Radomiak Radom,43,100,3
Pelle van Amersfoort,Cracovia,43,74,8
Matej Rodin,Cracovia,43,35,4
Konrad Gruszkowski,Wisła Kraków,43,5,3
Dawid Abramowicz,Wisła Kraków,41,37,7
Mateusz Wieteska,Legia Warszawa,41,23,0
Fedor Cernych,Jagiellonia,41,14,15
Piotr Wlazło,Bruk-Bet,40,50,0
Kristopher Vida,Piast Gliwice,40,26,3
Rafał Wolski,Wisła Płock,39,64,4
Conrado,Lechia Gdańsk,39,43,5
Filipe Nascimento,Radomiak Radom,39,40,2
Erik Janza,Górnik Zabrze,39,38,4
Mateusz Bartolewski,Zagłębie Lubin,39,26,4
Mateusz Matras,Stal Mielec,39,23,4
Sylwester Lusiusz,Cracovia,39,7,0
Maksymilian Sitek,Stal Mielec,38,117,2
Robert Dadok,Górnik Zabrze,38,54,3
Josue,Legia Warszawa,37,101,2
Giannis Papanikolaou,Raków Częstochowa,37,47,0
Maciej Gajos,Lechia Gdańsk,37,34,1
Serhij Krykun,Górnik Łęczna,37,33,3
Alasana Manneh,Górnik Zabrze,37,31,0
Sergiu Hanca,Cracovia,37,25,17
Michał Kaput,Radomiak/Piast,37,16,0
Patryk Kun,Raków Częstochowa,36,55,7
Karol Struski,Jagiellonia,36,45,2
Łukasz Trałka,Warta Poznań,36,23,1
Michał Nalepa II,Lechia Gdańsk,36,19,0
Cornel Rapa,Cracovia,36,17,1
Michal Frydrych,Wisła Kraków,36,11,2
Bogdan Tiru,Jagiellonia,36,11,0
Erik Exposito,Śląsk Wrocław,35,43,19
Luis Machado,Radomiak Radom,35,38,7
Petr Schwarz,Śląsk Wrocław,35,37,1
Wiktor Biedrzycki,Bruk-Bet,35,36,1
Joao Amaral,Lech Poznań,35,27,2
Diogo Verdasca,Śląsk Wrocław,35,27,1
Kryspin Szcześniak,Górnik Łęczna,35,21,0
Łukasz Poręba,Zagłębie Lubin,35,19,2
Damian Michalski,Wisła Płock,35,9,4
Jakub Myszor,Cracovia,34,32,10
Radosław Murawski,Lech Poznań,34,31,0
Rafał Janicki,Górnik Zabrze,34,20,0
Andrzej Niewulis,Raków Częstochowa,34,13,2
Jan Grzesik,Warta Poznań,33,52,0
Patryk Szysz,Zagłębie Lubin,33,39,5
Zoran Arsenić,Raków Częstochowa,33,25,2
Marko Poletanović,Raków/Wisła K,33,18,1
Adrian Gryszkiewicz,Górnik Zabrze,33,16,2
Jakub Kiełb,Warta Poznań,33,15,4
Raphael Rossi,Radomiak Radom,33,13,1
Jan Kliment,Wisła Kraków,32,37,11
Patryk Sokołowski,Piast/Legia,32,31,1
Łukasz Sekulski,Wisła Płock,32,25,8
Michał Rakoczy,Cracovia,32,24,8
Michal Siplak,Cracovia,32,24,4
