BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK,% OBR KARNYCH
Vladan Kovacević,Raków Częstochowa,27,11,90,334,334,"73,9%",68,92,24,"40,7%","33,3%"
Frantisek Plach,Piast Gliwice,33,11,93,455,528,"72,0%",90,125,36,"40,0%","18,2%"
Dante Stipica,Pogoń Szczecin,34,10,36,293,524,"73,8%",79,107,31,"40,6%","27,3%"
Dusan Kuciak,Lechia Gdańsk,27,9,100,243,799,"74,2%",92,124,32,"38,8%","17,8%"
Filip Majchrowicz,Radomiak Radom,33,9,0,365,365,"70,7%",94,133,39,"27,3%","20,0%"
Krzysztof Kamiński,Wisła Płock,29,8,106,252,341,"74,5%",114,153,40,"25,5%","20,0%"
Filip Bednarek,Lech Poznań,18,8,26,242,242,"64,3%",27,42,15,"33,3%","0,0%"
Zlatan Alomerović,Lechia Gdańsk/Jagiellonia Białystok,20,6,95,217,304,"75,6%",59,78,21,"30,5%","21,4%"
Mickey van der Hart,Lech Poznań,14,6,136,231,485,"73,5%",25,34,9,"39,7%","0,0%"
Adrian Lis,Warta Poznań,25,6,105,206,316,"73,3%",74,101,29,"32,0%","20,0%"
Rafał Strączek,Stal Mielec,26,6,0,270,270,"72,4%",92,127,39,"20,0%","33,3%"
Maciej Gostomski,Górnik Łęczna,32,6,0,189,316,"68,5%",122,178,58,"26,4%","10,0%"
Michał Szromnik,Śląsk Wrocław,25,5,3,203,203,"69,8%",74,106,36,"22,2%","33,3%"
Lukas Hrosso,Cracovia,20,5,5,336,372,"67,1%",47,70,23,"27,5%","0,0%"
Karol Niemczycki,Cracovia,14,5,46,241,241,"64,8%",35,54,19,"25,0%","0,0%"
Kacper Bieszczad,Zagłębie Lubin,10,4,120,367,367,"76,2%",32,42,11,"33,3%","0,0%"
Dominik Hładun,Zagłębie Lubin,23,4,38,223,306,"65,4%",83,127,46,"22,4%","15,8%"
Cezary Miszta,Legia Warszawa,14,4,104,280,280,"62,1%",36,58,22,"36,8%","0,0%"
Jędrzej Grobelny,Warta Poznań,9,4,45,333,333,"60,0%",12,20,9,"44,4%","0,0%"
Grzegorz Sandomierski,Górnik Zabrze,20,4,34,194,563,"55,2%",37,67,30,"28,7%","4,2%"
Artur Boruc,Legia Warszawa,10,3,49,187,530,"78,6%",33,42,10,"42,0%","6,3%"
Kacper Trelowski,Raków Częstochowa,7,3,45,242,242,"76,9%",20,26,6,"42,9%",-
Mikołaj Biegański,Wisła Kraków,19,3,61,176,176,"73,9%",82,111,31,"15,8%","0,0%"
Tomasz Loska,Bruk-Bet Termalica Nieciecza,22,3,36,219,219,"67,8%",78,115,38,"14,3%","13,3%"
Paweł Kieszek,Wisła Kraków,14,3,4,229,229,"67,6%",46,68,23,"22,2%","0,0%"
Pawieł Pawluczenko,Bruk-Bet Termalica Nieciecza,9,2,0,196,196,"72,9%",35,48,14,"22,2%","33,3%"
Daniel Bielica,Górnik Zabrze,14,2,45,239,239,"70,1%",54,77,25,"15,0%","14,3%"
Pavels Steinbors,Jagiellonia Białystok,10,2,17,235,327,"64,4%",29,45,16,"22,9%","16,7%"
Xavier Dziekoński,Jagiellonia Białystok,10,2,61,241,285,"51,4%",18,35,17,"14,8%","0,0%"
Mateusz Lis,Wisła Kraków,1,1,97,90,336,"100,0%",3,3,0,"25,4%","17,6%"
Bartłomiej Gradecki,Wisła Płock,3,1,2,129,152,"72,7%",8,11,5,"33,3%",-
Kacper Tobiasz,Legia Warszawa,4,1,4,135,135,"66,7%",16,24,8,"25,0%","100,0%"
Adrian Kostrzewski,Górnik Łęczna,2,0,4,97,97,"83,3%",10,12,2,"0,0%",-
Łukasz Budziłek,Bruk-Bet Termalica Nieciecza,3,0,34,124,181,"77,8%",14,18,4,"13,3%","0,0%"
Jasmin Burić,Zagłębie Lubin,1,0,52,52,465,"77,8%",7,9,2,"40,5%","5,6%"
Matus Putnocky,Śląsk Wrocław,9,0,19,128,375,"73,8%",45,61,16,"32,6%","36,0%"
Bartosz Mrozek,Stal Mielec,2,0,4,110,110,"71,4%",10,14,4,-,-
Damian Primel,Stal Mielec,3,0,57,84,84,"68,8%",11,16,5,"0,0%","33,3%"
Michał Buchalik,Lechia Gdańsk,1,0,23,55,304,"66,7%",6,9,3,"27,8%","7,7%"
Richard Strebinger,Legia Warszawa,5,0,56,102,102,"57,9%",11,19,8,-,-
Mateusz Kochalski,Radomiak Radom,1,0,76,76,76,"50,0%",1,2,1,-,-
Michał Gliwa,Stal Mielec,3,0,15,119,378,"50,0%",4,8,4,"24,6%","5,3%"
Damian Węglarz,Wisła Płock,2,0,21,46,260,"50,0%",6,12,6,"28,1%","0,0%"
Karol Szymański,Piast Gliwice,1,0,45,45,144,"50,0%",1,2,1,"33,3%",-
