KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,44","1,50",44%,"12,06","4,17","5,00","2,89","34,56%","11,52%","4,50","1,11","4,22","14,83","2,28","0,17",ARK
Cracovia,"0,79","1,21",48%,"9,95","3,16","4,79","2,00","31,75%","7,94%","4,68","1,63","3,05","18,05","2,32","0,11",CRA
Górnik Zabrze,"1,32","1,21",52%,"13,26","4,26","5,42","3,58","32,14%","9,13%","4,47","1,84","4,11","15,16","2,89","0,16",GÓR
Jagiellonia,"1,67","1,67",50%,"13,17","4,83","5,22","3,11","36,71%","12,66%","4,94","2,33","2,94","15,39","2,39","0,11",JAG
Korona Kielce,"1,32","1,11",47%,"10,26","4,63","3,11","2,53","45,13%","12,82%","4,74","2,05","4,00","15,32","2,68","0,00",KOR
Lech Poznań,"1,17","1,56",48%,"12,00","4,33","5,06","2,61","36,11%","8,80%","5,06","2,33","3,11","14,28","1,78","0,00",LPO
Lechia Gdańsk,"0,84","1,74",54%,"13,00","3,89","5,32","3,79","29,96%","6,48%","5,37","1,37","1,89","14,26","2,11","0,11",LGD
Legia Warszawa,"1,00","1,63",47%,"9,26","3,42","3,63","2,21","36,93%","10,80%","4,05","2,32","3,53","16,16","2,37","0,05",LEG
Miedź Legnica,"1,84","1,16",50%,"12,68","5,11","5,11","2,47","40,25%","13,69%","5,21","2,26","3,37","11,63","1,68","0,11",MIE
Piast Gliwice,"0,53","1,84",48%,"10,26","3,68","4,32","2,26","35,90%","5,13%","4,95","1,89","2,63","13,84","1,84","0,16",PIA
Pogoń Szczecin,"1,22","1,67",47%,"10,78","3,83","3,83","3,11","35,57%","10,82%","4,67","1,33","2,83","15,17","2,83","0,11",POG
Śląsk Wrocław,"0,94","1,22",51%,"12,28","4,00","6,06","2,22","32,58%","7,69%","4,33","0,89","2,94","16,78","2,50","0,22",ŚLĄ
Wisła Kraków,"1,47","2,00",45%,"16,58","4,89","7,16","4,53","29,52%","8,57%","5,79","2,11","3,05","14,42","2,00","0,05",WIS
Wisła Płock,"1,39","1,06",50%,"11,50","4,44","5,00","2,06","38,65%","12,08%","4,44","2,17","2,94","18,00","2,67","0,00",WPŁ
Zagłębie Lubin,"1,28","1,56",50%,"12,17","3,61","4,72","3,83","29,68%","9,59%","4,89","2,22","3,11","15,61","2,39","0,06",ZAG
Zagłębie Sosnowiec,"2,33","1,89",52%,"14,33","6,61","4,61","3,11","46,12%","15,89%","5,00","1,72","3,56","15,39","1,94","0,11",ZSO
