KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Arka,"12,03","6,03","27,80%","50,11%",8,"16,33%","3,59%"
Cracovia,"13,08","5,73","21,70%","43,80%",4,"9,30%","1,89%"
Górnik,"13,41","5,92","29,22%","44,15%",6,"12,77%","2,74%"
Jagiellonia,"12,81","5,49","23,15%","42,83%",9,"16,98%","4,43%"
Korona,"14,97","6,84","31,62%","45,67%",6,"14,29%","2,37%"
Lech,"12,38","5,65","23,44%","45,63%",9,"19,15%","4,31%"
Lechia,"12,35","4,84","24,02%","39,17%",12,"22,64%","6,70%"
Legia,"14,03","5,54","24,39%","39,50%",7,"12,96%","3,41%"
Miedź,"13,54","6,59","27,87%","48,70%",7,"17,95%","2,87%"
Piast,"12,24","5,03","24,19%","41,06%",6,"10,91%","3,23%"
Pogoń,"14,54","7,16","21,89%","49,26%",15,"26,79%","5,66%"
Śląsk,"13,30","5,57","22,82%","41,87%",5,"10,42%","2,43%"
Wisła K,"11,86","5,00","26,49%","42,14%",8,"12,31%","4,32%"
Wisła P,"12,95","6,00","25,68%","46,35%",7,"14,58%","3,15%"
Zagłębie L,"11,97","5,11","26,46%","42,66%",5,"9,43%","2,65%"
Zagłębie S,"12,59","5,57","28,64%","44,21%",5,"10,64%","2,43%"
