POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Pogoń Szczecin,37,65,18,11,8,57,36,21,"63,2%",+13
2.,Piast Gliwice,37,65,17,14,6,57,24,33,"42,1%",-7
3.,Śląsk Wrocław,37,64,17,13,7,49,37,12,"75,5%",+20
4.,Zagłębie Lubin,37,61,16,13,8,57,41,16,"71,9%",+8
5.,Arka Gdynia,37,58,14,16,7,49,34,15,"69,4%",+16
6.,Lechia Gdańsk,37,55,13,16,8,55,31,24,"56,4%",-12
7.,Wisła Płock,37,51,14,9,14,50,30,20,"60,0%",+10
8.,Jagiellonia Białystok,37,50,12,14,11,55,18,37,"32,7%",-7
9.,Wisła Kraków,37,45,9,18,10,67,28,39,"41,8%",-4
10.,Legia Warszawa,37,44,8,20,9,55,12,43,"21,8%",-24
11.,Górnik Zabrze,37,40,8,16,13,48,12,36,"25,0%",-6
12.,Lech Poznań,37,37,6,19,12,49,16,33,"32,7%",-15
13.,Cracovia,37,37,5,22,10,45,11,34,"24,4%",-20
14.,Zagłębie Sosnowiec,37,36,8,12,17,49,19,30,"38,8%",+7
15.,Miedź Legnica,37,29,4,17,16,40,11,29,"27,5%",-11
16.,Korona Kielce,37,27,3,18,16,42,6,36,"14,3%",-20
