ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Michael Heinloth,Zagłębie Sosnowiec,"0,0%","33,3%",-,7,2,"28,6%",0,-,"0,0%",11
Semir Stilić,Wisła Płock,"33,3%","0,0%",-,7,2,"28,6%",0,-,"0,0%",7
Mateusz Hołownia,Legia/Śląsk,"16,7%",-,"100,0%",7,2,"28,6%",0,-,"0,0%",11
Tomasz Cywka,Lech Poznań,"33,3%","20,0%",-,8,2,"25,0%",1,"8,00","12,5%",3
Karol Fila,Lechia Gdańsk,"0,0%","25,0%","100,0%",8,2,"25,0%",1,"8,00","12,5%",7
Joao Nunes,Lechia Gdańsk,"0,0%","20,0%","50,0%",8,2,"25,0%",0,-,"0,0%",21
Adam Matuszczyk,Zagłębie Lubin,"33,3%","0,0%","0,0%",8,2,"25,0%",0,-,"0,0%",7
Niko Datković,Cracovia,-,"0,0%","28,6%",8,2,"25,0%",1,"8,00","12,5%",4
Justinas Marazas,Wisła Płock,"16,7%","50,0%",-,8,2,"25,0%",0,-,"0,0%",3
Tomasz Hołota,Śląsk Wrocław,-,"12,5%","100,0%",9,2,"22,2%",0,-,"0,0%",1
Igor Łasicki,Wisła Płock,"0,0%","0,0%","33,3%",10,2,"20,0%",1,"10,00","10,0%",11
Mateusz Machaj,Jagiellonia,-,"20,0%",-,10,2,"20,0%",0,-,"0,0%",11
Jakub Tosik,Zagłębie Lubin,"0,0%","20,0%","33,3%",10,2,"20,0%",0,-,"0,0%",13
Goran Cvijanović,Arka Gdynia,-,"11,1%","50,0%",11,2,"18,2%",0,-,"0,0%",11
Lubomir Guldan,Zagłębie Lubin,"33,3%","16,7%","0,0%",11,2,"18,2%",1,"11,00","9,1%",8
Domagoj Antolić,Legia Warszawa,"50,0%","0,0%",-,12,2,"16,7%",0,-,"0,0%",21
Sebastian Milewski,Zagłębie Sosnowiec,"33,3%","11,1%",-,12,2,"16,7%",0,-,"0,0%",9
Ricardo Nunes,Pogoń Szczecin,"18,2%","0,0%",-,13,2,"15,4%",0,-,"0,0%",38
Tibor Halilović,Wisła Kraków,"0,0%","20,0%",-,13,2,"15,4%",0,-,"0,0%",5
Ołeksij Dytiatjew,Cracovia,"100,0%","0,0%","11,1%",15,2,"13,3%",1,"15,00","6,7%",9
Łukasz Wolsztyński,Górnik Zabrze,"100,0%","0,0%","16,7%",17,2,"11,8%",1,"17,00","5,9%",20
Hubert Matynia,Pogoń Szczecin,"10,0%","0,0%",-,22,2,"9,1%",0,-,"0,0%",18
Miroslav Covilo,Cracovia,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Antonini Culina,Cracovia,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",1
Jakub Kosecki,Śląsk Wrocław,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",0
Kacper Michalski,Górnik Zabrze,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",7
Adrian Purzycki,Miedź Legnica,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",8
Adam Chrzanowski,Lechia Gdańsk,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",0
Jin Izumisawa,Pogoń Szczecin,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",0
Dawid Szot,Wisła Kraków,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Elton Monteiro,Miedź Legnica,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Mateusz Skrzypczak,Lech Poznań,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",0
Aleksander Buksa,Wisła Kraków,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",1
Egy Maulana Vikri,Lechia Gdańsk,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",0
Maciej Żurawski,Pogoń Szczecin,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Luka Marić,Arka Gdynia,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",1
Cezary Stefańczyk,Wisła Płock,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",12
Adam Wolniewicz,Górnik Zabrze,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",14
Paweł Żyra,Zagłębie Lubin,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",1
Łukasz Poręba,Zagłębie Lubin,"50,0%",-,-,2,1,"50,0%",1,"2,00","50,0%",5
Michael Olczyk,Arka Gdynia,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Bożo Musa,Miedź Legnica,-,-,"50,0%",2,1,"50,0%",1,"2,00","50,0%",4
Daniel Pik,Cracovia,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",0
Joonas Tamm,Korona Kielce,"100,0%",-,"0,0%",2,1,"50,0%",0,-,"0,0%",0
Sebastian Rudol,Pogoń Szczecin,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",1
Callum Rzonca,Zagłębie Sosnowiec,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",0
Mello,Zagłębie Sosnowiec,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",2
Frederik Helstrup,Arka Gdynia,-,-,"33,3%",3,1,"33,3%",1,"3,00","33,3%",4
Miroslav Radović,Legia Warszawa,"100,0%","0,0%","0,0%",3,1,"33,3%",0,-,"0,0%",3
Zoran Arsenić,Wisła K/Jagiellonia,-,-,"33,3%",3,1,"33,3%",0,-,"0,0%",13
Daniel Szczepan,Śląsk Wrocław,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",2
Martin Adamec,Jagiellonia,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",4
Andrej Kadlec,Jagiellonia,-,"33,3%",-,3,1,"33,3%",1,"3,00","33,3%",3
Rafał Janicki,Lech Poznań,-,-,"25,0%",4,1,"25,0%",0,-,"0,0%",4
Frank Adu Kwame,Miedź Legnica,"25,0%",-,-,4,1,"25,0%",0,-,"0,0%",3
Gerard Oliva,Cracovia,"33,3%","0,0%",-,4,1,"25,0%",1,"4,00","25,0%",2
Maciej Pałaszewski,Śląsk Wrocław,"50,0%","0,0%",-,4,1,"25,0%",0,-,"0,0%",9
Przemysław Wiśniewski,Górnik Zabrze,-,"0,0%","33,3%",4,1,"25,0%",0,-,"0,0%",4
Ken Kallaste,Korona Kielce,"50,0%","0,0%",-,4,1,"25,0%",1,"4,00","25,0%",6
Mateusz Młyński,Arka Gdynia,-,"25,0%",-,4,1,"25,0%",1,"4,00","25,0%",3
Cristian Pasquato,Legia Warszawa,"0,0%","33,3%",-,4,1,"25,0%",0,-,"0,0%",3
Fran Cruz,Miedź Legnica,-,"0,0%","50,0%",4,1,"25,0%",0,-,"0,0%",0
Mariusz Pawelec,Śląsk Wrocław,"0,0%",-,"33,3%",4,1,"25,0%",0,-,"0,0%",0
Giorgi Iwaniszwili,Zagłębie Sosnowiec,"0,0%","33,3%",-,4,1,"25,0%",0,-,"0,0%",6
Salvador Agra,Legia Warszawa,-,"25,0%",-,4,1,"25,0%",0,-,"0,0%",3
Marcin Pietrowski,Piast Gliwice,-,"0,0%","100,0%",5,1,"20,0%",1,"5,00","20,0%",13
Adam Ryczkowski,Górnik Zabrze,"0,0%","33,3%",-,5,1,"20,0%",0,-,"0,0%",4
Damian Oko,Zagłębie Lubin,"0,0%","0,0%","33,3%",5,1,"20,0%",0,-,"0,0%",1
Konrad Nowak,Górnik Zabrze,"0,0%","33,3%",-,6,1,"16,7%",0,-,"0,0%",8
Łukasz Broź,Śląsk Wrocław,"0,0%","33,3%",-,6,1,"16,7%",0,-,"0,0%",17
Maciej Dąbrowski,Zagłębie Lubin,-,"0,0%","33,3%",7,1,"14,3%",0,-,"0,0%",3
Arkadiusz Jędrych,Zagłębie Sosnowiec,"0,0%","50,0%","0,0%",7,1,"14,3%",0,-,"0,0%",1
Uros Korun,Piast Gliwice,-,"0,0%","25,0%",7,1,"14,3%",0,-,"0,0%",0
Jarosław Niezgoda,Legia Warszawa,-,"20,0%","0,0%",7,1,"14,3%",0,-,"0,0%",2
Bartłomiej Babiarz,Zagłębie Sosnowiec,"0,0%","14,3%",-,8,1,"12,5%",0,-,"0,0%",2
Vernon De Marco,Lech Poznań,"0,0%",-,"50,0%",8,1,"12,5%",0,-,"0,0%",5
Diego Ferraresso,Cracovia,"0,0%","11,1%",-,10,1,"10,0%",0,-,"0,0%",6
Angel Garcia,Wisła Płock,"20,0%","0,0%","0,0%",11,1,"9,1%",0,-,"0,0%",11
Inaki Astiz,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Jonathan De Amo,Miedź Legnica,-,-,-,0,0,-,0,-,-,2
Marcin Listkowski,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,1
Nuno Malheiro,Zagłębie Sosnowiec,-,-,-,0,0,-,0,-,-,3
David Niepsuj,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,9
Maciej Orłowski,Lech Poznań,-,-,-,0,0,-,0,-,-,2
Piotr Wlazło,Jagiellonia,-,-,-,0,0,-,0,-,-,3
Mateusz Lis,Wisła Kraków,-,-,-,0,0,-,0,-,-,3
Adam Kokoszka,Zagłębie Sosnowiec,-,-,-,0,0,-,0,-,-,2
Tymoteusz Puchacz,Zagłębie Sosnowiec,-,-,-,0,0,-,0,-,-,1
Frantisek Plach,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Jakub Słowik,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,2
Sierdier Sierdierow,Cracovia,-,-,-,0,0,-,0,-,-,1
Tomasz Loska,Górnik Zabrze,-,-,-,0,0,-,0,-,-,1
Łukasz Załuska,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,1
Jasmin Burić,Lech Poznań,-,-,-,0,0,-,0,-,-,1
Maciej Twarowski,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Tomasz Mokwa,Piast Gliwice,-,-,-,0,0,-,0,-,-,2
Daniel Hoyo-Kowalski,Wisła Kraków,-,-,-,0,0,-,0,-,-,1
Bartłomiej Żynel,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Dawid Błanik,Pogoń Szczecin,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",2
Bodvar Bodvarsson,Jagiellonia,"0,0%",-,"0,0%",3,0,"0,0%",0,-,"0,0%",12
Tomislav Bozić,Miedź Legnica,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",2
Alan Czerwiński,Zagłębie Lubin,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",13
Daniel Dziwniel,Zagłębie Lubin,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",15
Elady,Cracovia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Adrian Gryszkiewicz,Górnik Zabrze,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",14
Rafał Grzyb,Jagiellonia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Daniel Liszka,Górnik Zabrze,"0,0%",-,-,3,0,"0,0%",0,-,"0,0%",9
Kamil Pestka,Cracovia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Chris Philipps,Legia Warszawa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",6
Mihai Radut,Lech Poznań,-,"0,0%",-,5,0,"0,0%",0,-,"0,0%",2
Jakub Serafin,Cracovia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",2
Dawid Sołdecki,Arka Gdynia,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",1
Marcin Warcholak,Wisła Płock,"0,0%",-,-,8,0,"0,0%",0,-,"0,0%",6
Mateusz Żyro,Legia/Miedź,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Jakub Bartosz,Wisła Kraków,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",2
Adrian Benedyczak,Pogoń Szczecin,"0,0%","0,0%",-,6,0,"0,0%",0,-,"0,0%",5
Robert Sulewski,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Patryk Stępiński,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",7
Wiktor Biedrzycki,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",2
Justas Lasickas,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Michał Koj,Górnik Zabrze,"0,0%",-,-,5,0,"0,0%",0,-,"0,0%",3
Mateusz Sopoćko,Lechia Gdańsk,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Adrian Klimczak,Arka Gdynia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Daniel Łuczak,Śląsk Wrocław,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Karol Danielak,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Dimitris Goutas,Lech Poznań,-,-,"0,0%",5,0,"0,0%",0,-,"0,0%",4
Rafał Wolsztyński,Górnik Zabrze,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",1
Christian Maghoma,Arka Gdynia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Tadeusz Socha,Arka Gdynia,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",7
Denis Gojko,Piast Gliwice,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Vinicius Ferreira,Cracovia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Lukas Gressak,Zagłębie Sosnowiec,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",5
Adam Arnarson,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Maksymilian Banaszewski,Arka Gdynia,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Ognjen Gnjatić,Korona Kielce,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",8
Stefan Scepović,Jagiellonia,"0,0%","0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",4
Jarosław Fojut,Pogoń Szczecin,-,"0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",0
Dawid Ryndak,Zagłębie Sosnowiec,"0,0%","0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",3
Luis Rocha,Legia Warszawa,"0,0%",-,-,3,0,"0,0%",0,-,"0,0%",15
Ishmael Baidoo,Górnik Zabrze,"0,0%",-,-,4,0,"0,0%",0,-,"0,0%",0
Oktawian Skrzecz,Korona Kielce,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Jake McGing,Wisła Płock,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",9
Santeri Hostikka,Pogoń Szczecin,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",4
Marcin Grabowski,Wisła Kraków,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Emmanuel Kumah,Wisła Kraków,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Wojciech Słomka,Wisła Kraków,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Bojan Cecarić,Cracovia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Patryk Makuch,Miedź Legnica,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Oskar Sewerzyński,Korona Kielce,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Martin Toth,Zagłębie Sosnowiec,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Krzysztof Kołodziej,Lech Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
