KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Arka Gdynia,"1,86",69,2,4,56,2,2,1,4,4,1,1,0,0,0,0,0
Cracovia,"2,46",91,7,8,76,5,1,5,2,6,1,0,0,0,1,0,1
Górnik Zabrze,"2,54",94,2,4,78,0,2,7,3,2,2,0,0,0,2,0,0
Jagiellonia,"2,05",76,3,3,61,3,3,4,5,2,1,0,0,0,0,0,0
Korona Kielce,"2,57",95,1,2,77,1,1,2,9,4,2,0,0,0,0,0,0
Lech Poznań,"1,54",57,0,0,45,0,0,4,6,0,2,0,0,0,0,0,0
Lechia Gdańsk,"2,08",77,1,3,63,1,2,3,8,0,0,1,0,0,0,0,0
Legia Warszawa,"2,38",88,3,4,61,3,3,7,12,4,1,0,0,0,0,0,0
Miedź Legnica,"1,73",64,0,2,53,0,3,3,3,1,1,0,0,0,0,0,0
Piast Gliwice,"1,86",69,2,5,53,2,2,6,2,2,4,0,0,0,0,0,0
Pogoń Szczecin,"2,41",89,1,3,74,1,1,6,3,3,1,0,1,0,0,0,0
Śląsk Wrocław,"2,11",78,3,5,69,1,0,5,3,1,0,0,0,1,1,0,0
Wisła Kraków,"2,05",76,0,1,64,0,2,6,3,1,0,0,0,0,0,0,0
Wisła Płock,"2,38",88,2,4,70,2,-1,4,7,5,1,1,0,0,0,0,0
Zagłębie Lubin,"1,92",71,1,2,61,1,1,1,4,4,0,0,0,0,0,0,0
Zagłębie Sosnowiec,"1,89",70,0,2,59,0,2,3,3,0,2,0,1,0,0,0,0
