,ARK,GÓR,KOR,MIE,ŚLĄ,WIS,WPŁ,ZSO,D,ŚRD,ŚRW,7716,5595,5516,7587,5578,9287,8215,7354,,
ARK,X,X,X,5112,X,7602,X,7012,19726,6575
GÓR,12278,X,X,X,X,17210,11895,11549,52932,13233
KOR,4479,6258,X,4451,5018,X,X,X,20206,5052
MIE,X,5482,X,X,5529,X,4021,4336,19368,4842
ŚLĄ,9094,5046,X,X,X,X,8715,X,22855,7618
WIS,X,X,11144,13197,9701,X,8229,X,42271,10568
WPŁ,5011,X,4214,X,X,X,X,6519,15744,5248
ZSO,X,X,1189,X,2064,3048,X,X,6301,2100
W,30862,16786,16547,22760,22312,27860,32860,29416,,
