KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Piast Gliwice,19,48,15,3,1,35,10,25,"2,53","1,84","0,53"
Lechia Gdańsk,19,41,12,5,2,33,16,17,"2,16","1,74","0,84"
Cracovia,19,37,11,4,4,23,15,8,"1,95","1,21","0,79"
Lech Poznań,18,35,11,2,5,28,21,7,"1,94","1,56","1,17"
Legia Warszawa,19,35,10,5,4,31,19,12,"1,84","1,63","1,00"
Jagiellonia,18,31,9,4,5,30,30,0,"1,72","1,67","1,67"
Pogoń Szczecin,18,30,8,6,4,30,22,8,"1,67","1,67","1,22"
Wisła Kraków,19,30,8,6,5,38,28,10,"1,58","2,00","1,47"
Zagłębie Lubin,18,25,7,4,7,28,23,5,"1,39","1,56","1,28"
Śląsk Wrocław,18,24,7,3,8,22,17,5,"1,33","1,22","0,94"
Korona Kielce,19,25,6,7,6,21,25,-4,"1,32","1,11","1,32"
Miedź Legnica,19,25,7,4,8,22,35,-13,"1,32","1,16","1,84"
Arka Gdynia,18,23,6,5,7,27,26,1,"1,28","1,50","1,44"
Zagłębie Sosnowiec,18,21,6,3,9,34,42,-8,"1,17","1,89","2,33"
Wisła Płock,18,20,5,5,8,19,25,-6,"1,11","1,06","1,39"
Górnik Zabrze,19,21,5,6,8,23,25,-2,"1,11","1,21","1,32"
