KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1252,28,52,1020,22,25,67,77,39,19,3,2,1,4,0,1
Arka Gdynia,"2,08",77,0,4,67,0,2,2,2,2,2,0,0,0,0,0,0
Cracovia,"2,08",77,1,1,58,1,1,9,5,2,2,0,0,0,0,0,0
Górnik Zabrze,"2,24",83,0,4,68,0,4,5,1,1,3,1,0,0,0,0,0
Jagiellonia,"2,11",78,3,3,64,2,4,3,5,0,1,0,1,1,0,0,0
Korona Kielce,"2,57",95,1,2,75,1,1,3,8,8,0,0,0,0,0,0,0
Lech Poznań,"1,76",65,0,0,56,0,0,1,4,3,1,0,0,0,0,0,0
Lechia Gdańsk,"2,51",93,1,3,70,1,3,3,10,7,0,0,0,0,0,0,0
Legia Warszawa,"2,11",78,3,4,60,1,2,9,4,2,1,0,0,0,2,0,0
Miedź Legnica,"1,68",62,4,4,53,3,3,3,2,1,0,0,0,0,1,0,0
Piast Gliwice,"1,43",53,2,2,43,2,0,5,3,2,0,0,0,0,0,0,0
Pogoń Szczecin,"2,14",79,1,2,69,1,0,5,0,4,1,0,0,0,0,0,0
Śląsk Wrocław,"2,19",81,2,4,65,2,1,6,6,1,2,0,0,0,0,0,0
Wisła Kraków,"1,97",73,2,2,54,2,2,5,10,0,2,0,0,0,0,0,0
Wisła Płock,"2,27",84,3,7,67,2,0,1,11,2,2,1,0,0,0,0,1
Zagłębie Lubin,"2,46",91,1,4,78,1,2,3,3,3,1,1,0,0,0,0,0
Zagłębie Sosnowiec,"2,24",83,4,6,73,3,0,4,3,1,1,0,1,0,1,0,0
