KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Rafał Boguski,Wisła Kraków,Arka Gdynia,Pavels Šteinbors,O,Frederik Helstrup,Zdenek Ondrasek,Piotr Lasyk
1,Filip Starzyński,Zagłębie Lubin,Legia Warszawa,Arkadiusz Malarz,T,Adam Hlousek,Alan Czerwiński,Jarosław Przybył
1,Aleksandar Sedlar,Piast Gliwice,Zagłębie Sosnowiec,Dawid Kudła,T,Piotr Polczak,ręka,Tomasz Musiał
2,Flavio Paixao,Lechia Gdańsk,Śląsk Wrocław,Jakub Słowik,T,Mateusz Cholewiak,Lukas Haraslin,Szymon Marciniak
2,Flavio Paixao,Lechia Gdańsk,Śląsk Wrocław,Jakub Słowik,O,Mateusz Cholewiak,Michał Mak,Szymon Marciniak
2,Marquitos,Miedź Legnica,Wisła Kraków,Michał Buchalik,T,Maciej Sadlok,Fabian Piasecki,Wojciech Myć
2,Filip Starzyński,Zagłębie Lubin,Zagłębie Sosnowiec,Dawid Kudła,T,Piotr Polczak,ręka,Zbigniew Dobrynin
2,Michał Helik,Cracovia,Lech Poznań,Jasmin Burić,N,Rafał Janicki,ręka,Mariusz Złotek
3,Elia Soriano,Korona Kielce,Wisła Płock,Thomas Dahne,T,Nico Varela,ręka,Łukasz Szczech
4,Adam Frączczak,Pogoń Szczecin,Cracovia,Maciej Gostomski,T,Milan Dimun,Spas Delew,Dominik Sulikowski
4,Łukasz Janoszka,Zagłębie Lubin,Jagiellonia Białystok,Marian Kelemen,O,Jakub Wójcicki,ręka,Tomasz Kwiatkowski
4,Elia Soriano,Korona Kielce,Śląsk Wrocław,Jakub Słowik,T,Piotr Celeban,ręka,Krzysztof Jakubik
5,Christian Gytkjaer,Lech Poznań,Wisła Kraków,Mateusz Lis,T,Rafał Pietrzak,ręka,Paweł Raczkowski
6,Tom Hateley,Piast Gliwice,Cracovia,Maciej Gostomski,O,Maciej Gostomski,Joel Valencia,Paweł Raczkowski
6,Damian Zbozień,Arka Gdynia,Korona Kielce,Matthias Hamrol,T,Oliver Petrak,Frederik Helstrup,Szymon Marciniak
6,Kamil Drygas,Pogoń Szczecin,Lechia Gdańsk,Dusan Kuciak,T,Filip Mladenović,ręka,Mariusz Złotek
6,Nico Varela,Wisła Płock,Legia Warszawa,Arkadiusz Malarz,T,Krzysztof Mączyński,Jakub Łukowski,Jarosław Przybył
6,Marcin Robak,Śląsk Wrocław,Zagłębie Sosnowiec,Dawid Kudła,T,Arkadiusz Jędrych,ręka,Tomasz Kwiatkowski
7,Igor Angulo,Górnik Zabrze,Pogoń Szczecin,Łukasz Załuska,T,Zvonimir Kozulji,Szymon Matuszek,Wojciech Myć
7,Flavio Paixao,Lechia Gdańsk,Korona Kielce,Matthias Hamrol,T,Piotr Malarczyk,Flavio Paixao,Bartosz Frankowski
