KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,823,98,101,60,26,9,297,"36,09%",526,"63,91%"
Arka Gdynia,49,8,6,3,2,4,23,"46,94%",26,"53,06%"
Cracovia,45,7,2,3,2,1,15,"33,33%",30,"66,67%"
Górnik Zabrze,48,5,8,2,1,0,16,"33,33%",32,"66,67%"
Jagiellonia Białystok,55,8,9,2,1,0,20,"36,36%",35,"63,64%"
Korona Kielce,42,6,6,2,2,0,16,"38,10%",26,"61,90%"
Lech Poznań,49,3,5,2,1,0,11,"22,45%",38,"77,55%"
Lechia Gdańsk,54,7,5,6,3,0,21,"38,89%",33,"61,11%"
Legia Warszawa,55,5,9,5,1,0,20,"36,36%",35,"63,64%"
Miedź Legnica,40,5,0,2,0,0,7,"17,50%",33,"82,50%"
Piast Gliwice,57,5,9,3,4,0,21,"36,84%",36,"63,16%"
Pogoń Szczecin,57,7,5,7,3,0,23,"40,35%",34,"59,65%"
Śląsk Wrocław,49,4,9,3,1,1,18,"36,73%",31,"63,27%"
Wisła Kraków,67,9,9,4,1,1,24,"35,82%",43,"64,18%"
Wisła Płock,50,5,3,12,3,2,25,"50,00%",25,"50,00%"
Zagłębie Lubin,57,10,8,1,0,0,19,"33,33%",38,"66,67%"
Zagłębie Sosnowiec,49,4,8,3,1,0,18,"36,73%",31,"63,27%"
