KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,50","1,44",57%,"15,50","5,72","6,00","3,78","36,92%","9,68%","6,56","1,44","2,78","16,33","1,67","0,00",ARK
Cracovia,"1,21","0,79",52%,"13,84","4,26","6,63","2,95","30,80%","8,75%","4,79","1,58","2,37","15,79","1,58","0,00",CRA
Górnik Zabrze,"1,21","1,32",48%,"14,53","5,26","5,63","3,63","36,23%","7,97%","4,68","2,79","3,05","16,47","2,37","0,11",GÓR
Jagiellonia,"1,67","1,67",50%,"14,28","4,56","6,06","3,67","31,91%","11,28%","4,78","1,44","3,17","13,83","2,11","0,11",JAG
Korona Kielce,"1,11","1,32",53%,"15,16","5,11","6,79","3,26","33,68%","7,29%","5,68","1,74","3,32","16,47","2,47","0,00",KOR
Lech Poznań,"1,56","1,17",52%,"14,33","4,61","5,78","3,94","32,17%","10,47%","4,28","0,83","3,28","13,94","1,89","0,00",LPO
Lechia Gdańsk,"1,74","0,84",46%,"12,58","3,63","5,26","3,68","28,87%","13,81%","4,63","2,05","3,05","15,53","2,32","0,11",LGD
Legia Warszawa,"1,63","1,00",53%,"14,16","5,11","5,37","3,68","36,06%","11,15%","5,68","2,32","2,42","15,79","2,26","0,16",LEG
Miedź Legnica,"1,16","1,84",50%,"13,11","4,53","5,53","3,05","34,54%","8,84%","4,42","1,21","3,37","15,58","1,68","0,21",MIE
Piast Gliwice,"1,84","0,53",52%,"12,47","4,42","4,58","3,47","35,44%","14,35%","5,79","1,95","3,16","13,79","1,11","0,11",PIA
Pogoń Szczecin,"1,67","1,22",53%,"15,33","4,44","6,61","4,28","28,99%","10,51%","6,22","1,83","2,67","14,28","1,94","0,00",POG
Śląsk Wrocław,"1,22","0,94",49%,"14,33","4,17","6,83","3,33","29,07%","8,53%","5,83","2,78","3,06","15,17","1,83","0,11",ŚLĄ
Wisła Kraków,"2,00","1,47",55%,"12,63","5,00","4,42","3,21","39,58%","15,42%","4,53","1,42","3,47","15,26","1,79","0,05",WIS
Wisła Płock,"1,06","1,39",50%,"13,28","3,94","5,67","3,67","29,71%","7,53%","5,28","1,89","3,06","14,72","1,78","0,17",WPŁ
Zagłębie Lubin,"1,56","1,28",50%,"12,89","4,56","5,22","3,11","35,34%","11,21%","4,67","2,72","2,44","13,67","2,17","0,11",ZAG
Zagłębie Sosnowiec,"1,89","2,33",48%,"14,39","5,33","5,72","3,33","37,07%","12,36%","5,50","1,94","4,33","17,00","1,94","0,06",ZSO
