ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Rafał Pietrzak,Wisła Kraków,24,9,"37,5%",3,19,5,"26,3%",1,"5,3%"
Andre Martins,Legia Warszawa,18,7,"38,9%",2,11,5,"45,5%",1,"9,1%"
Krzysztof Mączyński,Legia/Śląsk,23,7,"30,4%",1,20,5,"25,0%",1,"5,0%"
Marcin Robak,Śląsk Wrocław,77,32,"41,6%",18,18,4,"22,2%",1,"5,6%"
Zdenek Ondrasek,Wisła Kraków,42,21,"50,0%",11,7,4,"57,1%",1,"14,3%"
Henrik Ojamaa,Miedź Legnica,39,13,"33,3%",3,15,4,"26,7%",0,"0,0%"
MIchał Kucharczyk,Legia Warszawa,42,13,"31,0%",4,19,4,"21,1%",0,"0,0%"
Sławomir Peszko,Lechia/Wisła K,29,10,"34,5%",3,15,4,"26,7%",0,"0,0%"
Maciej Makuszewski,Lech Poznań,22,8,"36,4%",0,9,4,"44,4%",0,"0,0%"
Tomasz Nowak,Zagłębie Sosnowiec,23,8,"34,8%",0,14,4,"28,6%",0,"0,0%"
Dawid Kort,Wisła Kraków,27,8,"29,6%",3,21,4,"19,0%",0,"0,0%"
Darko Jevtić,Lech Poznań,34,8,"23,5%",3,24,4,"16,7%",0,"0,0%"
Nabil Aankour,Arka Gdynia,19,7,"36,8%",2,11,4,"36,4%",1,"9,1%"
Omar Santana,Miedź Legnica,27,7,"25,9%",1,23,4,"17,4%",0,"0,0%"
Guilherme Sitya,Jagiellonia,27,7,"25,9%",2,16,4,"25,0%",0,"0,0%"
Bartosz Rymaniak,Korona Kielce,30,7,"23,3%",0,13,4,"30,8%",0,"0,0%"
Augusto,Śląsk Wrocław,6,5,"83,3%",2,5,4,"80,0%",1,"20,0%"
Andrij Bohdanow,Arka Gdynia,10,5,"50,0%",0,9,4,"44,4%",0,"0,0%"
Piotr Malarczyk,Korona Kielce,17,5,"29,4%",0,7,4,"57,1%",0,"0,0%"
Tomas Podstawski,Pogoń Szczecin,27,5,"18,5%",1,24,4,"16,7%",1,"4,2%"
Elia Soriano,Korona Kielce,75,30,"40,0%",14,11,3,"27,3%",1,"9,1%"
Maciej Jankowski,Arka Gdynia,51,26,"51,0%",10,8,3,"37,5%",1,"12,5%"
Adam Buksa,Pogoń Szczecin,46,25,"54,3%",11,8,3,"37,5%",2,"25,0%"
Christian Gytkjaer,Lech Poznań,66,23,"34,8%",12,8,3,"37,5%",1,"12,5%"
Paweł Zieliński,Miedź Legnica,24,13,"54,2%",3,8,3,"37,5%",0,"0,0%"
Rafał Augustyniak,Miedź Legnica,33,12,"36,4%",2,15,3,"20,0%",0,"0,0%"
Ivan Jukić,Korona Kielce,34,12,"35,3%",3,12,3,"25,0%",0,"0,0%"
Mateusz Szczepaniak,Cracovia/Miedź,30,11,"36,7%",3,7,3,"42,9%",0,"0,0%"
Michał Chrapek,Śląsk Wrocław,38,11,"28,9%",3,18,3,"16,7%",0,"0,0%"
Damian Zbozień,Arka Gdynia,18,10,"55,6%",5,6,3,"50,0%",0,"0,0%"
Tomasz Jodłowiec,Piast Gliwice,35,10,"28,6%",4,15,3,"20,0%",1,"6,7%"
Sebastian Kowalczyk,Pogoń Szczecin,18,9,"50,0%",2,9,3,"33,3%",0,"0,0%"
Cornel Rapa,Cracovia,23,9,"39,1%",1,9,3,"33,3%",0,"0,0%"
Mateusz Matras,Zagłębie L/Górnik,14,8,"57,1%",3,5,3,"60,0%",0,"0,0%"
Wojciech Łobodziński,Miedź Legnica,25,8,"32,0%",0,7,3,"42,9%",0,"0,0%"
Adam Deja,Arka Gdynia,27,7,"25,9%",2,15,3,"20,0%",0,"0,0%"
Łukasz Kosakiewicz,Korona Kielce,19,6,"31,6%",0,11,3,"27,3%",0,"0,0%"
Damian Rasak,Wisła Płock,29,6,"20,7%",0,23,3,"13,0%",0,"0,0%"
Patrik Mraz,Zagłębie Sosnowiec,14,5,"35,7%",1,10,3,"30,0%",0,"0,0%"
Michal Siplak,Cracovia,19,5,"26,3%",1,9,3,"33,3%",0,"0,0%"
Giorgos Mygas,Zagłębie Sosnowiec,19,5,"26,3%",2,11,3,"27,3%",0,"0,0%"
Oliver Petrak,Korona Kielce,28,5,"17,9%",0,21,3,"14,3%",0,"0,0%"
Maciej Sadlok,Wisła Kraków,13,4,"30,8%",0,12,3,"25,0%",0,"0,0%"
Vullnet Basha,Wisła Kraków,14,4,"28,6%",3,13,3,"23,1%",2,"15,4%"
Vukan Savicević,Wisła Kraków,14,4,"28,6%",2,9,3,"33,3%",1,"11,1%"
Ivan Marquez,Korona Kielce,15,4,"26,7%",0,5,3,"60,0%",0,"0,0%"
Bartosz Slisz,Zagłębie Lubin,17,4,"23,5%",0,15,3,"20,0%",0,"0,0%"
Adam Banasiak,Zagłębie Sosnowiec,20,4,"20,0%",0,15,3,"20,0%",0,"0,0%"
Damian Dąbrowski,Cracovia,25,4,"16,0%",0,19,3,"15,8%",0,"0,0%"
Piotr Parzyszek,Piast Gliwice,57,18,"31,6%",9,9,2,"22,2%",0,"0,0%"
Żarko Udovicić,Zagłębie Sosnowiec,36,15,"41,7%",10,7,2,"28,6%",1,"14,3%"
Taras Romanczuk,Jagiellonia,35,14,"40,0%",1,12,2,"16,7%",0,"0,0%"
Michal Papadopulos,Piast Gliwice,39,13,"33,3%",5,6,2,"33,3%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,31,11,"35,5%",3,7,2,"28,6%",1,"14,3%"
Iker Guarrotxena,Pogoń Szczecin,40,11,"27,5%",5,18,2,"11,1%",1,"5,6%"
Arkadiusz Piech,Śląsk Wrocław,41,11,"26,8%",2,9,2,"22,2%",0,"0,0%"
Krzysztof Drzazga,Wisła Kraków,25,10,"40,0%",5,7,2,"28,6%",1,"14,3%"
Roman Bezjak,Jagiellonia,28,10,"35,7%",3,14,2,"14,3%",0,"0,0%"
Kamil Zapolnik,Górnik Zabrze,13,9,"69,2%",2,3,2,"66,7%",0,"0,0%"
Adnan Kovacević,Korona Kielce,20,9,"45,0%",2,5,2,"40,0%",0,"0,0%"
Mateusz Radecki,Śląsk Wrocław,22,9,"40,9%",4,7,2,"28,6%",0,"0,0%"
Rafał Boguski,Wisła Kraków,24,9,"37,5%",2,6,2,"33,3%",0,"0,0%"
Marquitos,Miedź Legnica,21,8,"38,1%",2,8,2,"25,0%",0,"0,0%"
Marko Vesović,Legia Warszawa,22,8,"36,4%",0,9,2,"22,2%",0,"0,0%"
Alexandre Cristovao,Zagłębie Sosnowiec,23,8,"34,8%",2,7,2,"28,6%",0,"0,0%"
Sergiu Hanca,Cracovia,17,7,"41,2%",2,7,2,"28,6%",0,"0,0%"
Sergei Zenjov,Cracovia,13,6,"46,2%",1,8,2,"25,0%",0,"0,0%"
Milan Dimun,Cracovia,25,6,"24,0%",1,15,2,"13,3%",0,"0,0%"
Damian Gąska,Śląsk Wrocław,28,6,"21,4%",0,18,2,"11,1%",0,"0,0%"
Marko Vejinović,Arka Gdynia,29,6,"20,7%",5,21,2,"9,5%",1,"4,8%"
Karol Angielski,Wisła Płock,12,5,"41,7%",2,2,2,"100,0%",0,"0,0%"
Michael Gardawski,Korona Kielce,14,5,"35,7%",1,7,2,"28,6%",0,"0,0%"
Giannis Mystakidis,Górnik Zabrze,10,4,"40,0%",0,5,2,"40,0%",0,"0,0%"
Jakub Łukowski,Wisła Płock,11,4,"36,4%",2,8,2,"25,0%",0,"0,0%"
Tomasz Nawotka,Zagłębie Sosnowiec,12,4,"33,3%",1,5,2,"40,0%",0,"0,0%"
Lubambo Musonda,Śląsk Wrocław,16,4,"25,0%",0,7,2,"28,6%",0,"0,0%"
Jakub Łabojko,Śląsk Wrocław,18,4,"22,2%",1,16,2,"12,5%",1,"6,3%"
Patryk Sokołowski,Piast Gliwice,3,3,"100,0%",1,2,2,"100,0%",1,"50,0%"
Piotr Tomasik,Lech Poznań,6,3,"50,0%",0,4,2,"50,0%",0,"0,0%"
Marcin Wasielewski,Lech Poznań,7,3,"42,9%",1,5,2,"40,0%",1,"20,0%"
Dejan Vokić,Zagłębie Sosnowiec,7,3,"42,9%",0,4,2,"50,0%",0,"0,0%"
Dorde Cotra,Śląsk Wrocław,11,3,"27,3%",1,8,2,"25,0%",0,"0,0%"
Tomasz Makowski,Lechia Gdańsk,17,3,"17,6%",0,14,2,"14,3%",0,"0,0%"
Daniel Łukasik,Lechia Gdańsk,18,3,"16,7%",1,14,2,"14,3%",1,"7,1%"
Janusz Gol,Cracovia,19,3,"15,8%",0,11,2,"18,2%",0,"0,0%"
Łukasz Garguła,Miedź Legnica,4,2,"50,0%",0,3,2,"66,7%",0,"0,0%"
Dawid Pakulski,Zagłębie Lubin,4,2,"50,0%",1,2,2,"100,0%",1,"50,0%"
Aleksandar Bjelica,Korona Kielce,4,2,"50,0%",0,3,2,"66,7%",0,"0,0%"
Kamil Dankowski,Śląsk Wrocław,6,2,"33,3%",0,5,2,"40,0%",0,"0,0%"
Semir Stilić,Wisła Płock,7,2,"28,6%",0,6,2,"33,3%",0,"0,0%"
Tomasz Cywka,Lech Poznań,8,2,"25,0%",1,8,2,"25,0%",1,"12,5%"
Adam Matuszczyk,Zagłębie Lubin,8,2,"25,0%",0,7,2,"28,6%",0,"0,0%"
Mateusz Machaj,Jagiellonia,10,2,"20,0%",0,9,2,"22,2%",0,"0,0%"
Artur Sobiech,Lechia Gdańsk,29,15,"51,7%",7,2,1,"50,0%",1,"50,0%"
Kasper Hamalainen,Legia Warszawa,26,12,"46,2%",2,5,1,"20,0%",0,"0,0%"
Konrad Wrzesiński,Zagłębie Sosnowiec,34,12,"35,3%",3,10,1,"10,0%",0,"0,0%"
Oskar Zawada,Wisła Płock,27,10,"37,0%",6,4,1,"25,0%",0,"0,0%"
Olaf Nowak,Zagłębie Sosnowiec,19,9,"47,4%",4,4,1,"25,0%",0,"0,0%"
Fabian Piasecki,Miedź Legnica,34,9,"26,5%",1,9,1,"11,1%",0,"0,0%"
Jarosław Kubicki,Lechia Gdańsk,33,7,"21,2%",4,16,1,"6,3%",1,"6,3%"
Łukasz Janoszka,Zagłębie Lubin,12,6,"50,0%",1,3,1,"33,3%",0,"0,0%"
Mateusz Szwoch,Wisła Płock,18,6,"33,3%",1,6,1,"16,7%",0,"0,0%"
Patryk Klimala,Jagiellonia,18,6,"33,3%",1,2,1,"50,0%",0,"0,0%"
William Remy,Legia Warszawa,20,6,"30,0%",2,6,1,"16,7%",0,"0,0%"
Michał Żyro,Pogoń Szczecin,10,5,"50,0%",1,2,1,"50,0%",0,"0,0%"
Sebastian Walukiewicz,Pogoń Szczecin,11,5,"45,5%",1,4,1,"25,0%",0,"0,0%"
Michał Mak,Lechia Gdańsk,15,5,"33,3%",2,5,1,"20,0%",0,"0,0%"
Paweł Brożek,Wisła Kraków,8,4,"50,0%",2,1,1,"100,0%",0,"0,0%"
Paweł Bochniewicz,Górnik Zabrze,9,4,"44,4%",1,3,1,"33,3%",0,"0,0%"
Marcin Wasilewski,Wisła Kraków,10,4,"40,0%",0,1,1,"100,0%",0,"0,0%"
Marcus Vinicius,Arka Gdynia,10,4,"40,0%",1,3,1,"33,3%",0,"0,0%"
Mateusz Piątkowski,Miedź Legnica,12,4,"33,3%",1,3,1,"33,3%",0,"0,0%"
Łukasz Trałka,Lech Poznań,12,4,"33,3%",1,5,1,"20,0%",0,"0,0%"
Wołodymyr Kostewycz,Lech Poznań,13,4,"30,8%",1,6,1,"16,7%",0,"0,0%"
Elhajdi Djibril Pape Diaw,Korona Kielce,14,4,"28,6%",2,2,1,"50,0%",0,"0,0%"
Bartosz Kwiecień,Jagiellonia,15,4,"26,7%",1,6,1,"16,7%",0,"0,0%"
Maciej Górski,Korona Kielce,17,4,"23,5%",2,7,1,"14,3%",1,"14,3%"
Mateusz Mak,Piast Gliwice,18,4,"22,2%",1,5,1,"20,0%",0,"0,0%"
Martin Konczkowski,Piast Gliwice,19,4,"21,1%",0,10,1,"10,0%",0,"0,0%"
Spas Delew,Pogoń Szczecin,21,4,"19,0%",2,8,1,"12,5%",0,"0,0%"
Kornel Osyra,Miedź Legnica,5,3,"60,0%",0,1,1,"100,0%",0,"0,0%"
Paweł Stolarski,Lechia/Legia,6,3,"50,0%",1,4,1,"25,0%",0,"0,0%"
Patryk Małecki,Wisła Kraków,7,3,"42,9%",0,3,1,"33,3%",0,"0,0%"
Jakub Wójcicki,Jagiellonia,7,3,"42,9%",1,2,1,"50,0%",0,"0,0%"
Aleksander Jagiełło,Piast Gliwice,11,3,"27,3%",0,4,1,"25,0%",0,"0,0%"
Maciej Ambrosiewicz,Górnik Zabrze,12,3,"25,0%",0,7,1,"14,3%",0,"0,0%"
David Stec,Pogoń Szczecin,12,3,"25,0%",0,6,1,"16,7%",0,"0,0%"
Alen Stevanović,Wisła Płock,12,3,"25,0%",1,6,1,"16,7%",0,"0,0%"
Rafał Wolski,Lechia Gdańsk,13,3,"23,1%",1,9,1,"11,1%",0,"0,0%"
Farshad Ahmadzadeh,Śląsk Wrocław,16,3,"18,8%",1,7,1,"14,3%",0,"0,0%"
Robert Gumny,Lech Poznań,16,3,"18,8%",1,7,1,"14,3%",1,"14,3%"
Błażej Augustyn,Lechia Gdańsk,18,3,"16,7%",2,5,1,"20,0%",1,"20,0%"
Filip Marchwiński,Lech Poznań,3,2,"66,7%",2,1,1,"100,0%",1,"100,0%"
Michael Heinloth,Zagłębie Sosnowiec,7,2,"28,6%",0,5,1,"20,0%",0,"0,0%"
Mateusz Hołownia,Legia/Śląsk,7,2,"28,6%",0,5,1,"20,0%",0,"0,0%"
Joao Nunes,Lechia Gdańsk,8,2,"25,0%",0,4,1,"25,0%",0,"0,0%"
Justinas Marazas,Wisła Płock,8,2,"25,0%",0,4,1,"25,0%",0,"0,0%"
Tomasz Hołota,Śląsk Wrocław,9,2,"22,2%",0,5,1,"20,0%",0,"0,0%"
Goran Cvijanović,Arka Gdynia,11,2,"18,2%",0,6,1,"16,7%",0,"0,0%"
Domagoj Antolić,Legia Warszawa,12,2,"16,7%",0,10,1,"10,0%",0,"0,0%"
Sebastian Milewski,Zagłębie Sosnowiec,12,2,"16,7%",0,10,1,"10,0%",0,"0,0%"
Ricardo Nunes,Pogoń Szczecin,13,2,"15,4%",0,11,1,"9,1%",0,"0,0%"
Hubert Matynia,Pogoń Szczecin,22,2,"9,1%",0,14,1,"7,1%",0,"0,0%"
Jakub Kosecki,Śląsk Wrocław,1,1,"100,0%",1,1,1,"100,0%",1,"100,0%"
Kacper Michalski,Górnik Zabrze,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Adrian Purzycki,Miedź Legnica,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Dawid Szot,Wisła Kraków,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Egy Maulana Vikri,Lechia Gdańsk,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Paweł Żyra,Zagłębie Lubin,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Łukasz Poręba,Zagłębie Lubin,2,1,"50,0%",1,2,1,"50,0%",1,"50,0%"
Sebastian Rudol,Pogoń Szczecin,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Callum Rzonca,Zagłębie Sosnowiec,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Mello,Zagłębie Sosnowiec,3,1,"33,3%",0,1,1,"100,0%",0,"0,0%"
Martin Adamec,Jagiellonia,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Frank Adu Kwame,Miedź Legnica,4,1,"25,0%",0,1,1,"100,0%",0,"0,0%"
Adam Ryczkowski,Górnik Zabrze,5,1,"20,0%",0,4,1,"25,0%",0,"0,0%"
Łukasz Broź,Śląsk Wrocław,6,1,"16,7%",0,4,1,"25,0%",0,"0,0%"
Bartłomiej Babiarz,Zagłębie Sosnowiec,8,1,"12,5%",0,8,1,"12,5%",0,"0,0%"
Diego Ferraresso,Cracovia,10,1,"10,0%",0,10,1,"10,0%",0,"0,0%"
Aleksandar Sedlar,Piast Gliwice,24,11,"45,8%",6,5,0,"0,0%",0,"0,0%"
Rafał Siemaszko,Arka Gdynia,22,10,"45,5%",2,3,0,"0,0%",0,"0,0%"
Przemysław Frankowski,Jagiellonia,22,9,"40,9%",3,6,0,"0,0%",0,"0,0%"
Sasa Balić,Zagłębie Lubin,25,9,"36,0%",1,4,0,"0,0%",0,"0,0%"
Filip Piszczek,Cracovia,31,9,"29,0%",6,2,0,"0,0%",0,"0,0%"
Joan Roman,Miedź Legnica,32,9,"28,1%",5,13,0,"0,0%",0,"0,0%"
Kamil Jóźwiak,Lech Poznań,41,9,"22,0%",3,15,0,"0,0%",0,"0,0%"
Piotr Celeban,Śląsk Wrocław,23,8,"34,8%",3,2,0,"0,0%",0,"0,0%"
Michał Helik,Cracovia,29,8,"27,6%",0,3,0,"0,0%",0,"0,0%"
Paweł Tomczyk,Lech/Piast,13,7,"53,8%",4,1,0,"0,0%",0,"0,0%"
Adam Frączczak,Pogoń Szczecin,19,7,"36,8%",1,4,0,"0,0%",0,"0,0%"
Sandro Kulenović,Legia Warszawa,27,7,"25,9%",4,2,0,"0,0%",0,"0,0%"
Damian Szymański,Wisła Płock,29,7,"24,1%",2,10,0,"0,0%",0,"0,0%"
Łukasz Burliga,Jagiellonia/Wisła K,11,6,"54,5%",3,2,0,"0,0%",0,"0,0%"
Borja Fernandez,Miedź Legnica,12,6,"50,0%",0,2,0,"0,0%",0,"0,0%"
Wojciech Golla,Śląsk Wrocław,16,6,"37,5%",1,1,0,"0,0%",0,"0,0%"
Grzegorz Kuświk,Wisła Płock,16,6,"37,5%",3,2,0,"0,0%",0,"0,0%"
Adam Marciniak,Arka Gdynia,17,6,"35,3%",1,1,0,"0,0%",0,"0,0%"
Mateusz Wieteska,Legia Warszawa,17,6,"35,3%",0,1,0,"0,0%",0,"0,0%"
Jakub Błaszczykowski,Wisła Kraków,10,5,"50,0%",5,2,0,"0,0%",0,"0,0%"
Adam Hlousek,Legia Warszawa,14,5,"35,7%",3,2,0,"0,0%",0,"0,0%"
Giorgi Gabedawa,Zagłębie Sosnowiec,14,5,"35,7%",3,3,0,"0,0%",0,"0,0%"
Artur Jędrzejczyk,Legia Warszawa,15,5,"33,3%",3,1,0,"0,0%",0,"0,0%"
Jakub Mares,Zagłębie Lubin,19,5,"26,3%",2,5,0,"0,0%",0,"0,0%"
Timur Żamaletdinow,Lech Poznań,7,4,"57,1%",1,2,0,"0,0%",0,"0,0%"
Sebastian Strózik,Cracovia,9,4,"44,4%",1,2,0,"0,0%",0,"0,0%"
Adam Dźwigała,Wisła Płock,10,4,"40,0%",0,2,0,"0,0%",0,"0,0%"
Bartosz Kopacz,Zagłębie Lubin,10,4,"40,0%",1,2,0,"0,0%",0,"0,0%"
Jose Kante,Legia Warszawa,12,4,"33,3%",2,1,0,"0,0%",0,"0,0%"
Gerard Badia,Piast Gliwice,14,4,"28,6%",2,6,0,"0,0%",0,"0,0%"
Jakub Czerwiński,Piast Gliwice,18,4,"22,2%",3,7,0,"0,0%",0,"0,0%"
Kamil Wojtkowski,Wisła Kraków,18,4,"22,2%",1,10,0,"0,0%",0,"0,0%"
Konrad Michalak,Lechia Gdańsk,22,4,"18,2%",1,3,0,"0,0%",0,"0,0%"
Jakub Bartkowski,Wisła K/Pogoń,24,4,"16,7%",1,11,0,"0,0%",0,"0,0%"
Marcin Urynowicz,Górnik Zabrze,6,3,"50,0%",1,3,0,"0,0%",0,"0,0%"
Władisław Sirotow,Zagłębie Lubin,7,3,"42,9%",0,2,0,"0,0%",0,"0,0%"
Grzegorz Bartczak,Miedź Legnica,8,3,"37,5%",0,1,0,"0,0%",0,"0,0%"
Lukas Klemenz,Jagiellonia/Wisła K,8,3,"37,5%",1,2,0,"0,0%",0,"0,0%"
Nemanja Mitrović,Jagiellonia,8,3,"37,5%",1,1,0,"0,0%",0,"0,0%"
Tymoteusz Klupś,Lech Poznań,9,3,"33,3%",1,2,0,"0,0%",0,"0,0%"
Szymon Matuszek,Górnik Zabrze,12,3,"25,0%",0,2,0,"0,0%",0,"0,0%"
Jakub Arak,Lechia Gdańsk,16,3,"18,8%",1,1,0,"0,0%",0,"0,0%"
Igors Tarasovs,Śląsk Wrocław,18,3,"16,7%",1,7,0,"0,0%",0,"0,0%"
Mateusz Żukowski,Lechia Gdańsk,3,2,"66,7%",0,1,0,"0,0%",0,"0,0%"
Mile Savković,Jagiellonia,4,2,"50,0%",1,1,0,"0,0%",0,"0,0%"
Bartłomiej Sielewski,Wisła Płock,4,2,"50,0%",1,1,0,"0,0%",0,"0,0%"
Patryk Szysz,Zagłębie Lubin,4,2,"50,0%",1,1,0,"0,0%",0,"0,0%"
Lasza Dwali,Pogoń Szczecin,5,2,"40,0%",1,1,0,"0,0%",0,"0,0%"
Patryk Plewka,Wisła Kraków,5,2,"40,0%",0,1,0,"0,0%",0,"0,0%"
Artur Pikk,Miedź Legnica,6,2,"33,3%",1,1,0,"0,0%",0,"0,0%"
Aleksandar Miljković,Miedź Legnica,6,2,"33,3%",0,1,0,"0,0%",0,"0,0%"
Karol Fila,Lechia Gdańsk,8,2,"25,0%",1,4,0,"0,0%",0,"0,0%"
