ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Pāvels Šteinbors,Arka,Bramkarz,137,0,"0,000",83,0,"0,000"
Adam Danch,Arka,Obrońca,254,10,"0,039",32,1,"0,031"
Frederik Helstrup,Arka,Obrońca,58,1,"0,017",58,1,"0,017"
Christian Maghoma,Arka,Obrońca,15,0,"0,000",15,0,"0,000"
Adam Marciniak,Arka,Obrońca,245,10,"0,041",92,5,"0,054"
Luka Marić,Arka,Obrońca,40,0,"0,000",23,0,"0,000"
Michael Olczyk,Arka,Obrońca,5,0,"0,000",5,0,"0,000"
Tadeusz Socha,Arka,Obrońca,151,0,"0,000",37,0,"0,000"
Dawid Sołdecki,Arka,Obrońca,102,6,"0,059",53,2,"0,038"
Damian Zbozień,Arka,Obrońca,175,15,"0,086",88,8,"0,091"
Nabil Aankour,Arka,Pomocnik,114,7,"0,061",26,2,"0,077"
Maksymilian Banaszewski,Arka,Pomocnik,8,0,"0,000",8,0,"0,000"
Goran Cvijanović,Arka,Pomocnik,45,8,"0,178",16,0,"0,000"
Adam Deja,Arka,Pomocnik,114,3,"0,026",27,2,"0,074"
Michał Janota,Arka,Pomocnik,128,16,"0,125",32,10,"0,313"
Jan Łoś,Arka,Pomocnik,4,0,"0,000",4,0,"0,000"
Mateusz Młyński,Arka,Pomocnik,12,1,"0,083",12,1,"0,083"
Michał Nalepa,Arka,Pomocnik,66,3,"0,045",66,3,"0,045"
Mateusz Stępień,Arka,Pomocnik,1,0,"0,000",1,0,"0,000"
Marko Vejinović,Arka,Pomocnik,14,5,"0,357",14,5,"0,357"
Marcus Vinícius,Arka,Pomocnik,74,8,"0,108",54,8,"0,148"
Luka Zarandia,Arka,Pomocnik,50,6,"0,120",50,6,"0,120"
Aleksandyr Kolew,Arka,Napastnik,49,8,"0,163",17,1,"0,059"
Maciej Jankowski,Arka,Napastnik,249,53,"0,213",42,12,"0,286"
Rafał Siemaszko,Arka,Napastnik,95,18,"0,189",95,18,"0,189"
Michal Peškovič,Cracovia,Bramkarz,152,0,"0,000",37,0,"0,000"
Krystian Stępniowski,Cracovia,Bramkarz,2,0,"0,000",2,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Niko Datković,Cracovia,Obrońca,28,1,"0,036",28,1,"0,036"
Ołeksij Dytiatjew,Cracovia,Obrońca,52,2,"0,038",52,2,"0,038"
Diego Ferraresso,Cracovia,Obrońca,53,0,"0,000",53,0,"0,000"
Michał Helik,Cracovia,Obrońca,110,9,"0,082",64,8,"0,125"
Cornel Râpă,Cracovia,Obrońca,88,2,"0,023",33,1,"0,030"
Michal Sipľak,Cracovia,Obrońca,50,2,"0,040",50,2,"0,040"
Marcin Budziński,Cracovia,Pomocnik,202,24,"0,119",91,23,"0,253"
Bojan Čečarić,Cracovia,Pomocnik,7,0,"0,000",7,0,"0,000"
Adrian Danek,Cracovia,Pomocnik,33,3,"0,091",1,0,"0,000"
Damian Dąbrowski,Cracovia,Pomocnik,177,8,"0,045",150,8,"0,053"
Milan Dimun,Cracovia,Pomocnik,57,4,"0,070",57,4,"0,070"
Janusz Gol,Cracovia,Pomocnik,153,7,"0,046",30,0,"0,000"
Sergiu Hanca,Cracovia,Pomocnik,16,2,"0,125",16,2,"0,125"
Javi Hernández,Cracovia,Pomocnik,93,19,"0,204",65,15,"0,231"
Sylwester Lusiusz,Cracovia,Pomocnik,2,0,"0,000",2,0,"0,000"
Daniel Pik,Cracovia,Pomocnik,7,0,"0,000",7,0,"0,000"
Michał Rakoczy,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Jakub Serafin,Cracovia,Pomocnik,8,0,"0,000",6,0,"0,000"
Mateusz Wdowiak,Cracovia,Pomocnik,101,6,"0,059",101,6,"0,059"
Airam Cabrera,Cracovia,Napastnik,55,30,"0,545",27,14,"0,519"
Gerard Oliva,Cracovia,Napastnik,3,1,"0,333",3,1,"0,333"
Filip Piszczek,Cracovia,Napastnik,60,12,"0,200",28,6,"0,214"
Sebastian Strózik,Cracovia,Napastnik,26,1,"0,038",26,1,"0,038"
Vinícius Ferreira,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Daniel Bielica,Górnik,Bramkarz,1,0,"0,000",1,0,"0,000"
Martin Chudý,Górnik,Bramkarz,17,0,"0,000",17,0,"0,000"
Tomasz Loska,Górnik,Bramkarz,55,0,"0,000",55,0,"0,000"
Wojciech Pawłowski,Górnik,Bramkarz,20,0,"0,000",1,0,"0,000"
Adam Örn Arnarson,Górnik,Obrońca,13,0,"0,000",13,0,"0,000"
Paweł Bochniewicz,Górnik,Obrońca,48,2,"0,042",48,2,"0,042"
Adrian Gryszkiewicz,Górnik,Obrońca,31,0,"0,000",31,0,"0,000"
Michał Koj,Górnik,Obrońca,92,8,"0,087",43,3,"0,070"
Kacper Michalski,Górnik,Obrońca,11,0,"0,000",11,0,"0,000"
Boris Sekulić,Górnik,Obrońca,13,2,"0,154",13,2,"0,154"
Dani Suárez,Górnik,Obrońca,66,7,"0,106",66,7,"0,106"
Przemysław Wiśniewski,Górnik,Obrońca,25,0,"0,000",25,0,"0,000"
Maciej Ambrosiewicz,Górnik,Pomocnik,44,0,"0,000",44,0,"0,000"
Ishmael Baidoo,Górnik,Pomocnik,5,0,"0,000",5,0,"0,000"
Walerian Gwilia,Górnik,Pomocnik,17,1,"0,059",17,1,"0,059"
Wojciech Hajda,Górnik,Pomocnik,9,0,"0,000",9,0,"0,000"
Jesús Jiménez,Górnik,Pomocnik,36,5,"0,139",36,5,"0,139"
Daniel Liszka,Górnik,Pomocnik,16,0,"0,000",16,0,"0,000"
Mateusz Matras,Górnik,Pomocnik,191,14,"0,073",16,3,"0,188"
Szymon Matuszek,Górnik,Pomocnik,98,4,"0,041",74,3,"0,041"
Giánnis Mystakídis,Górnik,Pomocnik,9,0,"0,000",9,0,"0,000"
Adam Ryczkowski,Górnik,Pomocnik,19,2,"0,105",10,0,"0,000"
Kamil Zapolnik,Górnik,Pomocnik,24,2,"0,083",24,2,"0,083"
Szymon Żurkowski,Górnik,Pomocnik,65,5,"0,077",65,5,"0,077"
Igor Angulo,Górnik,Napastnik,70,46,"0,657",70,46,"0,657"
Krzysztof Kiklaisz,Górnik,Napastnik,3,0,"0,000",3,0,"0,000"
Dominik Lasik,Górnik,Napastnik,2,0,"0,000",2,0,"0,000"
Łukasz Wolsztyński,Górnik,Napastnik,51,5,"0,098",51,5,"0,098"
Marián Kelemen,Jagiellonia,Bramkarz,200,1,"0,005",87,0,"0,000"
Grzegorz Sandomierski,Jagiellonia,Bramkarz,185,0,"0,000",78,0,"0,000"
Zoran Arsenić,Jagiellonia,Obrońca,56,3,"0,054",13,0,"0,000"
Böðvar Böðvarsson,Jagiellonia,Obrońca,19,0,"0,000",19,0,"0,000"
Guilherme Haubert,Jagiellonia,Obrońca,89,2,"0,022",64,2,"0,031"
Andrej Kadlec,Jagiellonia,Obrońca,9,1,"0,111",9,1,"0,111"
Nemanja Mitrović,Jagiellonia,Obrońca,54,2,"0,037",54,2,"0,037"
Michał Ozga,Jagiellonia,Obrońca,1,0,"0,000",1,0,"0,000"
Ivan Runje,Jagiellonia,Obrońca,95,6,"0,063",95,6,"0,063"
