KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Cracovia,"11,71","4,12","4,32","3,26","27,89%","3,18","35,18%","11,06%"
Górnik Z,"13,62","4,06","5,47","4,09","30,02%","3,45","29,81%","8,64%"
Jagiellonia,"10,79","3,82","4,24","2,74","25,34%","2,89","35,42%","12,26%"
Korona,"10,85","3,76","4,35","2,74","25,20%","3,05","34,69%","11,38%"
Lech,"11,94","4,26","4,91","2,76","23,15%","3,82","35,71%","9,36%"
Legia,"9,21","2,44","3,82","2,94","31,95%","2,18","26,52%","12,14%"
ŁKS,"15,65","5,71","5,65","4,29","27,44%","2,62","36,47%","13,91%"
Piast,"10,21","3,18","3,82","3,21","31,41%","3,18","31,12%","9,80%"
Pogoń,"10,24","3,74","4,00","2,50","24,43%","3,43","36,49%","10,63%"
Puszcza,"14,44","5,12","5,41","3,91","27,09%","3,70","35,44%","9,57%"
Radomiak,"12,03","4,29","4,03","3,71","30,81%","2,65","35,70%","13,45%"
Raków,"9,88","3,35","3,65","2,88","29,17%","3,08","33,93%","11,01%"
Ruch,"13,91","4,53","4,91","4,47","32,14%","2,96","32,56%","10,99%"
Stal,"14,26","4,76","5,56","3,94","27,63%","3,45","33,40%","9,69%"
Śląsk,"10,68","3,38","4,35","2,94","27,55%","3,83","31,68%","8,26%"
Warta,"11,94","4,21","4,65","3,09","25,86%","3,40","35,22%","10,34%"
Widzew,"11,62","4,44","4,00","3,18","27,34%","3,36","38,23%","11,39%"
Zagłębie,"12,29","4,74","4,44","3,12","25,36%","3,29","38,52%","11,72%"
