KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,"4,40",1345,33,69,1020,24,11,81,136,48,11,6,32,1,6,1,1
Cracovia,"2,06",70,2,3,52,0,1,4,8,2,0,0,3,1,1,0,0
Górnik Zabrze,"2,09",71,2,6,57,1,0,6,5,2,0,1,0,0,0,0,1
Jagiellonia,"2,09",71,1,2,56,1,1,3,8,3,0,0,0,0,0,0,0
Korona Kielce,"2,12",72,0,1,51,0,1,9,5,2,0,0,4,0,0,0,0
Lech Poznań,"2,18",74,2,3,50,2,0,5,13,2,1,0,3,0,0,0,0
Legia Warszawa,"2,44",83,3,5,67,2,1,4,7,1,0,0,3,0,1,0,0
ŁKS Łódź,"2,50",85,3,6,65,3,1,3,11,3,1,0,1,0,0,0,0
Piast Gliwice,"2,15",73,2,3,48,2,1,13,8,0,1,0,2,0,0,0,0
Pogoń Szczecin,"1,94",66,0,2,47,0,1,4,9,1,0,1,3,0,0,0,0
Puszcza Niepołomice,"2,79",95,2,4,70,1,1,5,7,9,1,0,2,0,1,0,0
Radomiak Radom,"2,59",88,4,7,70,3,0,4,10,1,1,2,0,0,1,0,0
Raków Częstochowa,"2,12",72,0,3,56,0,0,6,5,1,2,0,2,0,0,0,0
Ruch Chorzów,"2,18",74,4,5,60,4,0,2,5,4,2,0,1,0,0,0,0
Stal Mielec,"1,85",63,3,4,51,2,1,0,6,2,1,1,1,0,0,1,0
Śląsk Wrocław,"2,21",75,1,4,51,0,2,6,8,4,0,1,3,0,1,0,0
Warta Poznań,"2,18",74,0,2,62,0,0,1,4,6,0,0,1,0,0,0,0
Widzew Łódź,"2,29",78,3,3,59,3,0,4,11,3,0,0,1,0,0,0,0
Zagłębie Lubin,"1,79",61,1,6,48,0,0,2,6,2,1,0,2,0,1,0,0
