KLUB,CZAS,MIN MŁ PL,% MŁ PL,ZAW,MŁ PL,G,G MŁ PL,% G MŁ PL,,603824,59863,"9,91%",526,106,823,64,"7,78%"
Cracovia,33579,3176,"9,46%",29,6,45,6,"13,33%"
Górnik Zabrze,33444,2537,"7,59%",26,4,45,3,"6,67%"
Jagiellonia Białystok,33574,3465,"10,32%",27,6,77,8,"10,39%"
Korona Kielce,33642,3696,"10,99%",28,5,40,1,"2,50%"
Lech Poznań,33554,4356,"12,98%",26,6,47,12,"25,53%"
Legia Warszawa,33432,2600,"7,78%",30,5,51,1,"1,96%"
ŁKS Łódź,33488,3372,"10,07%",37,8,34,3,"8,82%"
Piast Gliwice,33550,5745,"17,12%",29,7,38,1,"2,63%"
Pogoń Szczecin,33607,2568,"7,64%",29,7,59,5,"8,47%"
Puszcza Niepołomice,33583,3919,"11,67%",33,8,39,1,"2,56%"
Radomiak Radom,33429,2691,"8,05%",33,6,41,2,"4,88%"
Raków Częstochowa,33563,1509,"4,50%",34,4,54,3,"5,56%"
Ruch Chorzów,33523,3068,"9,15%",37,5,40,3,"7,50%"
Stal Mielec,33552,3438,"10,25%",26,6,42,2,"4,76%"
Śląsk Wrocław,33598,3058,"9,10%",31,6,50,1,"2,00%"
Warta Poznań,33598,3734,"11,11%",30,10,33,8,"24,24%"
Widzew Łódź,33582,3181,"9,47%",29,7,45,3,"6,67%"
Zagłębie Lubin,33526,3750,"11,19%",26,5,43,1,"2,33%"
