ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Artur Siemaszko,Puszcza Niepołomice,5,1,6,39,"12,8%","15,4%",8,"20,5%"
Mateusz Cholewiak,Puszcza Niepołomice,3,3,6,39,"7,7%","15,4%",8,"20,5%"
Roman Jakuba,Puszcza Niepołomice,4,2,6,39,"10,3%","15,4%",7,"17,9%"
Wahan Biczachczjan,Pogoń Szczecin,5,4,9,59,"8,5%","15,3%",13,"22,0%"
Adam Zrelak,Warta Poznań,4,1,5,33,"12,1%","15,2%",8,"24,2%"
Mateusz Bartolewski,Ruch Chorzów,2,4,6,40,"5,0%","15,0%",6,"15,0%"
Michał Feliks,Ruch Chorzów,5,1,6,40,"12,5%","15,0%",7,"17,5%"
Joel Pereira,Lech Poznań,2,5,7,47,"4,3%","14,9%",12,"25,5%"
Adriel Ba Loua,Lech Poznań,4,3,7,47,"8,5%","14,9%",8,"17,0%"
John Yeboah,Raków Częstochowa,3,5,8,54,"5,6%","14,8%",10,"18,5%"
Lisandro Semedo,Radomiak Radom,4,2,6,41,"9,8%","14,6%",7,"17,1%"
Ernest Muci,Legia Warszawa,4,0,4,29,"13,8%","13,8%",7,"24,1%"
Lawrence Ennali,Górnik Zabrze,5,1,6,45,"11,1%","13,3%",8,"17,8%"
Antoni Klimek,Widzew Łódź,3,3,6,45,"6,7%","13,3%",10,"22,2%"
Władysław Koczerhin,Raków Częstochowa,5,2,7,54,"9,3%","13,0%",10,"18,5%"
Dawid Błanik,Korona Kielce,1,4,5,40,"2,5%","12,5%",5,"12,5%"
Dawid Abramowicz,Radomiak Radom,2,3,5,41,"4,9%","12,2%",11,"26,8%"
Dario Vizinger,Warta Poznań,1,3,4,33,"3,0%","12,1%",6,"18,2%"
Maciej Żurawski,Warta Poznań,4,0,4,33,"12,1%","12,1%",5,"15,2%"
Mateusz Kupczak,Warta Poznań,4,0,4,33,"12,1%","12,1%",5,"15,2%"
Miguel Luis,Warta Poznań,2,2,4,33,"6,1%","12,1%",7,"21,2%"
Koki Hinokio,Stal Mielec,3,2,5,42,"7,1%","11,9%",6,"14,3%"
Engjell Hoti,ŁKS Łódź,4,0,4,34,"11,8%","11,8%",4,"11,8%"
Radovan Pankov,Legia Warszawa,2,4,6,51,"3,9%","11,8%",10,"19,6%"
Piotr Janczukowicz,ŁKS Łódź,2,2,4,34,"5,9%","11,8%",8,"23,5%"
Stipe Jurić,ŁKS Łódź,4,0,4,34,"11,8%","11,8%",4,"11,8%"
Serhij Bułeca,Zagłębie Lubin,1,4,5,43,"2,3%","11,6%",8,"18,6%"
Damian Dąbrowski,Zagłębie Lubin,1,4,5,43,"2,3%","11,6%",12,"27,9%"
Sonny Kittel,Raków Częstochowa,3,1,4,35,"8,6%","11,4%",5,"14,3%"
Andrejs Ciganiks,Widzew Łódź,3,2,5,45,"6,7%","11,1%",5,"11,1%"
Dawid Drachal,Raków Częstochowa,3,3,6,54,"5,6%","11,1%",8,"14,8%"
Fabio Nunes,Widzew Łódź,2,3,5,45,"4,4%","11,1%",8,"17,8%"
Filip Szymczak,Lech Poznań,3,2,5,47,"6,4%","10,6%",8,"17,0%"
Jesper Karlstrom,Lech Poznań,2,3,5,47,"4,3%","10,6%",13,"27,7%"
Serhij Krykun,Piast Gliwice,3,1,4,38,"7,9%","10,5%",7,"18,4%"
Jose Naranjo,Jagiellonia,6,2,8,77,"7,8%","10,4%",12,"15,6%"
Jacek Podgórski,Korona Kielce,0,4,4,40,"0,0%","10,0%",8,"20,0%"
