ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Artur Craciun,Puszcza Niepołomice,12,0,1,9,0,0,0,2,1,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,12,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0
Josue,Legia Warszawa,12,0,0,7,0,0,3,2,0,0,0,0,0,0,0,0
Peter Pokorny,Śląsk Wrocław,11,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0
Yoav Hofmeister,Korona Kielce,11,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0
Patryk Dziczek,Piast Gliwice,11,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0
Raphael Rossi,Radomiak Radom,11,0,0,8,0,0,2,1,0,0,0,0,0,0,0,0
Arkadiusz Pyrka,Piast Gliwice,10,0,1,6,0,1,1,1,0,0,0,1,0,0,0,0
Maciej Sadlok,Ruch Chorzów,10,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Artur Jędrzejczyk,Legia Warszawa,9,1,2,8,0,0,0,1,0,0,0,0,0,1,0,0
Adrian Dieguez,Jagiellonia,9,1,1,5,1,0,1,2,1,0,0,0,0,0,0,0
Kryspin Szcześniak,Górnik Zabrze,9,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Skovgaard,Cracovia,9,1,1,8,0,1,0,0,0,0,0,0,0,1,0,0
Bartosz Kopacz,Zagłębie Lubin,8,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0
Fran Tudor,Raków Częstochowa,8,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
Jesper Karlstrom,Lech Poznań,8,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0
Marco Ehmann,Stal Mielec,8,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0
Radosław Murawski,Lech Poznań,8,1,1,5,1,0,0,3,0,0,0,0,0,0,0,0
Daniel Szczepan,Ruch Chorzów,8,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
Alexander Gorgon,Pogoń Szczecin,8,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
Dario Vizinger,Warta Poznań,8,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0
Jakub Serafin,Puszcza Niepołomice,8,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0
Kamil Zapolnik,Puszcza Niepołomice,8,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
Piotr Wlazło,Stal Mielec,8,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0
Roman Jakuba,Puszcza Niepołomice,8,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
Jehor Macenko,Śląsk Wrocław,7,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0
Erik Janza,Górnik Zabrze,7,1,1,6,0,0,0,1,0,0,0,0,0,0,0,1
Giannis Papanikolaou,Raków Częstochowa,7,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
Michał Mokrzycki,ŁKS Łódź,7,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0
Rafał Janicki,Górnik Zabrze,7,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
Mateusz Grzybek,Zagłębie Lubin,7,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0
Maksymilian Pingot,Stal Mielec,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Andrejs Ciganiks,Widzew Łódź,7,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0
Bartosz Kwiecień,Korona Kielce,7,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0
Dimitris Stavropoulos,Warta Poznań,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Fabio Nunes,Widzew Łódź,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
Gustav Berggren,Raków Częstochowa,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Jacek Podgórski,Korona Kielce,7,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0
Jani Atanasov,Cracovia,7,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0
Jordi Sanchez,Widzew Łódź,7,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0
Kristoffer Velde,Lech Poznań,7,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0
Yuri Ribeiro,Legia Warszawa,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
Martin Remacle,Korona Kielce,7,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0
Juergen Elitim,Legia Warszawa,7,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0
Michał Rakoczy,Cracovia,7,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0
Steve Kapuadi,Legia Warszawa,7,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
Michal Sacek,Jagiellonia,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Radovan Pankov,Legia Warszawa,7,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0
Adrien Louveau,ŁKS Łódź,6,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
Engjell Hoti,ŁKS Łódź,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Chodyna,Zagłębie Lubin,6,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0
Konrad Stępień,Puszcza Niepołomice,6,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
Marek Hanousek,Widzew Łódź,6,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0
Michał Nalepa II,Zagłębie Lubin,6,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0
Rafał Wolski,Radomiak Radom,6,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
Michał Kaput,Radomiak Radom,6,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0
Fredrik Ulvestad,Pogoń Szczecin,6,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0
Otar Kakabadze,Cracovia,6,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0
Bruno Jordao,Radomiak Radom,6,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0
Erik Exposito,Śląsk Wrocław,6,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0
Fran Alvarez,Widzew Łódź,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Czerwiński,Piast Gliwice,6,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0
Jakub Letniowski,ŁKS Łódź,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Luizao,Radomiak Radom,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
Mateusz Kupczak,Warta Poznań,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Mateusz Żyro,Widzew Łódź,6,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0
Mikael Ishak,Lech Poznań,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
Patrick Olsen,Śląsk Wrocław,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
Rafał Kurzawa,Pogoń Szczecin,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Wahan Biczachczjan,Pogoń Szczecin,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
Wojciech Hajda,Puszcza Niepołomice,6,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0
Ilja Szkurin,Stal Mielec,6,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0
Petr Schwarz,Śląsk Wrocław,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Marko Poletanović,Zagłębie Lubin,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
Kay Tejan,ŁKS Łódź,6,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0
Luis Silva,Widzew Łódź,5,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0
Bartłomiej Kłudka,Zagłębie Lubin,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Damian Jakubik,Radomiak Radom,5,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
Karol Knap,Cracovia,5,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0
Leonardo Koutris,Pogoń Szczecin,5,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0
Nahuel Leiva,Śląsk Wrocław,5,1,1,3,0,0,0,1,0,0,0,1,0,1,0,0
Dani Pacheco,Górnik Zabrze,5,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0
Aleks Petkow,Śląsk Wrocław,5,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0
Boris Sekulić,Górnik Zabrze,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Christos Donis,Radomiak Radom,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Szymonowicz,Warta Poznań,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Elias Andersson,Lech Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Grzegorz Tomasiewicz,Piast Gliwice,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
Jan Grzesik,Radomiak Radom,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Jurgen Celhaka,Legia Warszawa,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Linus Wahlqvist,Pogoń Szczecin,5,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
Łukasz Bejger,Śląsk Wrocław,5,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0
Maciej Żurawski,Warta Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Godinho,Korona Kielce,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mato Milos,Widzew Łódź,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Michał Feliks,Ruch Chorzów,5,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0
Nene,Jagiellonia,5,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
Nono,Korona Kielce,5,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
Pirulo,ŁKS Łódź,5,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
Takuto Oshima,Cracovia,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Wiktor Pleśnierowicz,Warta Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Virgil Ghita,Cracovia,5,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0
Jakub Bartkowski,Warta Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Huk,Piast Gliwice,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bartosz Salamon,Lech Poznań,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Ariel Mosór,Piast Gliwice,4,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0
Filip Borowski,Warta Poznań,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
Robert Dadok,Górnik/Ruch,4,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0
Filip Marchwiński,Lech Poznań,4,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0
Bert Esselink,Stal Mielec,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Lawrence Ennali,Górnik Zabrze,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Artur Siemaszko,Puszcza Niepołomice,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Bartosz Slisz,Legia Warszawa,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Ben Lederman,Raków Częstochowa,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Daisuke Yokota,Górnik Zabrze,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
Dani Ramirez,ŁKS Łódź,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Filip Szymczak,Lech Poznań,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
Hubert Tomalski,Puszcza Niepołomice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
